team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
ImaJynn & BigCountry & RLB1gBrain;Abeillonnaise;3;1;33.33;1096;365.33;4;1.33;1;0.33;2;0.67;8;2.67;26;8.67;7;2.33;4;1.33;50;265.85;51.04;5010;1670;2697;899;2313;771;33;11;205;68.33;1232;410.67;670;223.33;562;187.33;10;3.33;53;17.67;76.45;25.48;108.59;36.2;70;23.33;473;157.67;240;80;1329.88;1459554;486518;720.13;240.04;377.35;125.78;68.4;22.8;734.48;244.83;370.39;123.46;60.99;20.33;35.2;11.73;0.13;276;92;379.5;126.5;320.7;106.9;310.1;103.37;855.78;285.26;783.62;261.21;382.26;127.42;612.43;204.14;320.07;106.69;233.35;77.78;2764.63;2676.88;2828.74;3515.23;1;0.33;2;0.67
ImaJynn & BigCountry & RLB1gBrain;Aexpect;3;1;33.33;1073;357.67;0;0;3;1;5;1.67;6;2;23;7.67;8;2.67;4;1.33;0;364.94;55.41;6148;2049.33;4023;1341;2125;708.33;51;17;189;63;1950;650;1252;417.33;698;232.67;16;5.33;62;20.67;83.7;27.9;119.65;39.88;484;161.33;1148;382.67;372;124;1470;1429678;476559.34;514.74;171.58;421.47;140.49;98.58;32.86;619.12;206.37;379.01;126.34;36.67;12.22;11.72;3.91;0.14;84;28;474.9;158.3;530.9;176.97;331.15;110.38;703.62;234.54;621.82;207.27;412.96;137.65;456.65;152.22;317.75;105.92;260.39;86.8;2472.1;2339.63;2624.87;3381.14;6;2;2;0.67
EXPRESS;Akki404;8;8;100.00;4563;570.38;15;1.88;9;1.12;11;1.38;31;3.88;35;4.38;6;0.75;4;0.5;48.39;403.2;50.03;17986;2248.25;13596;1699.5;4390;548.75;167;20.88;391;48.88;4097;512.12;2259;282.38;1838;229.75;28;3.5;151;18.88;356.26;44.53;472.6;59.07;2679;334.88;3274;409.25;542;67.75;1557.73;4053580;506697.5;1232.09;154.01;1134.39;141.8;404.73;50.59;1792.1;224.01;889.92;111.24;89.19;11.15;40.65;5.08;0.1;414;51.75;1334.3;166.79;1375.5;171.94;717.01;89.63;2054.2;256.77;1720.55;215.07;1050.63;131.33;1310.36;163.79;787.14;98.39;673.72;84.21;2750.71;2486.06;3093.84;3525.68;7;0.88;8;1
ImaJynn & BigCountry & RLB1gBrain;Apicality.;11;6;54.55;4934;448.55;16;1.45;4;0.36;12;1.09;40;3.64;78;7.09;38;3.45;22;2;40;307.08;55.49;22457;2041.55;16837;1530.64;5620;510.91;235;21.36;492;44.73;4722;429.27;3281;298.27;1441;131;45;4.09;124;11.27;252.32;22.94;1014.89;92.26;3569;324.45;6883;625.73;1248;113.45;1534.2;5896054;536004.94;1898.62;172.6;1793.49;163.04;431.27;39.21;2313.71;210.34;1602.25;145.66;207.43;18.86;59.37;5.4;0.08;741;67.36;1700.5;154.59;1600.8;145.53;1102.88;100.26;3020.54;274.59;2849.85;259.08;1273.57;115.78;2116.88;192.44;1241.67;112.88;764.89;69.54;2935.8;2795.33;3089.43;3783.11;6;0.55;6;0.55
ImaJynn & BigCountry & RLB1gBrain;Apolytrosin;3;3;100.00;1808;602.67;6;2;1;0.33;6;2;15;5;15;5;3;1;1;0.33;40;318.19;56.1;5507;1835.67;3495;1165;2012;670.67;51;17;184;61.33;1367;455.67;792;264;575;191.67;12;4;53;17.67;29.89;9.96;97.94;32.65;647;215.67;1719;573;459;153;1400.43;1355679;451893;557.35;185.78;396.75;132.25;74.69;24.9;680.66;226.89;330.64;110.21;17.49;5.83;12.95;4.32;0.17;78;26;554.8;184.93;456.8;152.27;255.67;85.22;773.12;257.71;642.86;214.29;385.92;128.64;465.35;155.12;351.3;117.1;212.15;70.72;2569.31;2370.57;2734.23;3459.49;2;0.67;4;1.33
ImaJynn & BigCountry & RLB1gBrain;Astarte;5;1;20.00;2534;506.8;8;1.6;3;0.6;6;1.2;31;6.2;41;8.2;20;4;7;1.4;25.81;309.33;48.17;11108;2221.6;8055;1611;3053;610.6;105;21;273;54.6;1942;388.4;993;198.6;949;189.8;13;2.6;82;16.4;186.56;37.31;261.76;52.35;1170;234;2537;507.4;314;62.8;1469.24;2715154;543030.81;1035.35;207.07;801.99;160.4;168.6;33.72;1314.84;262.97;613.4;122.68;77.7;15.54;25.44;5.09;0.14;179;35.8;950.5;190.1;958.3;191.66;541.82;108.36;1464.11;292.82;1215.77;243.15;790.16;158.03;837.32;167.46;720.68;144.14;447.93;89.59;2522.46;2330.36;2688.4;3303.73;4;0.8;2;0.4
ImaJynn & BigCountry & RLB1gBrain;Azivar;9;6;66.67;5757;639.67;19;2.11;6;0.67;21;2.33;34;3.78;60;6.67;24;2.67;14;1.56;55.88;423.43;50.33;23441;2604.56;17558;1950.89;5883;653.67;237;26.33;530;58.89;4197;466.33;2516;279.56;1681;186.78;32;3.56;148;16.44;318.29;35.37;442.01;49.11;2868;318.67;6007;667.44;635;70.56;1556.65;4786868;531874.25;1406.41;156.27;1437.73;159.75;495.46;55.05;1932.32;214.7;1295.29;143.92;111.98;12.44;96;10.67;0.09;1046;116.22;1666.9;185.21;1478.6;164.29;833.76;92.64;2505.8;278.42;2252.82;250.31;1086.77;120.75;1748.78;194.31;944.43;104.94;646.36;71.82;3031.71;2746.7;3334.95;3787.21;7;0.78;2;0.22
ImaJynn & BigCountry & RLB1gBrain;BEARDEDJACKYL;3;3;100.00;1606;535.33;8;2.67;1;0.33;2;0.67;9;3;15;5;5;1.67;5;1.67;88.89;279.84;51.34;5041;1680.33;3154;1051.33;1887;629;41;13.67;169;56.33;835;278.33;329;109.67;506;168.67;5;1.67;45;15;72.33;24.11;133.61;44.54;1111;370.33;991;330.33;169;56.33;1393.2;1385861;461953.66;613.75;204.58;376.21;125.4;82.78;27.59;758.17;252.72;304.9;101.63;9.68;3.23;5.47;1.82;0.13;43;14.33;565.8;188.6;461.7;153.9;291.99;97.33;780.77;260.26;698.69;232.9;374.06;124.69;532.74;177.58;313.74;104.58;226.28;75.43;2497.96;2230.53;2735.25;3295.3;2;0.67;2;0.67
ImaJynn & BigCountry & RLB1gBrain;B_3r1an7;3;2;66.67;2008;669.33;7;2.33;3;1;5;1.67;13;4.33;11;3.67;5;1.67;4;1.33;53.85;420.12;55.2;7720;2573.33;5535;1845;2185;728.33;76;25.33;205;68.33;2339;779.67;1566;522;773;257.67;19;6.33;74;24.67;78.36;26.12;188.35;62.78;1433;477.67;2207;735.67;363;121;1565.67;1574189;524729.69;483.3;161.1;435.89;145.3;159.64;53.21;613.61;204.54;378.17;126.06;87.06;29.02;36.16;12.05;0.11;340;113.33;518.4;172.8;522;174;265.11;88.37;813.72;271.24;611.85;203.95;466.99;155.66;429.57;143.19;360.97;120.32;288.29;96.1;2322.52;2032.29;2637.79;3160.68;5;1.67;2;0.67
ImaJynn & BigCountry & RLB1gBrain;BabyLeth;6;4;66.67;3568;594.67;15;2.5;5;0.83;6;1;31;5.17;27;4.5;14;2.33;6;1;48.39;426.33;51.74;15357;2559.5;11465;1910.83;3892;648.67;146;24.33;347;57.83;4423;737.17;3011;501.83;1412;235.33;38;6.33;125;20.83;263.43;43.91;297.52;49.59;1849;308.17;3167;527.83;825;137.5;1517.58;3096676;516112.66;1064.12;177.35;870.71;145.12;277.79;46.3;1331.4;221.9;789.86;131.64;91.37;15.23;31.07;5.18;0.09;355;59.17;932.2;155.37;1139.7;189.95;636.12;106.02;1576.5;262.75;1287.6;214.6;925.01;154.17;916.34;152.72;708.95;118.16;587.33;97.89;2461.24;2238.17;2725.02;3323.24;5;0.83;0;0
