team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Quilli. & K1cker_1 & Hemdawg93;"  Kend0";6;2;33.33;1574;262.33;2;0.33;0;0;14;2.33;4;0.67;50;8.33;10;1.67;2;0.33;50;297;55.49;10250;1708.33;6630;1105;3620;603.33;84;14;316;52.67;1755;292.5;896;149.33;859;143.17;12;2;78;13;170.86;28.48;263.58;43.93;622;103.67;1942;323.67;380;63.33;1346.65;2617270;436211.66;1209.38;201.56;703.78;117.3;122.49;20.41;1355.6;225.93;633.97;105.66;46.08;7.68;33.26;5.54;0.12;293;48.83;842.6;140.43;580.8;96.8;469.81;78.3;1565.84;260.97;1463.06;243.84;572.59;95.43;1145.76;190.96;570.61;95.1;319.26;53.21;3247.23;3201.82;3275.81;3785.69;0;0;6;1
Quilli. & K1cker_1 & Hemdawg93;0AKUMA0;3;1;33.33;1473;491;2;0.67;3;1;5;1.67;15;5;23;7.67;9;3;2;0.67;13.33;389.45;46.18;6928;2309.33;4305;1435;2623;874.33;49;16.33;224;74.67;1887;629;1024;341.33;863;287.67;12;4;75;25;157.92;52.64;70.85;23.62;1036;345.33;624;208;168;56;1556.34;1542961;514320.34;452.76;150.92;461.98;153.99;148.71;49.57;547.14;182.38;463.6;154.53;52.71;17.57;17.28;5.76;0.09;197;65.67;461;153.67;571.4;190.47;284.23;94.74;779.21;259.74;659.69;219.9;403.76;134.59;496.07;165.36;317.5;105.83;249.88;83.29;2432.35;2245.09;2589.56;3333.09;1;0.33;2;0.67
Quilli. & K1cker_1 & Hemdawg93;3 Week Old Grape Capri Sun;3;1;33.33;1069;356.33;3;1;1;0.33;1;0.33;9;3;27;9;8;2.67;6;2;33.33;291.84;53.27;5470;1823.33;3605;1201.67;1865;621.67;46;15.33;171;57;1337;445.67;842;280.67;495;165;12;4;47;15.67;93.82;31.27;84.08;28.03;364;121.33;568;189.33;209;69.67;1470.14;1590355;530118.31;571.06;190.35;456.23;152.08;114.78;38.26;669.41;223.14;429.63;143.21;43.02;14.34;9.99;3.33;0.12;84;28;529.2;176.4;595.9;198.63;366.86;122.29;775.2;258.4;731.05;243.68;410.93;136.98;543.12;181.04;367.48;122.49;231.47;77.16;2434.07;2299.7;2543.47;3321.77;2;0.67;5;1.67
Quilli. & K1cker_1 & Hemdawg93;999gav;6;4;66.67;4399;733.17;15;2.5;5;0.83;14;2.33;29;4.83;46;7.67;12;2;7;1.17;51.72;396;54.99;15489;2581.5;11867;1977.83;3622;603.67;140;23.33;328;54.67;3211;535.17;2147;357.83;1064;177.33;27;4.5;94;15.67;266.31;44.38;227.81;37.97;2297;382.83;2170;361.67;559;93.17;1447.86;3096450;516075;1176.37;196.06;860.73;143.46;255.03;42.51;1354.44;225.74;884.97;147.5;52.73;8.79;4.29;0.71;0.28;14;2.33;1109;184.83;1111;185.17;565.23;94.21;1726.9;287.82;1477.16;246.19;814.96;135.83;1141;190.17;617.73;102.95;533.41;88.9;2526.42;2431.29;2638.36;3457.62;4;0.67;4;0.67
Quilli. & K1cker_1 & Hemdawg93;AIIDDDAAAANNNNN;6;3;50.00;2085;347.5;6;1;2;0.33;7;1.17;10;1.67;51;8.5;15;2.5;6;1;60;351.97;47.87;12848;2141.33;8432;1405.33;4416;736;102;17;391;65.17;3004;500.67;1602;267;1402;233.67;22;3.67;125;20.83;243.01;40.5;171.9;28.65;573;95.5;1686;281;436;72.67;1509.31;3191211;531868.5;1054.75;175.79;951.92;158.65;240.63;40.1;1285.14;214.19;846.87;141.15;115.31;19.22;41.47;6.91;0.11;370;61.67;908.4;151.4;923;153.83;731.32;121.89;1515.99;252.66;1408.33;234.72;838.99;139.83;1059.13;176.52;698.94;116.49;489.23;81.54;3067.16;3003.33;3106.91;3872.01;4;0.67;4;0.67
Quilli. & K1cker_1 & Hemdawg93;AJGsch;9;4;44.44;4039;448.78;11;1.22;2;0.22;18;2;29;3.22;72;8;31;3.44;15;1.67;37.93;297.29;50.13;16140;1793.33;11193;1243.67;4947;549.67;139;15.44;443;49.22;2641;293.44;1137;126.33;1504;167.11;17;1.89;136;15.11;372.2;41.36;344.81;38.31;1442;160.22;2830;314.44;522;58;1403.38;4196900;466322.22;1764.12;196.01;1232.75;136.97;227.39;25.27;2108.78;234.31;1034.79;114.98;80.65;8.96;40.42;4.49;0.25;158;17.56;1690.4;187.82;1451.2;161.24;833.13;92.57;2391.12;265.68;2031.39;225.71;1192.86;132.54;1522.99;169.22;1025.79;113.98;675.45;75.05;2904.46;2798.91;3027.86;3694.69;2;0.22;7;0.78
Quilli. & K1cker_1 & Hemdawg93;Akstronaut YT;9;3;33.33;3468;385.33;11;1.22;2;0.22;8;0.89;25;2.78;52;5.78;23;2.56;9;1;44;327.02;55.65;20086;2231.78;13819;1535.44;6267;696.33;178;19.78;569;63.22;3782;420.22;2224;247.11;1558;173.11;27;3;142;15.78;212.48;23.61;443.28;49.25;2177;241.89;4169;463.22;517;57.44;1446.66;4710593;523399.22;1800.53;200.06;1304.62;144.96;360.88;40.1;2245.44;249.49;1138.05;126.45;82.55;9.17;59;6.56;0.09;669;74.33;1357.3;150.81;1221.9;135.77;885.71;98.41;2580.32;286.7;2284.05;253.78;1181.96;131.33;1715.06;190.56;1052.95;116.99;697.99;77.55;2687.37;2651.94;2720.96;3555.03;3;0.33;15;1.67
Quilli. & K1cker_1 & Hemdawg93;Almond_Pie;9;1;11.11;3000;333.33;8;0.89;8;0.89;5;0.56;21;2.33;85;9.44;46;5.11;20;2.22;38.1;380.97;46.03;20004;2222.67;14907;1656.33;5097;566.33;166;18.44;450;50;5564;618.22;3880;431.11;1684;187.11;42;4.67;144;16;623.74;69.3;268.38;29.82;1626;180.67;1778;197.56;343;38.11;1528.57;4746180;527353.31;1588.45;176.49;1380.7;153.41;449.29;49.92;1751.7;194.63;1487.64;165.29;179.09;19.9;55.1;6.12;0.17;322;35.78;1446.2;160.69;1863.5;207.06;1165.13;129.46;2253.32;250.37;2135.86;237.32;1282.58;142.51;1566.22;174.02;1090.63;121.18;761.6;84.62;2512.36;2236.55;2796.88;3326.78;4;0.44;8;0.89
Quilli. & K1cker_1 & Hemdawg93;Alpha-wolfman;9;7;77.78;3922;435.78;16;1.78;2;0.22;8;0.89;36;4;68;7.56;20;2.22;7;0.78;44.44;261.55;54.42;15543;1727;9197;1021.89;6346;705.11;120;13.33;576;64;3638;404.22;1672;185.78;1966;218.44;24;2.67;176;19.56;277.78;30.86;495.6;55.07;913;101.44;3149;349.89;783;87;1456.62;4700654;522294.88;1814.93;201.66;1364.53;151.61;270.65;30.07;1894.42;210.49;1358.41;150.93;197.27;21.92;41.29;4.59;0.16;258;28.67;893.6;99.29;1255.8;139.53;1103.8;122.64;2346.32;260.7;2072.65;230.29;1377.44;153.05;1511.98;168;1101.29;122.37;836.83;92.98;2737.09;2523.31;2943.59;3619.92;2;0.22;5;0.56
LITTLE GUYS;AnOddFellow;3;1;33.33;980;326.67;4;1.33;3;1;2;0.67;7;2.33;22;7.33;9;3;1;0.33;57.14;304.82;51.46;5199;1733;3036;1012;2163;721;37;12.33;197;65.67;1533;511;1005;335;528;176;12;4;47;15.67;63.18;21.06;96.82;32.27;477;159;783;261;200;66.67;1504.55;1481839;493946.34;500.26;166.75;443.15;147.72;118.19;39.4;582.47;194.16;454.4;151.47;24.72;8.24;41.26;13.75;0.13;318;106;352.2;117.4;337.5;112.5;327.1;109.03;734.5;244.83;647.95;215.98;413.64;137.88;463.2;154.4;355.19;118.4;243.21;81.07;3163.74;3115.48;3231.66;3771.84;2;0.67;5;1.67
