team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
*' Bolbi Firmino *' & Mino & Pickle Rick;*' Bolbi Firmino *';1;1;100.00;182;182;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;339;53.37;1359;1359;1170;1170;189;189;15;15;17;17;201;201;137;137;64;64;2;2;6;6;19.05;19.05;82.38;82.38;73;73;337;337;70;70;1481;306618;306618;108.42;108.42;83.21;83.21;27.52;27.52;110.87;110.87;91.75;91.75;16.53;16.53;3.67;3.67;0.13;29;29;101.5;101.5;59.7;59.7;46.93;46.93;172.22;172.22;123.84;123.84;95.31;95.31;90.14;90.14;73.91;73.91;55.1;55.1;3163;2923;3320;3612;0;0;0;0
Dookie Squirt & LtK_King & *' FiveSeven;*' FiveSeven;1;1;100.00;316;316;1;1;1;1;0;0;1;1;3;3;1;1;0;0;100;448;55.73;2766;2766;2094;2094;672;672;24;24;58;58;798;798;494;494;304;304;6;6;23;23;53.68;53.68;38.06;38.06;127;127;296;296;110;110;1674;540240;540240;116.53;116.53;167.33;167.33;57.92;57.92;184.8;184.8;140.9;140.9;16.07;16.07;10.69;10.69;0.1;111;111;118.6;118.6;111;111;83.65;83.65;258.12;258.12;196.63;196.63;145.14;145.14;144.91;144.91;101.73;101.73;95.13;95.13;3251;3105;3399;4016;0;0;1;1
000. & XKryptonite24;000.;1;0;0.00;748;748;4;4;1;1;1;1;4;4;8;8;7;7;3;3;100;384;47.17;2709;2709;2193;2193;516;516;24;24;45;45;499;499;400;400;99;99;4;4;9;9;59.57;59.57;65.62;65.62;535;535;212;212;0;0;1441;534094;534094;226.2;226.2;147.46;147.46;46.62;46.62;257.81;257.81;131.56;131.56;30.93;30.93;6.6;6.6;0.11;61;61;183.9;183.9;198.9;198.9;117.47;117.47;302.82;302.82;304.1;304.1;116.19;116.19;232.48;232.48;106.48;106.48;81.33;81.33;2060;2017;2112;2997;1;1;1;1
00000000 & XayVox_YT;00000000;1;0;0.00;176;176;0;0;1;1;0;0;3;3;7;7;5;5;2;2;0;386;51.52;1718;1718;1296;1296;422;422;18;18;32;32;310;310;211;211;99;99;3;3;10;10;29.13;29.13;56.71;56.71;226;226;513;513;88;88;1468;380248;380248;142.29;142.29;95.18;95.18;44.27;44.27;161.84;161.84;112.46;112.46;7.45;7.45;3.84;3.84;0.14;27;27;120.3;120.3;147.7;147.7;79.43;79.43;202.31;202.31;195.79;195.79;85.95;85.95;152.13;152.13;81.9;81.9;47.71;47.71;2501;2335;2632;3353;2;2;1;1
0Camilo710 & CeyJuan0;0Camilo710;1;1;100.00;631;631;1;1;3;3;2;2;5;5;10;10;3;3;1;1;20;311;50.35;2109;2109;1684;1684;425;425;21;21;36;36;319;319;187;187;132;132;3;3;11;11;37.12;37.12;51.59;51.59;189;189;418;418;112;112;1443;497732;497732;201.93;201.93;127.58;127.58;45.07;45.07;220.45;220.45;143.76;143.76;10.35;10.35;4.77;4.77;0.11;42;42;159.5;159.5;193.9;193.9;99.69;99.69;274.88;274.88;237.91;237.91;136.66;136.66;173.61;173.61;117.27;117.27;83.69;83.69;2656;2751;2551;3312;0;0;1;1
123 & esreveR;123;1;1;100.00;162;162;0;0;1;1;0;0;0;0;5;5;1;1;1;1;0;349;50.63;2062;2062;1429;1429;633;633;18;18;55;55;569;569;240;240;329;329;3;3;28;28;33.94;33.94;31.75;31.75;125;125;347;347;68;68;1385;421147;421147;183.95;183.95;115.66;115.66;24.28;24.28;206.73;206.73;111.48;111.48;5.67;5.67;6;6;0.15;39;39;182.3;182.3;139;139;74.12;74.12;249.77;249.77;164.02;164.02;159.87;159.87;119.83;119.83;109.77;109.77;94.29;94.29;2240;1961;2437;2897;1;1;2;2
1punchman59 & Pug & Vlyd_Vampire;1punchman59;1;1;100.00;402;402;2;2;0;0;1;1;4;4;4;4;1;1;0;0;50;334;51.38;1657;1657;1230;1230;427;427;16;16;37;37;412;412;320;320;92;92;4;4;8;8;17.65;17.65;55.33;55.33;203;203;286;286;83;83;1411;381401;381401;178.21;178.21;84.21;84.21;31.01;31.01;193.5;193.5;96.84;96.84;3.08;3.08;6.46;6.46;0.11;58;58;113;113;90;90;55.45;55.45;237.98;237.98;209.54;209.54;83.89;83.89;151.01;151.01;96.18;96.18;46.24;46.24;3131;3024;3247;3486;1;1;2;2
QuilliManilli & Quilli. & Brisk;2AM BR41NY;1;1;100.00;609;609;3;3;0;0;1;1;9;9;3;3;0;0;0;0;33.33;490;51.16;2036;2036;1389;1389;647;647;19;19;48;48;1011;1011;636;636;375;375;7;7;24;24;32.83;32.83;37.56;37.56;259;259;531;531;67;67;1615;375015;375015;88.18;88.18;119.64;119.64;36.3;36.3;144.76;144.76;92.69;92.69;6.67;6.67;5.14;5.14;0.13;39;39;127;127;113.2;113.2;67.28;67.28;176.84;176.84;116.32;116.32;127.8;127.8;85.3;85.3;66.16;66.16;92.66;92.66;2138;1869;2436;3771;2;2;1;1
420bluntkillaxXxelitesniper69 & Codes;420bluntkillaxXxelitesniper69;1;0;0.00;254;254;1;1;0;0;1;1;1;1;5;5;3;3;1;1;100;406;41.87;1039;1039;781;781;258;258;9;9;15;15;275;275;77;77;198;198;1;1;10;10;22.21;22.21;38.21;38.21;136;136;118;118;22;22;1452;200236;200236;82.7;82.7;58.21;58.21;12.03;12.03;89.3;89.3;51.04;51.04;12.6;12.6;1.2;1.2;0.15;8;8;43.8;43.8;91.8;91.8;48.38;48.38;104.56;104.56;82.76;82.76;70.18;70.18;57.61;57.61;54.95;54.95;40.39;40.39;2958;2250;3461;3828;0;0;0;0
AUTHENTIC_SERCAN & zone_valezep1;AUTHENTIC_SERCAN;1;1;100.00;515;515;1;1;3;3;1;1;4;4;9;9;4;4;1;1;25;360;42.45;2097;2097;1481;1481;616;616;17;17;40;40;308;308;200;200;108;108;2;2;9;9;46.56;46.56;45.63;45.63;517;517;225;225;0;0;1303;435800;435800;234.91;234.91;112.43;112.43;29.35;29.35;239.6;239.6;122.11;122.11;14.98;14.98;1.82;1.82;0.23;8;8;185.5;185.5;170.7;170.7;114.99;114.99;261.71;261.71;247.04;247.04;129.66;129.66;200.77;200.77;100.42;100.42;75.5;75.5;2107;1970;2232;3127;2;2;1;1
