team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
********* & BRUNOINPRIME & FluffFN;*********;2;0;0.00;752;376;2;1;1;0.5;3;1.5;7;3.5;16;8;7;3.5;2;1;28.57;333.3;53.86;4222;2111;2947;1473.5;1275;637.5;35;17.5;114;57;1094;547;656;328;438;219;8;4;39;19.5;68.75;34.38;71.79;35.9;489;244.5;580;290;153;76.5;1407.16;977936;488968;413.22;206.61;277.54;138.77;59.58;29.79;487.62;243.81;251.14;125.57;11.58;5.79;16.47;8.24;0.15;123;61.5;267.1;133.55;330.9;165.45;204.1;102.05;546.24;273.12;468.17;234.08;282.17;141.08;347.16;173.58;225.51;112.76;177.67;88.83;2589.33;2455.83;2813.75;3610.9;2;1;2;1
*********** & Afk Plums & Lowxr74;***********;2;2;100.00;840;420;3;1.5;1;0.5;2;1;10;5;8;4;2;1;2;1;30;400.81;44.73;4299;2149.5;3260;1630;1039;519.5;38;19;92;46;634;317;305;152.5;329;164.5;4;2;28;14;145.91;72.96;56.39;28.19;1010;505;554;277;94;47;1471.36;941463;470731.5;318.61;159.3;278.4;139.2;76.62;38.31;388.32;194.16;256.21;128.1;29.09;14.55;7.72;3.86;0.15;67;33.5;273.7;136.85;291.8;145.9;182.88;91.44;490.74;245.37;431.19;215.6;242.43;121.21;330.92;165.46;194.48;97.24;148.23;74.11;2508.72;2335.5;2713.7;3339.39;3;1.5;1;0.5
************ & Landon on piano & Noah92202;************;2;1;50.00;562;281;1;0.5;2;1;1;0.5;6;3;16;8;6;3;1;0.5;16.67;320.43;52.38;3810;1905;2580;1290;1230;615;31;15.5;111;55.5;1154;577;709;354.5;445;222.5;8;4;39;19.5;83.09;41.54;57.44;28.72;632;316;580;290;97;48.5;1470.15;1009016;504508;370.48;185.24;296.8;148.4;74.03;37.01;460.24;230.12;259.58;129.79;21.5;10.75;8.18;4.09;0.3;56;28;254.3;127.15;204.8;102.4;187.84;93.92;553.47;276.73;483.24;241.62;258.08;129.04;361.05;180.52;222.67;111.33;157.59;78.79;2851.89;2606.06;3057.68;3508.52;2;1;0;0
************* & Saberon04 & Newb3y_Jr;*************;2;1;50.00;1114;557;5;2.5;0;0;2;1;11;5.5;18;9;6;3;3;1.5;45.45;348.94;49.97;3738;1869;2561;1280.5;1177;588.5;33;16.5;98;49;555;277.5;226;113;329;164.5;4;2;30;15;106.03;53.01;76.55;38.28;426;213;765;382.5;185;92.5;1444.11;952492;476246;352.75;176.38;299.08;149.54;66.93;33.47;457.42;228.71;247.02;123.51;14.33;7.16;2.45;1.23;0.22;11;5.5;362.4;181.2;327;163.5;184.48;92.24;534.3;267.15;482.61;241.3;236.15;118.07;372.06;186.03;208.11;104.06;138.59;69.29;2522.59;2543.77;2535.94;3203.66;0;0;0;0
************** & firereef101 & tidical;**************;2;2;100.00;1147;573.5;4;2;0;0;4;2;5;2.5;15;7.5;2;1;0;0;80;308.14;50.81;4042;2021;2987;1493.5;1055;527.5;42;21;93;46.5;436;218;164;82;272;136;3;1.5;24;12;67.87;33.93;169.79;84.9;400;200;1172;586;134;67;1406.31;1067475;533737.5;448.45;224.23;282.5;141.25;79.15;39.58;437.65;218.83;346.93;173.46;25.53;12.77;12.68;6.34;0.14;91;45.5;265.8;132.9;265.3;132.65;187.47;93.74;622.63;311.32;599.74;299.87;210.37;105.18;478.44;239.22;213.94;106.97;117.73;58.86;3192.16;3168.95;3215.96;3519.21;0;0;1;0.5
*************** & FrenchMan3156 & JOKER_III;***************;2;0;0.00;594;297;1;0.5;1;0.5;4;2;2;1;16;8;9;4.5;2;1;50;268.34;53.47;1696;848;1326;663;370;185;18;9;35;17.5;138;69;92;46;46;23;1;0.5;4;2;14.52;7.26;56.79;28.4;94;47;498;249;7;3.5;1277.32;369596;184798;232.74;116.37;95.73;47.86;11.31;5.65;244.49;122.25;93.21;46.6;2.08;1.04;2.74;1.37;0.13;21;10.5;184.9;92.45;179.6;89.8;96.78;48.39;243.01;121.51;293.53;146.76;46.26;23.13;242.85;121.43;77.16;38.58;19.78;9.89;2481.04;2389.28;2593.69;3282.49;1;0.5;5;2.5
**************** & pedazo_quebrado5;****************;1;0;0.00;358;358;0;0;0;0;3;3;2;2;11;11;4;4;3;3;0;374;51.59;1484;1484;1077;1077;407;407;14;14;38;38;272;272;190;190;82;82;3;3;8;8;15.01;15.01;29.19;29.19;119;119;328;328;115;115;1398;332015;332015;137.41;137.41;93;93;23.64;23.64;156;156;93.1;93.1;4.95;4.95;1.16;1.16;0.17;7;7;132.2;132.2;123.7;123.7;97.19;97.19;156.86;156.86;154.5;154.5;99.55;99.55;122.35;122.35;69.21;69.21;62.49;62.49;1996;1887;2066;2748;0;0;2;2
MisterJiggles & .dL [FW] smell my finger & Cavs Dwade;.dL [FW] smell my finger;1;0;0.00;244;244;1;1;0;0;1;1;3;3;8;8;2;2;1;1;33.33;299;39.89;1474;1474;847;847;627;627;11;11;49;49;231;231;100;100;131;131;1;1;12;12;53.43;53.43;17.23;17.23;231;231;165;165;0;0;1295;412523;412523;216.49;216.49;102.07;102.07;16.42;16.42;232.91;232.91;88.73;88.73;13.33;13.33;5.25;5.25;0.13;42;42;168.9;168.9;87.5;87.5;96.98;96.98;238;238;239.35;239.35;95.62;95.62;189.11;189.11;85.5;85.5;60.36;60.36;3440;3437;3434;3630;0;0;0;0
000000 & mars (chat off);000000;1;1;100.00;648;648;3;3;0;0;1;1;6;6;8;8;3;3;1;1;50;440;48.41;2316;2316;1829;1829;487;487;21;21;44;44;241;241;87;87;154;154;1;1;15;15;41.4;41.4;29.9;29.9;641;641;280;280;12;12;1430;502703;502703;206.81;206.81;129.83;129.83;45.32;45.32;229.62;229.62;136.36;136.36;15.98;15.98;2.27;2.27;0.09;25;25;176.9;176.9;191.1;191.1;140.93;140.93;241.02;241.02;246.1;246.1;135.85;135.85;188.71;188.71;102.1;102.1;91.14;91.14;2228;1944;2539;3083;0;0;1;1
0EL.PEPE0 & Marko_milk;0EL.PEPE0;1;1;100.00;569;569;2;2;3;3;0;0;4;4;5;5;2;2;1;1;50;276;48.69;1641;1641;891;891;750;750;12;12;57;57;625;625;394;394;231;231;5;5;20;20;36.01;36.01;21.25;21.25;152;152;318;318;106;106;1448;502150;502150;206.56;206.56;148.19;148.19;26.84;26.84;225.61;225.61;141.05;141.05;14.93;14.93;5.14;5.14;0.14;36;36;167;167;182.7;182.7;101.55;101.55;280.04;280.04;213.32;213.32;168.27;168.27;159.88;159.88;104;104;117.7;117.7;2298;2276;2373;2853;0;0;0;0
