team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
SDA;5nuffless;3;3;100.00;894;298;2;0.67;3;1;2;0.67;7;2.33;15;5;4;1.33;0;0;28.57;464.39;50.4;8039;2679.67;6184;2061.33;1855;618.33;71;23.67;157;52.33;1888;629.33;1252;417.33;636;212;15;5;54;18;116.7;38.9;123.46;41.15;1607;535.67;972;324;246;82;1561.37;1560791;520263.66;445.47;148.49;454.02;151.34;162.79;54.26;677.92;225.97;354.58;118.19;29.77;9.92;27.98;9.33;0.15;191;63.67;266.4;88.8;387.5;129.17;316.12;105.37;746.15;248.72;617.48;205.83;444.79;148.26;449.43;149.81;331.94;110.65;280.91;93.64;2821.48;2782.11;2890.23;3532.33;0;0;7;2.33
UTA;AnOddFellow;4;1;25.00;1297;324.25;2;0.5;2;0.5;4;1;10;2.5;34;8.5;14;3.5;7;1.75;20;345.07;54.76;8603;2150.75;5798;1449.5;2805;701.25;75;18.75;256;64;2800;700;1948;487;852;213;24;6;77;19.25;133.18;33.29;169.61;42.4;622;155.5;1714;428.5;498;124.5;1523.43;2028881;507220.25;633.75;158.44;666.78;166.7;128.95;32.24;814.27;203.57;570.93;142.73;44.29;11.07;40.21;10.05;0.13;306;76.5;490.3;122.58;470.7;117.68;428.25;107.06;1001.25;250.31;898.74;224.68;530.76;132.69;678.61;169.65;424.37;106.09;326.51;81.63;2857.69;2700.92;2990.12;3749;4;1;1;0.25
SFK;Angelofthebronx;4;3;75.00;934;233.5;2;0.5;3;0.75;0;0;8;2;24;6;7;1.75;1;0.25;25;332.9;55.74;7984;1996;5864;1466;2120;530;76;19;193;48.25;2219;554.75;1560;390;659;164.75;19;4.75;66;16.5;95.03;23.76;240.12;60.03;1378;344.5;1826;456.5;385;96.25;1511.7;1962699;490674.75;651.38;162.85;537.87;134.47;180.81;45.2;893.18;223.3;437.05;109.26;39.83;9.96;15.43;3.86;0.08;192;48;446.9;111.72;451.8;112.95;406.42;101.6;963.64;240.91;886.42;221.6;483.65;120.91;683.54;170.88;385.73;96.43;300.79;75.2;3390.48;3367.27;3433.42;4235.27;5;1.25;1;0.25
SFK;Apicality.;4;3;75.00;1502;375.5;3;0.75;3;0.75;6;1.5;14;3.5;24;6;7;1.75;3;0.75;21.43;325.43;56.21;7835;1958.75;6200;1550;1635;408.75;88;22;149;37.25;2096;524;1568;392;528;132;20;5;45;11.25;64.22;16.06;388.01;97;1630;407.5;2706;676.5;432;108;1601.47;2072732;518183;561.07;140.27;600.06;150.01;206.51;51.63;765.17;191.29;544.9;136.22;57.56;14.39;21.27;5.32;0.08;289;72.25;487.8;121.95;441.7;110.43;372.43;93.11;995.18;248.79;935.23;233.81;432.38;108.1;728.32;182.08;366.58;91.65;272.72;68.18;3338.68;3384.44;3326.53;4283.47;5;1.25;1;0.25
BAL;Ca7. `&;4;3;75.00;1616;404;6;1.5;1;0.25;4;1;14;3.5;19;4.75;6;1.5;3;0.75;42.86;370.24;49.65;7754;1938.5;4913;1228.25;2841;710.25;59;14.75;247;61.75;1809;452.25;1068;267;741;185.25;13;3.25;67;16.75;130.92;32.73;108.85;27.21;1152;288;1019;254.75;250;62.5;1389.11;1742559;435639.75;737.51;184.38;483.35;120.84;105.01;26.25;915.07;228.77;358.24;89.56;52.59;13.15;31.13;7.78;0.12;250;62.5;441.2;110.3;390.2;97.55;336.77;84.19;989.1;247.28;837.5;209.38;488.38;122.1;606.81;151.7;455.53;113.88;263.53;65.88;2688.97;2720.11;2662.23;3593.93;1;0.25;9;2.25
Caiman & Petti & bluglo.;Caiman;2;2;100.00;581;290.5;1;0.5;0;0;3;1.5;5;2.5;10;5;2;1;0;0;20;374.43;53.56;5496;2748;4171;2085.5;1325;662.5;54;27;117;58.5;1064;532;765;382.5;299;149.5;10;5;28;14;63.96;31.98;146.78;73.39;704;352;1194;597;171;85.5;1508.31;1180519;590259.5;383.64;191.82;344.39;172.2;97.46;48.73;572.98;286.49;251.35;125.68;1.16;0.58;16.62;8.31;0.11;158;79;326.7;163.35;217.8;108.9;198.86;99.43;626.62;313.31;557.64;278.82;267.86;133.93;416.36;208.18;255.11;127.56;154.02;77.01;3471.79;3359.61;3467.76;4065.95;1;0.5;1;0.5
SEA;Chef;4;3;75.00;1580;395;4;1;3;0.75;4;1;10;2.5;23;5.75;8;2;3;0.75;40;374.38;55.24;9334;2333.5;6370;1592.5;2964;741;77;19.25;267;66.75;2237;559.25;1358;339.5;879;219.75;15;3.75;82;20.5;108.04;27.01;173.18;43.3;983;245.75;1470;367.5;177;44.25;1516.19;2110099;527524.75;694.84;173.71;614.77;153.69;174.65;43.66;892.37;223.09;542.88;135.72;49.02;12.26;36.69;9.17;0.1;383;95.75;388.9;97.22;536.2;134.05;452.73;113.18;1031.53;257.88;960.24;240.06;524.01;131;725.52;181.38;439.8;109.95;318.93;79.73;2744.05;2548.19;2936.96;3548.27;2;0.5;6;1.5
NYI;CrucialUrchin;6;0;0.00;1145;190.83;1;0.17;1;0.17;8;1.33;3;0.5;59;9.83;20;3.33;10;1.67;33.33;430.72;42.96;14098;2349.67;10210;1701.67;3888;648;118;19.67;325;54.17;2050;341.67;1213;202.17;837;139.5;14;2.33;73;12.17;395.5;65.92;158.31;26.39;3325;554.17;1532;255.33;184;30.67;1403.86;2748507;458084.5;1064.41;177.4;787.68;131.28;217.9;36.32;1470.66;245.11;575.62;95.94;23.72;3.95;33.24;5.54;0.29;115;19.17;709.8;118.3;635.4;105.9;605.54;100.92;1464.46;244.08;1522.13;253.69;547.88;91.31;1233.3;205.55;553.52;92.25;283.18;47.2;2864.37;2985.28;2763;3588.92;4;0.67;6;1
ATL;Extinct-Brickz;3;3;100.00;1022;340.67;2;0.67;4;1.33;1;0.33;12;4;10;3.33;2;0.67;2;0.67;16.67;385.79;51;6679;2226.33;4666;1555.33;2013;671;53;17.67;181;60.33;2546;848.67;1711;570.33;835;278.33;19;6.33;74;24.67;148.81;49.6;113.02;37.67;824;274.67;701;233.67;214;71.33;1535.45;1521598;507199.34;473.1;157.7;446.88;148.96;132.9;44.3;637.57;212.52;392.43;130.81;22.87;7.62;27.11;9.04;0.1;281;93.67;276.7;92.23;355;118.33;245.07;81.69;807.8;269.27;517.73;172.58;535.15;178.38;358.71;119.57;344.38;114.79;349.79;116.6;2995.61;2928.88;3067.54;3875.58;2;0.67;1;0.33
DAL;Fen (~-_-)~;4;3;75.00;1041;260.25;2;0.5;1;0.25;4;1;12;3;22;5.5;5;1.25;2;0.5;16.67;363.21;53.57;8241;2060.25;5988;1497;2253;563.25;76;19;198;49.5;2001;500.25;1366;341.5;635;158.75;17;4.25;57;14.25;133.46;33.36;169.33;42.33;470;117.5;1653;413.25;348;87;1459.19;1857288;464322;672.21;168.05;543.7;135.92;116.77;29.19;781.34;195.33;512.09;128.02;39.25;9.81;26.27;6.57;0.12;212;53;384;96;504.6;126.15;383.51;95.88;949.17;237.29;834.43;208.61;498.25;124.56;612.36;153.09;442.98;110.75;277.33;69.33;2832.71;2681.27;3003.11;3663.13;3;0.75;3;0.75
