team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
justin100004 & ItsFlowZa & ctkshadow5;AngelWings_777;3;0;0.00;1715;571.67;6;2;0;0;8;2.67;12;4;30;10;10;3.33;4;1.33;50;343.16;49.47;5945;1981.67;4233;1411;1712;570.67;56;18.67;147;49;1767;589;1189;396.33;578;192.67;17;5.67;52;17.33;72.61;24.2;122.75;40.92;537;179;1107;369;412;137.33;1440.37;1431954;477318;538.37;179.46;438.53;146.18;87.94;29.31;637.38;212.46;378.53;126.18;48.94;16.31;12.61;4.2;0.14;89;29.67;497.3;165.77;529.2;176.4;268.98;89.66;795.85;265.28;661.32;220.44;403.47;134.49;520.46;173.49;277.13;92.38;267.26;89.09;2307.24;2281.69;2333.09;3132.27;1;0.33;2;0.67
justin100004 & ItsFlowZa & ctkshadow5;AnimeThighs0626;49;36;73.47;23376;477.06;85;1.73;31;0.63;50;1.02;174;3.55;278;5.67;101;2.06;42;0.86;48.85;436.69;49.77;128659;2625.69;93668;1911.59;34991;714.1;1088;22.2;3095;63.16;27210;555.31;16334;333.35;10876;221.96;188;3.84;958;19.55;2807.02;57.29;878.39;17.93;10405;212.35;12882;262.9;1917;39.12;1530.53;25449192;519371.25;7864.24;160.49;7669.71;156.52;2257.25;46.07;10831.09;221.04;6212.79;126.79;747.33;15.25;389.6;7.95;0.08;4603;93.94;7076.4;144.42;6974.8;142.34;4403.21;89.86;13387.95;273.22;11073.02;225.98;6718.13;137.1;8227.3;167.9;5533.76;112.93;4030.16;82.25;2611.57;2504.43;2721.99;3622.88;36;0.73;44;0.9
justin100004 & ItsFlowZa & ctkshadow5;AsleepRn_;3;3;100.00;2156;718.67;7;2.33;3;1;8;2.67;13;4.33;19;6.33;8;2.67;6;2;53.85;324.14;53.12;6276;2092;4101;1367;2175;725;50;16.67;193;64.33;1038;346;378;126;660;220;5;1.67;59;19.67;70.08;23.36;135.15;45.05;330;110;942;314;131;43.67;1518.54;1620345;540115;540.99;180.33;499.12;166.37;114.3;38.1;638.48;212.83;478.18;159.39;37.74;12.58;18.7;6.23;0.13;144;48;600.3;200.1;495.5;165.17;261.95;87.32;892.46;297.49;757.1;252.37;397.32;132.44;581.82;193.94;350.1;116.7;222.48;74.16;2715.07;2553.59;2905.73;3545.55;0;0;2;0.67
justin100004 & ItsFlowZa & ctkshadow5;Avid;6;1;16.67;2329;388.17;3;0.5;6;1;9;1.5;17;2.83;44;7.33;25;4.17;14;2.33;17.65;369.65;48.61;12880;2146.67;8608;1434.67;4272;712;106;17.67;386;64.33;2440;406.67;1126;187.67;1314;219;16;2.67;118;19.67;245.12;40.85;214.41;35.74;1071;178.5;2144;357.33;511;85.17;1445.35;2875587;479264.5;1120.53;186.76;867.55;144.59;207;34.5;1210.35;201.72;918.37;153.06;66.38;11.06;12.39;2.06;0.12;107;17.83;1102;183.67;1002.6;167.1;636.76;106.13;1558.33;259.72;1421.31;236.89;773.79;128.96;1093.8;182.3;622.97;103.83;478.32;79.72;2317.04;2103.81;2486.08;3458.13;3;0.5;0;0
justin100004 & ItsFlowZa & ctkshadow5;BEARDEDJACKYL;12;5;41.67;4429;369.08;14;1.17;7;0.58;7;0.58;40;3.33;82;6.83;45;3.75;21;1.75;35;279.35;51.15;21761;1813.42;14733;1227.75;7028;585.67;179;14.92;619;51.58;4728;394;2267;188.92;2461;205.08;29;2.42;214;17.83;311.11;25.93;587.57;48.96;2986;248.83;3367;280.58;642;53.5;1398.19;5732827;477735.59;2505.07;208.76;1656.06;138.01;280.82;23.4;3038.66;253.22;1332.09;111.01;71.18;5.93;33.23;2.77;0.12;266;22.17;2015.2;167.93;2242.7;186.89;1400.12;116.68;3041.8;253.48;2788.42;232.37;1653.5;137.79;2020.33;168.36;1471.38;122.61;950.21;79.18;2587.41;2403.05;2746.99;3239.4;8;0.67;9;0.75
justin100004 & ItsFlowZa & ctkshadow5;BadBobaFett74;21;9;42.86;7247;345.1;17;0.81;16;0.76;21;1;64;3.05;163;7.76;69;3.29;25;1.19;26.56;335.86;47.08;41000;1952.38;28412;1352.95;12588;599.43;345;16.43;1088;51.81;9346;445.05;5271;251;4075;194.05;65;3.1;354;16.86;934.2;44.49;656.62;31.27;2961;141;4998;238;932;44.38;1376.8;9578270;456108.09;4229.74;201.42;2829.72;134.75;455.29;21.68;4439.51;211.41;2936.08;139.81;139.13;6.63;69.16;3.29;0.12;572;27.24;3406.6;162.22;3813.6;181.6;2468.03;117.53;5046.69;240.32;4450.62;211.93;3064.1;145.91;3316.36;157.92;2345.38;111.68;1852.97;88.24;2741.71;2692.79;2787.97;3443.9;5;0.24;13;0.62
justin100004 & ItsFlowZa & ctkshadow5;BigCountry;23;6;26.09;10364;450.61;26;1.13;13;0.57;44;1.91;81;3.52;188;8.17;81;3.52;34;1.48;32.1;365.72;54.09;51427;2235.96;36930;1605.65;14497;630.3;493;21.43;1305;56.74;11691;508.3;6941;301.78;4750;206.52;96;4.17;420;18.26;608.77;26.47;1171.61;50.94;4633;201.43;10895;473.7;1950;84.78;1483.4;11476704;498987.12;3920.3;170.45;3650.97;158.74;766.5;33.33;5410.72;235.25;2729.72;118.68;197.29;8.58;177.03;7.7;0.12;1470;63.91;3846.4;167.23;3617.7;157.29;2256.45;98.11;6081.33;264.41;5268.05;229.05;3069.71;133.47;4024.37;174.97;2477.03;107.7;1836.37;79.84;2961.61;2763.8;3142.78;3570.28;15;0.65;15;0.65
justin100004 & ItsFlowZa & ctkshadow5;Bowler;3;1;33.33;1408;469.33;5;1.67;2;0.67;1;0.33;13;4.33;17;5.67;8;2.67;2;0.67;38.46;390.97;52.24;6959;2319.67;5164;1721.33;1795;598.33;70;23.33;157;52.33;1697;565.67;1131;377;566;188.67;15;5;49;16.33;90.11;30.04;160.06;53.35;1841;613.67;1887;629;378;126;1499.06;1485881;495293.66;501.6;167.2;453.48;151.16;110.29;36.76;706.34;235.45;327.39;109.13;31.64;10.55;11.4;3.8;0.14;81;27;491.7;163.9;532;177.33;314.4;104.8;750.97;250.32;680.4;226.8;384.96;128.32;513.33;171.11;320.62;106.87;231.42;77.14;2351.85;2051.41;2628.45;3408.22;4;1.33;2;0.67
justin100004 & ItsFlowZa & ctkshadow5;Chief;46;13;28.26;19370;421.09;57;1.24;13;0.28;58;1.26;146;3.17;366;7.96;173;3.76;99;2.15;39.04;341.14;52.66;100672;2188.52;70807;1539.28;29865;649.24;969;21.07;2638;57.35;20742;450.91;12231;265.89;8511;185.02;170;3.7;746;16.22;1157.32;25.16;1811.47;39.38;19366;421;25206;547.96;4626;100.57;1428.69;22816010;496000.22;9063.15;197.03;6838.32;148.66;1336.83;29.06;11834.33;257.27;4966.47;107.97;437.57;9.51;207.93;4.52;0.12;1706;37.09;7933.9;172.48;7938.5;172.58;4998.82;108.67;12239.53;266.08;11420.29;248.27;5817.83;126.47;8668.8;188.45;5069.02;110.2;3500.55;76.1;2485.61;2359.89;2591.42;3374.33;44;0.96;37;0.8
justin100004 & ItsFlowZa & ctkshadow5;ChrisPTaco;6;3;50.00;2416;402.67;9;1.5;2;0.33;4;0.67;19;3.17;48;8;21;3.5;12;2;47.37;310.45;45.45;10527;1754.5;6036;1006;4491;748.5;77;12.83;404;67.33;3371;561.83;1751;291.83;1620;270;23;3.83;147;24.5;221.52;36.92;151.69;25.28;690;115;1727;287.83;558;93;1427.36;2839727;473287.84;1126.72;187.79;824.33;137.39;196.03;32.67;1259.87;209.98;850.31;141.72;36.91;6.15;43.56;7.26;0.09;460;76.67;1063.8;177.3;995.2;165.87;566.61;94.43;1580.47;263.41;1257.05;209.51;890.05;148.34;917.82;152.97;666.83;111.14;562.45;93.74;2597.31;2458.17;2685.13;3508.55;3;0.5;4;0.67
