team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
TheGozMaster & !jt & FRW4Y-;!jt;1;1;100.00;397;397;1;1;0;0;2;2;3;3;9;9;3;3;1;1;33.33;426;55.97;3033;3033;2450;2450;583;583;30;30;47;47;304;304;91;91;213;213;1;1;12;12;38.37;38.37;65.93;65.93;229;229;503;503;14;14;1436;555114;555114;222.37;222.37;156.98;156.98;37.82;37.82;245.36;245.36;162.23;162.23;9.58;9.58;7.06;7.06;0.12;61;61;145.4;145.4;109.7;109.7;83.34;83.34;333.83;333.83;240.32;240.32;176.85;176.85;186.76;186.76;121.53;121.53;108.88;108.88;2733;2537;2896;3554;0;0;0;0
smellydiaper47 & % | Allen;% | Allen;1;0;0.00;315;315;0;0;0;0;2;2;3;3;8;8;4;4;3;3;0;351;52.23;1969;1969;1444;1444;525;525;18;18;47;47;461;461;245;245;216;216;3;3;18;18;47.17;47.17;40.8;40.8;169;169;368;368;54;54;1451;458118;458118;170.21;170.21;130.84;130.84;34.61;34.61;194.05;194.05;135.33;135.33;6.28;6.28;6.81;6.81;0.23;30;30;168.3;168.3;153.1;153.1;107.09;107.09;228.58;228.58;207.71;207.71;127.96;127.96;160.01;160.01;105.13;105.13;70.53;70.53;2817;2322;3197;3342;1;1;1;1
Vorlex & * & Lothrik;*;1;0;0.00;370;370;2;2;0;0;1;1;2;2;7;7;4;4;2;2;100;291;56.64;2145;2145;1198;1198;947;947;15;15;82;82;489;489;276;276;213;213;3;3;18;18;44.93;44.93;20.1;20.1;160;160;324;324;26;26;1382;557565;557565;272.05;272.05;125.17;125.17;37.22;37.22;271.25;271.25;135.27;135.27;27.92;27.92;16.18;16.18;0.14;118;118;142;142;136.6;136.6;110.78;110.78;323.65;323.65;305.05;305.05;129.38;129.38;224.77;224.77;140.55;140.55;69.12;69.12;3074;3068;3134;3708;1;1;0;0
GBL_GORILLA & Sleepy Joe & **** Patrol;**** Patrol;1;0;0.00;348;348;0;0;1;1;1;1;1;1;5;5;3;3;1;1;0;346;50.4;1971;1971;1633;1633;338;338;19;19;30;30;282;282;234;234;48;48;4;4;4;4;34.04;34.04;71.33;71.33;158;158;287;287;165;165;1422;451432;451432;181.52;181.52;130.18;130.18;25.28;25.28;201.7;201.7;122.11;122.11;13.18;13.18;7.57;7.57;0.17;44;44;98.2;98.2;128;128;110.29;110.29;226.7;226.7;240.69;240.69;96.3;96.3;195.49;195.49;88.77;88.77;52.72;52.72;2440;2324;2535;3500;0;0;2;2
***** father & Zeus's Dad & pneidow15;***** father;1;0;0.00;317;317;0;0;0;0;1;1;1;1;9;9;2;2;1;1;0;290;50.34;1441;1441;1091;1091;350;350;13;13;31;31;152;152;100;100;52;52;1;1;5;5;46.01;46.01;47.42;47.42;120;120;135;135;0;0;1206;351569;351569;201.29;201.29;86.32;86.32;10.98;10.98;189.78;189.78;101.03;101.03;7.78;7.78;6.36;6.36;0.24;26;26;117.7;117.7;74.9;74.9;57.6;57.6;240.99;240.99;238.66;238.66;59.93;59.93;199.63;199.63;71.12;71.12;27.85;27.85;2302;2210;2336;3071;0;0;1;1
******* & gkittelson & LeGeNd Of PoNyS;*******;2;2;100.00;856;428;2;1;2;1;3;1.5;6;3;12;6;1;0.5;0;0;33.33;262.29;47.43;2902;1451;1830;915;1072;536;24;12;96;48;422;211;256;128;166;83;3;1.5;15;7.5;38.74;19.37;57.6;28.8;353;176.5;581;290.5;42;21;1282.61;808224;404112;408.94;204.47;219.83;109.91;37.92;18.96;481.84;240.92;177.87;88.93;6.98;3.49;14.41;7.2;0.31;46;23;301.8;150.9;186.9;93.45;100.04;50.02;566.65;283.33;491.3;245.65;175.39;87.69;391.95;195.98;182.09;91.04;92.65;46.32;3482.92;3313.79;3700.1;3645.04;0;0;3;1.5
******* Toggler & t0xikhasrizz & temp2761;******* Toggler;1;1;100.00;230;230;0;0;1;1;1;1;1;1;3;3;1;1;0;0;0;294;58.48;1688;1688;1091;1091;597;597;15;15;56;56;540;540;391;391;149;149;4;4;15;15;22.16;22.16;26.17;26.17;128;128;441;441;17;17;1443;452857;452857;168.96;168.96;143.87;143.87;19.79;19.79;199.54;199.54;117.77;117.77;15.32;15.32;8.36;8.36;0.14;58;58;125.3;125.3;73.6;73.6;58.73;58.73;273.9;273.9;202.12;202.12;130.5;130.5;140.69;140.69;119.13;119.13;72.81;72.81;3281;3273;3222;3706;0;0;0;0
********** & Lets Scrap & OzziePooH;**********;3;2;66.67;798;266;3;1;0;0;1;0.33;7;2.33;14;4.67;10;3.33;4;1.33;42.86;351.11;37.5;5616;1872;3941;1313.67;1675;558.33;43;14.33;131;43.67;1052;350.67;480;160;572;190.67;5;1.67;44;14.67;208.95;69.65;94.54;31.51;912;304;373;124.33;31;10.33;1315.44;1336626;445542;642.97;214.32;384.01;128;77.7;25.9;721.15;240.38;371.95;123.98;11.58;3.86;15.22;5.07;0.56;51;17;272.3;90.77;402.5;134.17;377.32;125.77;727.37;242.46;664.78;221.59;439.91;146.64;506.67;168.89;308.1;102.7;289.92;96.64;3061.12;3003.42;3134.69;3438.62;0;0;2;0.67
*********** & ************* & WhoopiePanda;***********;4;3;75.00;1615;403.75;8;2;1;0.25;2;0.5;11;2.75;21;5.25;9;2.25;1;0.25;72.73;353.99;50.76;7710;1927.5;5247;1311.75;2463;615.75;62;15.5;220;55;1560;390;752;188;808;202;9;2.25;71;17.75;126.84;31.71;128.26;32.06;852;213;981;245.25;161;40.25;1463.64;1837057;459264.25;706.68;176.67;502.36;125.59;148.09;37.02;804.67;201.17;495.88;123.97;56.58;14.15;20.71;5.18;0.13;166;41.5;368.8;92.2;505.6;126.4;399.03;99.76;958.1;239.52;861.5;215.38;495.62;123.9;650.25;162.56;418.11;104.53;288.76;72.19;3135.31;3005.39;3250.11;3732.93;2;0.5;1;0.25
************ & LordChedda & Space Cadet1075;************;5;5;100.00;2630;526;12;2.4;3;0.6;6;1.2;17;3.4;31;6.2;10;2;6;1.2;70.59;350.86;52.13;10429;2085.8;7581;1516.2;2848;569.6;91;18.2;251;50.2;2277;455.4;1599;319.8;678;135.6;20;4;61;12.2;140.82;28.16;182.88;36.58;1700;340;1502;300.4;368;73.6;1421.18;2377082;475416.41;956.06;191.21;653.69;130.74;207.2;41.44;1128.13;225.63;646.79;129.36;42.03;8.41;27.87;5.57;0.13;237;47.4;597.1;119.42;597.5;119.5;424.54;84.91;1392.4;278.48;1194.45;238.89;622.49;124.5;942.85;188.57;481.03;96.21;393.06;78.61;2906.58;2929.62;2896.9;3481.62;5;1;3;0.6
