team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
**** YEAH BROTHER! & BeefChops;**** YEAH BROTHER!;2;0;0.00;810;405;2;1;2;1;4;2;2;1;14;7;8;4;4;2;100;394;51.3;4606;2303;3780;1890;826;413;42;21;82;41;1520;760;1190;595;330;165;12;6;32;16;107.57;53.78;106.34;53.17;1162;581;520;260;48;24;1616;1066628;533314;288.71;144.36;335.17;167.58;96.76;48.38;398.26;199.13;261.54;130.77;60.83;30.42;6.3;3.15;0.11;59;29.5;348.5;174.25;350.9;175.45;224.52;112.26;496.11;248.05;475.66;237.83;244.87;122.43;383.95;191.98;195.26;97.63;141.42;70.71;2727.5;2653.5;2773.5;3960.5;4;2;0;0
Hawkeye83 & ***** frenzy;***** frenzy;1;1;100.00;661;661;2;2;1;1;2;2;6;6;7;7;2;2;0;0;33.33;428;46.73;2378;2378;1769;1769;609;609;24;24;55;55;548;548;387;387;161;161;5;5;15;15;51.17;51.17;60.06;60.06;797;797;568;568;125;125;1527;517072;517072;173.31;173.31;130.51;130.51;67.26;67.26;233.29;233.29;122.47;122.47;15.33;15.33;4.26;4.26;0.16;27;27;165.8;165.8;186.4;186.4;122.35;122.35;248.73;248.73;211.82;211.82;159.26;159.26;162.15;162.15;108.2;108.2;100.74;100.74;2489;2461;2501;3518;3;3;0;0
******** & Blimpie;********;1;1;100.00;649;649;2;2;1;1;3;3;2;2;10;10;4;4;2;2;100;404;54.72;2547;2547;1998;1998;549;549;24;24;49;49;491;491;284;284;207;207;4;4;18;18;45.67;45.67;31.69;31.69;120;120;415;415;115;115;1483;522077;522077;191.14;191.14;162.72;162.72;41.39;41.39;222.57;222.57;160.85;160.85;11.82;11.82;5.23;5.23;0.11;49;49;199.5;199.5;169.3;169.3;76.86;76.86;318.38;318.38;252.22;252.22;143.03;143.03;200.69;200.69;111.85;111.85;82.7;82.7;2406;2520;2302;3394;0;0;1;1
********* & Draconian;*********;1;0;0.00;246;246;0;0;2;2;1;1;1;1;14;14;4;4;3;3;0;275;36.5;1518;1518;894;894;624;624;10;10;46;46;147;147;0;0;147;147;0;0;13;13;56.02;56.02;15.24;15.24;229;229;40;40;7;7;1335;453778;453778;229.97;229.97;114.37;114.37;28.36;28.36;239.64;239.64;126.17;126.17;6.9;6.9;5.65;5.65;0.16;35;35;153;153;201.9;201.9;119.63;119.63;253.07;253.07;245.55;245.55;127.16;127.16;192.74;192.74;101.38;101.38;78.59;78.59;2580;2523;2647;3078;0;0;0;0
********** & Tyleros & Jean Shorts;**********;2;1;50.00;712;356;1;0.5;2;1;4;2;4;2;15;7.5;6;3;3;1.5;25;360.74;48.42;4042;2021;2827;1413.5;1215;607.5;33;16.5;109;54.5;571;285.5;267;133.5;304;152;3;1.5;29;14.5;86.91;43.46;51.88;25.94;888;444;496;248;33;16.5;1433.72;948400;474200;362.01;181.01;264.9;132.45;81.51;40.75;453.86;226.93;238.12;119.06;16.44;8.22;11.03;5.51;0.26;54;27;374.8;187.4;307.4;153.7;173.26;86.63;535.15;267.58;479.37;239.68;229.04;114.52;371.22;185.61;215.85;107.93;121.34;60.67;2631.68;2312.36;2909.59;3299.39;0;0;2;1
Mcjesus75 & ***********;***********;2;0;0.00;568;284;2;1;0;0;2;1;4;2;16;8;10;5;8;4;50;275;46.39;2502;1251;1534;767;968;484;20;10;84;42;360;180;0;0;360;180;0;0;30;15;87.06;43.53;53.12;26.56;422;211;500;250;0;0;1395.5;765991;382995.5;317.6;158.8;251.01;125.5;25.98;12.99;326.12;163.06;229.78;114.89;38.68;19.34;10.38;5.19;0.13;82;41;276.1;138.05;276.6;138.3;174.52;87.26;420.07;210.04;428.32;214.16;166.27;83.13;304.22;152.11;202.76;101.38;87.6;43.8;2523.51;2440.03;2595;2931.99;0;0;0;0
************ & BlkNight & JKuo;************;1;0;0.00;204;204;0;0;0;0;1;1;0;0;10;10;2;2;0;0;0;188;57.36;1182;1182;679;679;503;503;10;10;44;44;343;343;123;123;220;220;2;2;19;19;24.92;24.92;42.36;42.36;32;32;342;342;84;84;1202;442691;442691;271.52;271.52;102.84;102.84;11.78;11.78;270.28;270.28;109.23;109.23;6.62;6.62;8.18;8.18;0.27;30;30;126.9;126.9;146.4;146.4;114.52;114.52;271.61;271.61;224.04;224.04;162.09;162.09;161.95;161.95;126.71;126.71;97.47;97.47;2884;2770;2929;3690;0;0;0;0
Gamma GM & **************;**************;2;2;100.00;1166;583;4;2;0;0;6;3;12;6;14;7;2;1;0;0;33.33;418;53.27;4644;2322;3576;1788;1068;534;40;20;94;47;1090;545;668;334;422;211;8;4;36;18;75.14;37.57;61;30.5;784;392;391;195.5;130;65;1397.5;894013;447006.5;335.71;167.86;262.43;131.21;73.52;36.76;376.67;188.33;251.77;125.88;43.21;21.6;8.22;4.11;0.12;66;33;355;177.5;293.8;146.9;133.92;66.96;537.74;268.87;408.8;204.4;262.86;131.43;284.93;142.46;241.27;120.63;145.46;72.73;2505.5;1927;3096.5;2732.5;0;0;0;0
*************** & hooded eman;***************;1;0;0.00;258;258;1;1;0;0;0;0;1;1;7;7;4;4;2;2;100;363;40.07;1544;1544;1107;1107;437;437;12;12;38;38;196;196;67;67;129;129;1;1;12;12;62.34;62.34;20.05;20.05;261;261;99;99;32;32;1505;395859;395859;128.08;128.08;127.32;127.32;27.54;27.54;173.52;173.52;93.43;93.43;15.99;15.99;2.87;2.87;0.15;19;19;149.6;149.6;116;116;74.52;74.52;208.41;208.41;195.99;195.99;86.95;86.95;151.92;151.92;78.06;78.06;52.96;52.96;2180;1889;2368;2712;0;0;0;0
O8 Grand Marquis & ,VCx;,VCx;1;1;100.00;395;395;0;0;2;2;2;2;1;1;7;7;0;0;0;0;0;416;48.67;2007;2007;1513;1513;494;494;18;18;36;36;352;352;158;158;194;194;2;2;17;17;32.53;32.53;32.6;32.6;217;217;292;292;46;46;1518;422643;422643;121.11;121.11;130.15;130.15;35.97;35.97;179.01;179.01;104.35;104.35;3.88;3.88;5.29;5.29;0.14;37;37;161.3;161.3;126.1;126.1;99.79;99.79;187.44;187.44;193.05;193.05;94.18;94.18;152.79;152.79;73.16;73.16;61.28;61.28;2464;2494;2454;2915;0;0;1;1
