team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
UTAH;AnOddFellow;4;1;25.00;1503;375.75;2;0.5;1;0.25;4;1;18;4.5;28;7;11;2.75;6;1.5;11.11;373.46;54.06;9612;2403;6387;1596.75;3225;806.25;83;20.75;292;73;3211;802.75;2153;538.25;1058;264.5;30;7.5;93;23.25;107.56;26.89;195.94;48.99;1143;285.75;2026;506.5;863;215.75;1495.63;2181085;545271.25;708.23;177.06;640.03;160.01;181.86;45.47;912.87;228.22;582.49;145.62;34.73;8.68;52.94;13.23;0.13;388;97;517.6;129.4;508.6;127.15;439.06;109.76;1091.04;272.76;950.19;237.55;579.8;144.95;715.36;178.84;473.48;118.37;341.25;85.31;3016.25;2951.52;3087.12;3900.13;2;0.5;5;1.25
SEA;AndyMcMuffin;5;2;40.00;1445;289;3;0.6;1;0.2;3;0.6;9;1.8;28;5.6;11;2.2;7;1.4;33.33;389.32;49.55;11675;2335;8764;1752.8;2911;582.2;102;20.4;247;49.4;2206;441.2;1652;330.4;554;110.8;19;3.8;50;10;260.49;52.1;188.14;37.63;2290;458;1495;299;248;49.6;1439.89;2485852;497170.41;919.94;183.99;681.79;136.36;212.88;42.58;987.12;197.42;775.06;155.01;52.44;10.49;35.77;7.15;0.17;211;42.2;639.3;127.86;624.8;124.96;551.7;110.34;1262.93;252.59;1179.2;235.84;635.43;127.09;915.69;183.14;494.25;98.85;404.67;80.93;3294.74;3098.49;3463.61;3838.13;11;2.2;6;1.2
SANTA FE KNIGHTS;Angelofthebronx;3;0;0.00;532;177.33;1;0.33;1;0.33;1;0.33;3;1;27;9;11;3.67;5;1.67;33.33;292.34;48.84;5010;1670;3262;1087.33;1748;582.67;41;13.67;151;50.33;1101;367;639;213;462;154;7;2.33;37;12.33;72.06;24.02;111.59;37.2;813;271;874;291.33;59;19.67;1451.62;1429142;476380.66;548.48;182.83;404.73;134.91;100.77;33.59;705.1;235.03;321.85;107.28;27.05;9.02;16.91;5.64;0.09;180;60;369.3;123.1;308;102.67;312.76;104.25;741.22;247.07;719.46;239.82;334.52;111.51;558.68;186.23;290.58;96.86;204.72;68.24;3388.92;3349.66;3437.29;3976.52;2;0.67;2;0.67
SANTA FE KNIGHTS;Apicality.;3;0;0.00;547;182.33;0;0;0;0;3;1;5;1.67;27;9;11;3.67;1;0.33;0;309.38;57.86;6046;2015.33;4783;1594.33;1263;421;70;23.33;112;37.33;1209;403;822;274;387;129;12;4;35;11.67;53.58;17.86;309.67;103.22;996;332;2182;727.33;387;129;1602;1574802;524934;422.15;140.72;466.85;155.62;160.24;53.41;552.38;184.13;452.46;150.82;44.4;14.8;13.17;4.39;0.06;224;74.67;348.8;116.27;322.7;107.57;313.3;104.43;735.93;245.31;716.19;238.73;333.04;111.01;544.36;181.45;302.37;100.79;202.5;67.5;3163.58;3114.57;3221.95;3931.17;5;1.67;4;1.33
JERSEY;Blitzzzzz.;5;2;40.00;1649;329.8;4;0.8;5;1;6;1.2;14;2.8;39;7.8;18;3.6;7;1.4;28.57;412.62;49.51;12137;2427.4;7932;1586.4;4205;841;94;18.8;381;76.2;2382;476.4;1206;241.2;1176;235.2;13;2.6;108;21.6;203.19;40.64;122.14;24.43;1668;333.6;1482;296.4;138;27.6;1538.09;2583664;516732.81;815.01;163;770.63;154.13;229.23;45.85;1110.25;222.05;652.21;130.44;52.42;10.48;38.88;7.78;0.07;532;106.4;620.5;124.1;547.4;109.48;536.55;107.31;1278.32;255.66;1223.93;244.79;590.94;118.19;923.11;184.62;567.21;113.44;324.56;64.91;2859.73;2912.92;2804.45;3692.35;8;1.6;2;0.4
BALTIMORE;Ca7. `&;3;3;100.00;952;317.33;1;0.33;5;1.67;2;0.67;8;2.67;10;3.33;4;1.33;2;0.67;12.5;347.8;46.71;6194;2064.67;4139;1379.67;2055;685;47;15.67;178;59.33;1821;607;1057;352.33;764;254.67;12;4;66;22;124.27;41.42;69.7;23.23;427;142.33;574;191.33;140;46.67;1391.56;1365810;455270;587.34;195.78;374.26;124.75;87.03;29.01;627.98;209.33;362.11;120.7;58.52;19.51;24.78;8.26;0.14;183;61;335.5;111.83;310;103.33;296.77;98.92;751.84;250.61;618.84;206.28;429.79;143.26;448.57;149.52;328.12;109.37;271.94;90.65;2576.55;2496.83;2708.48;3549.22;2;0.67;3;1
MCV;Caiman;5;2;40.00;1609;321.8;6;1.2;1;0.2;2;0.4;12;2.4;35;7;17;3.4;1;0.2;50;426.03;46.81;12856;2571.2;9079;1815.8;3777;755.4;110;22;316;63.2;2169;433.8;1263;252.6;906;181.2;14;2.8;80;16;226.45;45.29;212.21;42.44;1715;343;1978;395.6;149;29.8;1533.6;2571497;514299.41;847.77;169.55;718.62;143.72;244.46;48.89;1132.73;226.55;629.15;125.83;48.94;9.79;33.91;6.78;0.1;352;70.4;642.1;128.42;548.7;109.74;537.28;107.46;1273.55;254.71;1204.55;240.91;606.27;121.25;903.36;180.67;545.41;109.08;362.06;72.41;3013.39;2903.26;3125.06;3709.6;8;1.6;2;0.4
SEA;Chef;5;2;40.00;1316;263.2;3;0.6;1;0.2;3;0.6;10;2;28;5.6;11;2.2;1;0.2;30;373.59;53.68;11489;2297.8;7872;1574.4;3617;723.4;106;21.2;322;64.4;3268;653.6;2095;419;1173;234.6;27;5.4;106;21.2;180.44;36.09;197.53;39.51;1618;323.6;2721;544.2;617;123.4;1525.52;2626274;525254.81;829.72;165.94;762;152.4;214.67;42.93;1135.53;227.11;609.92;121.98;60.92;12.18;47.87;9.57;0.1;477;95.4;413.9;82.78;754.3;150.86;582.62;116.52;1223.76;244.75;1084.17;216.83;722.2;144.44;779.77;155.95;574.45;114.89;452.16;90.43;2755.16;2543.94;2958.58;3684.81;5;1;9;1.8
CAROLINA;Extinct-Brickz;3;3;100.00;1611;537;7;2.33;4;1.33;1;0.33;17;5.67;17;5.67;5;1.67;2;0.67;41.18;391.53;47.39;7086;2362;5134;1711.33;1952;650.67;59;19.67;170;56.67;2030;676.67;1246;415.33;784;261.33;15;5;69;23;131.59;43.86;121.79;40.6;623;207.67;779;259.67;259;86.33;1524.46;1579823;526607.69;544.82;181.61;445.05;148.35;145.06;48.35;683.88;227.96;406.48;135.49;44.58;14.86;24.29;8.1;0.1;241;80.33;353.7;117.9;384.7;128.23;255.12;85.04;879.82;293.27;645.35;215.12;489.58;163.19;462.32;154.11;373.22;124.41;299.4;99.8;2884.49;2861.66;2905.69;3748.2;0;0;1;0.33
ATLANTA;FlyPenguin53;3;3;100.00;930;310;3;1;0;0;3;1;6;2;17;5.67;1;0.33;0;0;50;338.82;45.02;5553;1851;3293;1097.67;2260;753.33;39;13;194;64.67;1304;434.67;859;286.33;445;148.33;10;3.33;38;12.67;137.11;45.7;46.33;15.44;181;60.33;359;119.67;13;4.33;1453.43;1369070;456356.66;509.87;169.96;398.27;132.76;69.72;23.24;631.8;210.6;319.23;106.41;26.81;8.94;27.49;9.16;0.11;260;86.67;332.3;110.77;296.7;98.9;260.59;86.86;717.25;239.08;670.07;223.36;307.77;102.59;513.14;171.05;284.94;94.98;179.75;59.92;3317.89;3173.77;3457.2;3981.77;0;0;1;0.33
