team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
bossman529 &    & Sov;"  ";1;1;100.00;246;246;1;1;0;0;1;1;2;2;4;4;2;2;0;0;50;353;57.88;2095;2095;1583;1583;512;512;22;22;49;49;491;491;318;318;173;173;4;4;15;15;19.66;19.66;69.35;69.35;353;353;585;585;85;85;1470;487847;487847;173.48;173.48;139.27;139.27;41.27;41.27;212;212;131.87;131.87;10.14;10.14;4.6;4.6;0.09;51;51;88.4;88.4;119.4;119.4;104.59;104.59;249.42;249.42;215.64;215.64;138.37;138.37;150.04;150.04;130.63;130.63;73.34;73.34;3000;3012;3058;3544;1;1;1;1
Faucon2123 & Kahrdak & !IMERYC;!IMERYC;1;1;100.00;405;405;2;2;1;1;0;0;5;5;3;3;2;2;1;1;40;425;55.72;2765;2765;1954;1954;811;811;22;22;75;75;830;830;600;600;230;230;6;6;21;21;29.59;29.59;42.66;42.66;261;261;271;271;0;0;1421;538640;538640;205.68;205.68;157.64;157.64;39.64;39.64;287.92;287.92;113.48;113.48;1.57;1.57;10.04;10.04;0.19;53;53;116.6;116.6;135.2;135.2;98.91;98.91;304.06;304.06;229.06;229.06;173.91;173.91;167.93;167.93;131.81;131.81;103.22;103.22;2694;2627;2853;3148;0;0;1;1
!Paradox & 33 joshie & Rysethegame;!Paradox;1;0;0.00;560;560;2;2;0;0;1;1;5;5;6;6;3;3;0;0;40;415;42.74;2400;2400;1555;1555;845;845;19;19;52;52;471;471;11;11;460;460;1;1;17;17;75.92;75.92;41.11;41.11;251;251;270;270;0;0;1547;540785;540785;164.36;164.36;145.66;145.66;61.74;61.74;185.17;185.17;168.27;168.27;18.33;18.33;5.5;5.5;0.13;42;42;91.6;91.6;156.6;156.6;105.88;105.88;265.88;265.88;256.33;256.33;115.43;115.43;200.78;200.78;109.08;109.08;61.9;61.9;2091;1537;2632;3169;0;0;1;1
Lorak & d1Soteldihno d1 & $QMKMMMMMMMM$;$QMKMMMMMMMM$;1;1;100.00;1022;1022;4;4;0;0;3;3;10;10;12;12;3;3;0;0;40;454;48.45;4055;4055;3213;3213;842;842;40;40;75;75;929;929;725;725;204;204;8;8;20;20;81.08;81.08;50.39;50.39;233;233;787;787;74;74;1506;800891;800891;252.12;252.12;246.45;246.45;65.7;65.7;313.43;313.43;223.85;223.85;26.98;26.98;9.11;9.11;0.07;124;124;137.1;137.1;192.6;192.6;170.49;170.49;393.77;393.77;354.76;354.76;209.5;209.5;248.97;248.97;183.33;183.33;131.96;131.96;2827;2757;2890;3580;1;1;1;1
MystTwyst & WimpyandStinky & ******;******;1;0;0.00;327;327;0;0;1;1;1;1;1;1;8;8;4;4;2;2;0;304;59.79;2010;2010;1492;1492;518;518;18;18;49;49;509;509;341;341;168;168;5;5;13;13;19.55;19.55;62.34;62.34;150;150;382;382;175;175;1356;486587;486587;224.33;224.33;146.26;146.26;19.43;19.43;256.49;256.49;128.58;128.58;4.94;4.94;6.04;6.04;0.12;49;49;79.2;79.2;164.5;164.5;129.1;129.1;260.91;260.91;243.14;243.14;146.87;146.87;186.09;186.09;110.79;110.79;93.14;93.14;2765;2493;3038;3330;0;0;1;1
Lowxr74 & tec chris & ***********;***********;1;1;100.00;468;468;2;2;0;0;2;2;5;5;4;4;0;0;0;0;40;381;44.48;1954;1954;1442;1442;512;512;16;16;46;46;120;120;0;0;120;120;0;0;10;10;78.97;78.97;22.75;22.75;409;409;170;170;0;0;1499;468930;468930;146.66;146.66;139.7;139.7;38.02;38.02;161.67;161.67;143.26;143.26;19.45;19.45;6.75;6.75;0.11;62;62;113.8;113.8;101;101;82.28;82.28;242.1;242.1;211.67;211.67;112.71;112.71;161.22;161.22;97.5;97.5;65.67;65.67;3039;2859;3293;3829;1;1;0;0
************ & Landon on piano & Zion squad1;************;1;1;100.00;342;342;1;1;1;1;0;0;4;4;4;4;0;0;0;0;25;243;52.39;1316;1316;746;746;570;570;9;9;50;50;427;427;236;236;191;191;3;3;16;16;25.68;25.68;25.95;25.95;228;228;181;181;63;63;1354;449941;449941;203.83;203.83;120.43;120.43;23.71;23.71;233.47;233.47;110.13;110.13;4.37;4.37;2.47;2.47;0.49;5;5;122.1;122.1;82;82;82.37;82.37;265.6;265.6;221.52;221.52;126.46;126.46;166.31;166.31;104.15;104.15;77.51;77.51;2845;2509;3168;3613;0;0;0;0
************** & GimmeTheWheats & RBHaugh25;**************;1;1;100.00;523;523;3;3;0;0;0;0;4;4;2;2;1;1;0;0;75;294;55.73;1715;1715;1281;1281;434;434;21;21;40;40;174;174;34;34;140;140;1;1;13;13;17.11;17.11;95.67;95.67;55;55;761;761;65;65;1446;487264;487264;200.99;200.99;133.58;133.58;36.7;36.7;203.66;203.66;150.01;150.01;17.6;17.6;6.86;6.86;0.14;49;49;125.8;125.8;105;105;58.42;58.42;312.85;312.85;266.58;266.58;104.69;104.69;204.31;204.31;109;109;57.96;57.96;3626;3568;3646;3915;0;0;0;0
.dL [FW] smell my finger & Cavs Dwade & MisterJiggles;.dL [FW] smell my finger;1;0;0.00;244;244;1;1;0;0;1;1;3;3;8;8;2;2;1;1;33.33;299;39.89;1474;1474;847;847;627;627;11;11;49;49;231;231;100;100;131;131;1;1;12;12;53.43;53.43;17.23;17.23;231;231;165;165;0;0;1295;412523;412523;216.49;216.49;102.07;102.07;16.42;16.42;232.91;232.91;88.73;88.73;13.33;13.33;5.25;5.25;0.13;42;42;168.9;168.9;87.5;87.5;96.98;96.98;238;238;239.35;239.35;95.62;95.62;189.11;189.11;85.5;85.5;60.36;60.36;3440;3437;3434;3630;0;0;0;0
DylansAbum51 & Porter1. & Slaww0;/nullptr/;1;1;100.00;242;242;1;1;0;0;0;0;5;5;7;7;1;1;1;1;20;277;53.87;1515;1515;1063;1063;452;452;14;14;40;40;362;362;207;207;155;155;3;3;14;14;20.34;20.34;24.27;24.27;143;143;336;336;92;92;1368;420185;420185;185.49;185.49;114.61;114.61;22.15;22.15;227.19;227.19;84.31;84.31;10.76;10.76;3.67;3.67;0.16;23;23;122.6;122.6;81.3;81.3;74.89;74.89;247.36;247.36;199.99;199.99;122.26;122.26;150.09;150.09;101.11;101.11;71.05;71.05;3056;3050;3074;3881;0;0;4;4
