team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
PHX;$;3;3;100.00;934;311.33;3;1;2;0.67;2;0.67;7;2.33;11;3.67;4;1.33;2;0.67;42.86;356.97;50.54;6411;2137;4464;1488;1947;649;53;17.67;162;54;1350;450;527;175.67;823;274.33;8;2.67;61;20.33;100.51;33.5;189.49;63.16;1006;335.33;899;299.67;272;90.67;1560.6;1565466;521822;472.24;157.41;458.39;152.8;149.74;49.91;664.72;221.57;391.06;130.35;24.6;8.2;34.6;11.53;0.22;159;53;398.6;132.87;328.8;109.6;244.73;81.58;835.64;278.55;705.01;235;375.35;125.12;526.06;175.35;328.79;109.6;225.52;75.17;3449.04;3349.82;3590.76;4166.72;2;0.67;5;1.67
DEN;.procto;3;3;100.00;1767;589;7;2.33;2;0.67;4;1.33;12;4;16;5.33;2;0.67;1;0.33;58.33;356.86;53.52;6206;2068.67;4714;1571.33;1492;497.33;60;20;137;45.67;1702;567.33;1205;401.67;497;165.67;16;5.33;47;15.67;66.9;22.3;153.9;51.3;468;156;1237;412.33;377;125.67;1456.49;1484808;494936;549.28;183.09;426.99;142.33;101.75;33.92;636.28;212.09;402.03;134.01;39.71;13.24;23.49;7.83;0.09;277;92.33;298.9;99.63;362;120.67;275.26;91.75;802.77;267.59;616.49;205.5;461.47;153.82;429.88;143.29;362.49;120.83;285.65;95.22;2941.17;2934.05;2953.89;3798.33;2;0.67;1;0.33
PHX;3dsam;3;0;0.00;1030;343.33;2;0.67;0;0;5;1.67;5;1.67;33;11;13;4.33;4;1.33;40;379.24;40.26;6390;2130;4609;1536.33;1781;593.67;52;17.33;155;51.67;1472;490.67;973;324.33;499;166.33;10;3.33;44;14.67;146.79;48.93;83.66;27.89;805;268.33;607;202.33;26;8.67;1456.76;1438490;479496.66;508.77;169.59;445.98;148.66;103.96;34.65;626.19;208.73;421.88;140.63;10.64;3.55;17.23;5.74;0.12;142;47.33;336.2;112.07;368.7;122.9;370.11;123.37;688.6;229.53;713.42;237.81;345.31;115.1;541.22;180.41;320.47;106.82;197.03;65.68;2863.57;2791.76;2911.26;3525.95;2;0.67;6;2
PHX;53X BOMB_OMB;2;0;0.00;396;198;0;0;1;0.5;0;0;4;2;13;6.5;8;4;1;0.5;0;300.12;47.99;3738;1869;1921;960.5;1817;908.5;24;12;160;80;1011;505.5;513;256.5;498;249;6;3;42;21;44.96;22.48;61.39;30.69;544;272;433;216.5;88;44;1481.56;976076;488038;348.1;174.05;315.64;157.82;50.88;25.44;489.83;244.92;210.68;105.34;14.09;7.05;14.42;7.21;0.13;109;54.5;225.1;112.55;260.3;130.15;217.92;108.96;496.69;248.35;497.16;248.58;217.46;108.73;379.68;189.84;211.82;105.91;123.1;61.55;3281.52;3245.28;3325.66;3755.48;1;0.5;3;1.5
PHX;53XBOMB_OMB;3;0;0.00;1079;359.67;2;0.67;0;0;6;2;6;2;24;8;7;2.33;3;1;33.33;306.59;51.14;5434;1811.33;2536;845.33;2898;966;36;12;258;86;1503;501;883;294.33;620;206.67;12;4;56;18.67;64.53;21.51;87.5;29.17;699;233;1152;384;326;108.67;1447.54;1464262;488087.34;526.61;175.54;465.23;155.08;68.46;22.82;715.12;238.37;321.79;107.26;23.39;7.8;30.17;10.06;0.17;181;60.33;359.1;119.7;364.8;121.6;370.07;123.36;690.24;230.08;788.93;262.98;271.37;90.46;615.69;205.23;272.77;90.92;171.84;57.28;3081.77;3069.77;3051.18;3656.23;4;1.33;1;0.33
PHX;5nuffless;3;3;100.00;894;298;2;0.67;3;1;2;0.67;7;2.33;15;5;4;1.33;0;0;28.57;464.39;50.4;8039;2679.67;6184;2061.33;1855;618.33;71;23.67;157;52.33;1888;629.33;1252;417.33;636;212;15;5;54;18;116.7;38.9;123.46;41.15;1607;535.67;972;324;246;82;1561.37;1560791;520263.66;445.47;148.49;454.02;151.34;162.79;54.26;677.92;225.97;354.58;118.19;29.77;9.92;27.98;9.33;0.15;191;63.67;266.4;88.8;387.5;129.17;316.12;105.37;746.15;248.72;617.48;205.83;444.79;148.26;449.43;149.81;331.94;110.65;280.91;93.64;2821.48;2782.11;2890.23;3532.33;0;0;7;2.33
PHX;Aleggii;4;3;75.00;1489;372.25;5;1.25;3;0.75;2;0.5;12;3;22;5.5;10;2.5;3;0.75;41.67;283.95;43.25;6711;1677.75;4740;1185;1971;492.75;57;14.25;168;42;1175;293.75;672;168;503;125.75;9;2.25;44;11;190.57;47.64;137.49;34.37;266;66.5;871;217.75;226;56.5;1244.46;1666256;416564;965.34;241.33;411.77;102.94;57.08;14.27;950.74;237.68;459.13;114.78;24.33;6.08;19.76;4.94;0.2;99;24.75;375.2;93.8;450.5;112.62;364.01;91;1070.18;267.55;940.24;235.06;493.97;123.49;673.84;168.46;491.24;122.81;269.13;67.28;2793.17;2683.76;2876.08;3565.76;0;0;4;1
PHX;AnOddFellow;7;4;57.14;2294;327.71;3;0.43;3;0.43;9;1.29;19;2.71;49;7;16;2.29;8;1.14;15.79;333.21;53.97;14426;2060.86;9377;1339.57;5049;721.29;119;17;457;65.29;4500;642.86;2976;425.14;1524;217.71;36;5.14;138;19.71;192.99;27.57;291.93;41.7;1272;181.71;2499;357;694;99.14;1492.97;3451622;493088.84;1146.15;163.74;1096.14;156.59;222.34;31.76;1432.25;204.61;954.52;136.36;77.86;11.12;75.12;10.73;0.13;569;81.29;844.7;120.67;792.4;113.2;666.37;95.2;1798.27;256.9;1561.76;223.11;902.89;128.98;1173.77;167.68;733.89;104.84;556.97;79.57;2918.37;2758.29;3048.06;3761.84;7;1;4;0.57
PHX;Anderson107TX;3;0;0.00;621;207;2;0.67;0;0;2;0.67;4;1.33;15;5;6;2;2;0.67;50;327.37;43.91;5033;1677.67;3636;1212;1397;465.67;42;14;113;37.67;1243;414.33;786;262;457;152.33;9;3;39;13;163.51;54.5;92.72;30.91;624;208;588;196;111;37;1421.88;1349583;449861;507.57;169.19;401.85;133.95;81.99;27.33;617.85;205.95;349.15;116.38;24.42;8.14;21.02;7.01;0.19;110;36.67;270.9;90.3;382.3;127.43;349.16;116.39;642.25;214.08;523.34;174.45;468.07;156.02;362.86;120.95;330.98;110.33;297.57;99.19;2943.23;2847.58;3098.59;3615.6;2;0.67;2;0.67
SFK;Angelofthebronx;4;3;75.00;934;233.5;2;0.5;3;0.75;0;0;8;2;24;6;7;1.75;1;0.25;25;332.9;55.74;7984;1996;5864;1466;2120;530;76;19;193;48.25;2219;554.75;1560;390;659;164.75;19;4.75;66;16.5;95.03;23.76;240.12;60.03;1378;344.5;1826;456.5;385;96.25;1511.7;1962699;490674.75;651.38;162.85;537.87;134.47;180.81;45.2;893.18;223.3;437.05;109.26;39.83;9.96;15.43;3.86;0.08;192;48;446.9;111.72;451.8;112.95;406.42;101.6;963.64;240.91;886.42;221.6;483.65;120.91;683.54;170.88;385.73;96.43;300.79;75.2;3390.48;3367.27;3433.42;4235.27;5;1.25;1;0.25
