team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Lewacky & LeWacky & corythegod79;3xoticmoon;11;5;45.45;5526;502.36;22;2;7;0.64;12;1.09;42;3.82;89;8.09;38;3.45;17;1.55;52.38;375.8;46.07;26442;2403.82;19187;1744.27;7255;659.55;239;21.73;625;56.82;5634;512.18;3555;323.18;2079;189;46;4.18;175;15.91;559.93;50.9;420.87;38.26;4193;381.18;4841;440.09;1070;97.27;1480.68;5565734;505975.81;1988.08;180.73;1732.09;157.46;400.48;36.41;2630.03;239.09;1406.54;127.87;84.06;7.64;67.36;6.12;0.13;508;46.18;1847.6;167.96;2029.4;184.49;1137.36;103.4;2983.29;271.21;2677.5;243.41;1443.13;131.19;1967.68;178.88;1298.23;118.02;854.74;77.7;2487.04;2358.1;2624.95;3219.89;11;1;11;1
Lewacky & LeWacky & corythegod79;AJGsch;10;7;70.00;4660;466;16;1.6;5;0.5;10;1;35;3.5;57;5.7;30;3;13;1.3;45.71;312.72;49.97;19510;1951;13060;1306;6450;645;163;16.3;511;51.1;4021;402.1;2210;221;1811;181.1;29;2.9;157;15.7;353.49;35.35;417.19;41.72;1080;108;3006;300.6;717;71.7;1398.29;4791292;479129.19;2019.19;201.92;1455.39;145.54;248.2;24.82;2436.79;243.68;1198.68;119.87;87.31;8.73;58.36;5.84;0.21;273;27.3;1410.3;141.03;1501.8;150.18;1036.84;103.68;2685.93;268.59;2273.27;227.33;1449.46;144.95;1615.6;161.56;1280.24;128.02;826.93;82.69;2908.15;2727.61;3091.74;3670.36;2;0.2;3;0.3
Lewacky & LeWacky & corythegod79;Almond_Pie on YT;5;3;60.00;1998;399.6;7;1.4;1;0.2;7;1.4;14;2.8;27;5.4;13;2.6;5;1;50;369.64;51.47;11169;2233.8;8004;1600.8;3165;633;95;19;281;56.2;1918;383.6;1213;242.6;705;141;15;3;63;12.6;235.68;47.14;188.01;37.6;1772;354.4;1627;325.4;290;58;1498.52;2647204;529440.81;931.61;186.32;750.16;150.03;216.64;43.33;1162.74;232.55;668.73;133.75;66.94;13.39;35.98;7.2;0.12;301;60.2;644.3;128.86;546.8;109.36;517.64;103.53;1380.77;276.15;1277.68;255.54;620.74;124.15;990.99;198.2;588.07;117.61;319.36;63.87;3084.66;2922.78;3307.46;3648.23;2;0.4;2;0.4
Lewacky & LeWacky & corythegod79;BEARDEDJACKYL;17;7;41.18;5681;334.18;16;0.94;9;0.53;18;1.06;46;2.71;151;8.88;43;2.53;22;1.29;34.78;263.61;53.88;28925;1701.47;18423;1083.71;10502;617.76;235;13.82;912;53.65;5840;343.53;2613;153.71;3227;189.82;36;2.12;285;16.76;351.72;20.69;765.79;45.05;3927;231;5130;301.76;1030;60.59;1336.24;7917724;465748.47;3791.04;223;2177.89;128.11;348.13;20.48;4429.29;260.55;1809.72;106.45;78.06;4.59;38.71;2.28;0.12;308;18.12;2197;129.24;2538.9;149.35;1906.2;112.13;4410.89;259.46;4019.04;236.41;2298.04;135.18;3019.16;177.6;1955.95;115.06;1341.99;78.94;2830.59;2793;2858.3;3513.54;11;0.65;18;1.06
DOWN;BEARJEW_420;6;4;66.67;2401;400.17;9;1.5;1;0.17;10;1.67;17;2.83;36;6;9;1.5;4;0.67;52.94;394.89;50.48;13553;2258.83;10080;1680;3473;578.83;120;20;309;51.5;3074;512.33;2115;352.5;959;159.83;25;4.17;87;14.5;264;44;238.69;39.78;3753;625.5;1896;316;393;65.5;1489.89;3040726;506787.66;1000.74;166.79;880.59;146.76;268.68;44.78;1386.37;231.06;734.65;122.44;28.97;4.83;40.88;6.81;0.13;300;50;743.5;123.92;678.1;113.02;621.15;103.53;1528.83;254.81;1483.94;247.32;666.04;111.01;1173.85;195.64;559.64;93.27;416.5;69.42;3183.2;3230.26;3119.4;3864.69;26;4.33;9;1.5
Lewacky & LeWacky & corythegod79;BattleBennyB;3;2;66.67;1945;648.33;8;2.67;3;1;3;1;16;5.33;18;6;6;2;3;1;50;355.86;50.62;6689;2229.67;4939;1646.33;1750;583.33;62;20.67;155;51.67;1837;612.33;1205;401.67;632;210.67;15;5;54;18;73.52;24.51;183.31;61.1;887;295.67;1118;372.67;134;44.67;1470.59;1486689;495563;541.38;180.46;452.89;150.96;102.76;34.25;697.81;232.6;379.59;126.53;19.63;6.54;14.29;4.76;0.14;104;34.67;578.1;192.7;467.4;155.8;234.23;78.08;862.8;287.6;702.87;234.29;394.09;131.36;532.35;177.45;317.54;105.85;247.15;82.38;2587.86;2430.14;2750.57;3403.97;0;0;1;0.33
Lewacky & LeWacky & corythegod79;BigCountry;18;10;55.56;9474;526.33;31;1.72;19;1.06;22;1.22;75;4.17;111;6.17;61;3.39;37;2.06;41.33;366.36;56.79;40944;2274.67;29795;1655.28;11149;619.39;411;22.83;979;54.39;10279;571.06;6118;339.89;4161;231.17;88;4.89;359;19.94;462.41;25.69;896.13;49.79;4336;240.89;10284;571.33;2401;133.39;1514.58;9346179;519232.16;3074.8;170.82;2916.71;162.04;706.74;39.26;4277.67;237.65;2276.74;126.49;143.84;7.99;132.81;7.38;0.11;1169;64.94;3205.4;178.08;3110;172.78;1813.15;100.73;4885.08;271.39;3956.96;219.83;2741.25;152.29;2958.66;164.37;2027.43;112.63;1712.11;95.12;2904.33;2760.91;3054.87;3613.75;9;0.5;10;0.56
Lewacky & LeWacky & corythegod79;Bigginz_TV;5;2;40.00;1657;331.4;4;0.8;2;0.4;9;1.8;9;1.8;39;7.8;15;3;4;0.8;44.44;350.68;47.64;11140;2228;6920;1384;4220;844;85;17;365;73;2254;450.8;999;199.8;1255;251;12;2.4;110;22;210.6;42.12;219.19;43.84;1556;311.2;1699;339.8;213;42.6;1437.85;2555162;511032.41;993.44;198.69;744.75;148.95;164.18;32.84;1283.39;256.68;584.9;116.98;34.11;6.82;34.58;6.92;0.17;209;41.8;620.6;124.12;605.3;121.06;534.74;106.95;1367.67;273.53;1311.66;262.33;590.74;118.15;1035.36;207.07;505.08;101.02;361.95;72.39;3329.25;3251.39;3436.11;3928.82;1;0.2;1;0.2
Lewacky & LeWacky & corythegod79;Chief;15;5;33.33;6652;443.47;18;1.2;11;0.73;26;1.73;45;3;120;8;52;3.47;24;1.6;40;331.03;52.55;31308;2087.2;21728;1448.53;9580;638.67;287;19.13;849;56.6;6896;459.73;4091;272.73;2805;187;59;3.93;258;17.2;418.8;27.92;530.6;35.37;5355;357;6807;453.8;1724;114.93;1433.05;7424861;494990.72;2891.87;192.79;2265.91;151.06;413.49;27.57;3782;252.13;1615.51;107.7;173.77;11.58;68.12;4.54;0.14;483;32.2;2599.8;173.32;2672.8;178.19;1684.4;112.29;3886.9;259.13;3530.89;235.39;2040.41;136.03;2621.64;174.78;1755.96;117.06;1193.68;79.58;2414.56;2355.26;2461.26;3282.11;16;1.07;4;0.27
Lewacky & LeWacky & corythegod79;Cletis45;3;1;33.33;1657;552.33;7;2.33;0;0;4;1.33;8;2.67;19;6.33;10;3.33;5;1.67;87.5;330.62;52.19;6063;2021;4026;1342;2037;679;50;16.67;175;58.33;1250;416.67;687;229;563;187.67;10;3.33;46;15.33;92.03;30.68;96.79;32.26;324;108;1039;346.33;343;114.33;1413.89;1468789;489596.34;616.77;205.59;440.32;146.77;62.93;20.98;687.71;229.24;397.45;132.48;34.85;11.62;18.48;6.16;0.17;112;37.33;556;185.33;524.9;174.97;309.13;103.04;810.89;270.3;724.96;241.65;395.04;131.68;535.24;178.41;344.07;114.69;240.71;80.24;2682.25;2408.04;2947.75;3503.23;0;0;2;0.67
