team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Landen_Wallace69 &   Zk;"  Zk";1;0;0.00;310;310;1;1;0;0;2;2;5;5;9;9;2;2;1;1;20;393;49.78;2069;2069;1500;1500;569;569;17;17;53;53;454;454;200;200;254;254;2;2;23;23;44.09;44.09;31.91;31.91;209;209;217;217;0;0;1409;456136;456136;183.33;183.33;117.16;117.16;39.75;39.75;199.78;199.78;132.68;132.68;7.78;7.78;4.37;4.37;0.16;27;27;153.6;153.6;178;178;83.12;83.12;257.11;257.11;188.52;188.52;151.72;151.72;145.24;145.24;99.3;99.3;95.7;95.7;2175;2061;2259;2763;0;0;0;0
Imagine lf I & $$.;$$.;1;1;100.00;298;298;0;0;2;2;0;0;2;2;4;4;2;2;2;2;0;489;46.24;2987;2987;2307;2307;680;680;28;28;62;62;780;780;550;550;230;230;7;7;22;22;60.23;60.23;29.01;29.01;527;527;492;492;149;149;1643;533685;533685;130.22;130.22;146.21;146.21;71.95;71.95;179.88;179.88;156.71;156.71;11.78;11.78;6.85;6.85;0.14;49;49;188.9;188.9;148.3;148.3;83.35;83.35;265.02;265.02;197.21;197.21;151.16;151.16;149.96;149.96;113.68;113.68;84.73;84.73;2445;2422;2427;3062;1;1;2;2
NotFoundNeo & *******;*******;1;1;100.00;96;96;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;351;55.17;1132;1132;845;845;287;287;10;10;18;18;300;300;225;225;75;75;3;3;7;7;30.31;30.31;17.64;17.64;30;30;163;163;84;84;1469;245688;245688;85.24;85.24;80.21;80.21;13.61;13.61;116.55;116.55;58.78;58.78;3.72;3.72;1.91;1.91;0.11;18;18;101.2;101.2;69.5;69.5;45.52;45.52;133.53;133.53;105.34;105.34;73.71;73.71;78.82;78.82;49.37;49.37;50.87;50.87;2642;2740;2524;2792;1;1;1;1
*********** & Flabino & dylie-;***********;1;1;100.00;653;653;3;3;1;1;1;1;3;3;8;8;3;3;0;0;100;332;54.72;2125;2125;1543;1543;582;582;18;18;57;57;199;199;87;87;112;112;1;1;11;11;43.14;43.14;60.25;60.25;106;106;247;247;32;32;1393;525342;525342;229.38;229.38;151.85;151.85;28.89;28.89;233.6;233.6;160.11;160.11;16.42;16.42;2.75;2.75;0.15;18;18;150.4;150.4;134.6;134.6;112.53;112.53;297.6;297.6;284.57;284.57;125.56;125.56;213.65;213.65;119.8;119.8;76.68;76.68;2967;3073;2808;3734;3;3;1;1
-=GI=- VeNg3aNce & TWOFACE420;-=GI=- VeNg3aNce;1;1;100.00;648;648;2;2;1;1;3;3;4;4;8;8;2;2;1;1;50;369;54.6;2169;2169;1608;1608;561;561;22;22;50;50;473;473;291;291;182;182;4;4;17;17;35.76;35.76;56.49;56.49;299;299;591;591;108;108;1625;514603;514603;125.86;125.86;172.36;172.36;45.83;45.83;194.87;194.87;137.55;137.55;11.64;11.64;3.5;3.5;0.18;20;20;150;150;166.1;166.1;104.74;104.74;239.31;239.31;202.92;202.92;141.14;141.14;146.59;146.59;108.94;108.94;88.53;88.53;2722;2810;2637;2757;1;1;0;0
0AKUMA0 & Lewackyiscracky & Lewacky;0AKUMA0;95;36;37.89;52965;557.53;158;1.66;57;0.6;174;1.83;375;3.95;656;6.91;280;2.95;132;1.39;42.13;389.72;49.98;207529;2184.52;140798;1482.08;66731;702.43;1720;18.11;6062;63.81;53304;561.09;31089;327.25;22215;233.84;385;4.05;1970;20.74;3159.21;33.25;3064.28;32.26;12138;127.77;22767;239.65;4608;48.51;1520.01;45445560;478374.31;14622.03;153.92;14104.32;148.47;3531.55;37.17;17165.16;180.69;13447.63;141.55;1645.24;17.32;657.91;6.93;0.11;5855;61.63;13873.6;146.04;16064.5;169.1;8635.89;90.9;23622.15;248.65;20399.67;214.73;11858.3;124.82;15345.68;161.53;9646.44;101.54;7265.86;76.48;2373.4;2072.14;2659.31;3479.92;50;0.53;56;0.59
0IGq   & deybinDeybinayal;0IGq  ;1;0;0.00;439;439;0;0;3;3;2;2;5;5;8;8;4;4;1;1;0;398;45.62;2598;2598;1977;1977;621;621;23;23;54;54;817;817;640;640;177;177;8;8;16;16;56.14;56.14;45.4;45.4;254;254;322;322;159;159;1425;483052;483052;198.53;198.53;129.6;129.6;37.11;37.11;235.15;235.15;127.61;127.61;2.48;2.48;3.93;3.93;0.19;21;21;140.2;140.2;205.7;205.7;121.22;121.22;244.02;244.02;219.91;219.91;145.33;145.33;168.09;168.09;107.83;107.83;89.32;89.32;2154;2087;2236;2811;1;1;0;0
0nja0 & Phant^ om;0nja0;1;0;0.00;454;454;0;0;0;0;3;3;2;2;7;7;3;3;1;1;0;393;50.48;2440;2440;1923;1923;517;517;26;26;48;48;349;349;216;216;133;133;3;3;12;12;41.19;41.19;55.26;55.26;629;629;694;694;83;83;1472;526056;526056;187.15;187.15;154.69;154.69;38.75;38.75;237.07;237.07;133.45;133.45;10.08;10.08;6.29;6.29;0.1;66;66;199.8;199.8;164.5;164.5;86.96;86.96;293.64;293.64;266.61;266.61;113.98;113.98;203.03;203.03;111.74;111.74;65.83;65.83;2544;2392;2661;2802;0;0;1;1
BdelloidMink255 & 313 MaceWindu;313 MaceWindu;1;0;0.00;132;132;0;0;0;0;1;1;2;2;7;7;5;5;2;2;0;254;54.64;1253;1253;833;833;420;420;11;11;36;36;216;216;200;200;16;16;2;2;2;2;26.92;26.92;40.09;40.09;278;278;266;266;0;0;1421;361189;361189;157.12;157.12;87.12;87.12;29.93;29.93;184.85;184.85;86.73;86.73;2.6;2.6;3.7;3.7;0.15;25;25;138.9;138.9;117.9;117.9;81.12;81.12;193.06;193.06;211.23;211.23;62.94;62.94;163.29;163.29;73.62;73.62;37.26;37.26;2846;2806;2859;3466;0;0;1;1
0AKUMA0 & Lewackyiscracky & Lewacky;3xoticmoon;1;0;0.00;194;194;0;0;0;0;2;2;0;0;9;9;3;3;0;0;0;391;39.48;1857;1857;1182;1182;675;675;14;14;61;61;280;280;100;100;180;180;1;1;16;16;57.2;57.2;18.68;18.68;280;280;223;223;0;0;1458;450821;450821;171.2;171.2;126.81;126.81;36.92;36.92;206.57;206.57;126.21;126.21;2.15;2.15;8.5;8.5;0.13;67;67;97.9;97.9;118.4;118.4;120.44;120.44;214.49;214.49;240.9;240.9;94.03;94.03;181.61;181.61;110.18;110.18;43.13;43.13;2972;3241;2800;3510;1;1;3;3
