team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
YenYen36 & SirGoodMan05 & d0mp1ing;3 Week Old Grape Capri Sun;8;4;50.00;4108;513.5;11;1.38;5;0.62;13;1.62;38;4.75;52;6.5;21;2.62;7;0.88;28.95;302.71;53.88;15251;1906.38;10684;1335.5;4567;570.88;131;16.38;403;50.38;4099;512.38;2545;318.12;1554;194.25;32;4;138;17.25;281.86;35.23;240.55;30.07;992;124;2078;259.75;467;58.38;1491.29;4074878;509359.75;1359.04;169.88;1336.82;167.1;243.63;30.45;1689.01;211.13;1132.88;141.61;117.59;14.7;22.17;2.77;0.11;189;23.62;1322.2;165.27;1434.8;179.35;769.19;96.15;2170.3;271.29;1784.3;223.04;1155.2;144.4;1331.46;166.43;919.61;114.95;688.42;86.05;2479.22;2208.48;2781.87;3183.96;2;0.25;0;0
YenYen36 & SirGoodMan05 & d0mp1ing;999gav;3;0;0.00;1408;469.33;2;0.67;3;1;7;2.33;6;2;30;10;13;4.33;6;2;33.33;396.18;53.43;7686;2562;5744;1914.67;1942;647.33;70;23.33;163;54.33;2051;683.67;1538;512.67;513;171;20;6.67;50;16.67;115.67;38.56;120.96;40.32;1121;373.67;915;305;233;77.67;1422.98;1453730;484576.66;583.53;194.51;410.79;136.93;114.87;38.29;702.53;234.18;389.36;129.79;17.31;5.77;0.14;0.05;0.03;4;1.33;534.3;178.1;503.7;167.9;284;94.67;825.22;275.07;689.55;229.85;419.66;139.89;521.31;173.77;329.15;109.72;258.75;86.25;2386.26;2274.06;2479.66;3169.37;2;0.67;3;1
YenYen36 & SirGoodMan05 & d0mp1ing;AJGsch;9;6;66.67;4080;453.33;14;1.56;3;0.33;13;1.44;26;2.89;53;5.89;13;1.44;5;0.56;53.85;304.15;55.08;15921;1769;11690;1298.89;4231;470.11;152;16.89;362;40.22;3495;388.33;2301;255.67;1194;132.67;32;3.56;110;12.22;273.34;30.37;400.85;44.54;1699;188.78;3578;397.56;952;105.78;1382.38;4054394;450488.22;1716.75;190.75;1153.24;128.14;231.34;25.7;2085.49;231.72;913.79;101.53;102.05;11.34;52.51;5.83;0.22;242;26.89;907.3;100.81;1061.5;117.94;846.96;94.11;2254.36;250.48;1981.89;220.21;1119.42;124.38;1461.11;162.35;1004.02;111.56;636.19;70.69;3110.64;2990.42;3222.58;4006.99;7;0.78;6;0.67
YenYen36 & SirGoodMan05 & d0mp1ing;AngelWings_777;5;2;40.00;2022;404.4;6;1.2;0;0;12;2.4;14;2.8;42;8.4;14;2.8;4;0.8;42.86;298.22;52.19;8483;1696.6;5794;1158.8;2689;537.8;78;15.6;232;46.4;1487;297.4;866;173.2;621;124.2;11;2.2;57;11.4;140.3;28.06;165.48;33.1;943;188.6;2061;412.2;238;47.6;1415.02;2334671;466934.19;903.59;180.72;728.89;145.78;136.24;27.25;1106.93;221.39;612.93;122.59;48.85;9.77;20.03;4.01;0.15;131;26.2;528.5;105.7;527.5;105.5;469.74;93.95;1298.96;259.79;1199.33;239.87;569.38;113.88;926.16;185.23;534.62;106.92;307.92;61.58;2892.76;2940.7;2846.77;3599.57;5;1;1;0.2
FLAMES;AnimeThighs0626;7;4;57.14;3976;568;14;2;6;0.86;10;1.43;27;3.86;51;7.29;21;3;10;1.43;51.85;454.11;47.53;20748;2964;15121;2160.14;5627;803.86;175;25;486;69.43;4630;661.43;2891;413;1739;248.43;33;4.71;151;21.57;499.78;71.4;127.92;18.27;1519;217;1498;214;243;34.71;1504.96;3916767;559538.12;1301.97;186;1157.58;165.37;336.2;48.03;1652.04;236.01;997.02;142.43;146.69;20.96;76.77;10.97;0.09;849;121.29;1376.8;196.69;1304.3;186.33;677.2;96.74;2118.55;302.65;1686.93;240.99;1108.81;158.4;1208.49;172.64;906.95;129.56;680.33;97.19;2386.52;2198.5;2599.17;3519.59;7;1;7;1
YenYen36 & SirGoodMan05 & d0mp1ing;AverageBrooski;7;4;57.14;2016;288;2;0.29;2;0.29;7;1;12;1.71;58;8.29;13;1.86;4;0.57;16.67;306.48;45.58;13730;1961.43;8808;1258.29;4922;703.14;109;15.57;417;59.57;2271;324.43;1232;176;1039;148.43;16;2.29;78;11.14;265.48;37.93;202.41;28.92;1515;216.43;2083;297.57;370;52.86;1312.15;3414436;487776.56;1667.19;238.17;908.77;129.82;182.88;26.13;1792.38;256.05;906.76;129.54;59.7;8.53;59.29;8.47;0.16;366;52.29;1025.2;146.46;830.9;118.7;719.1;102.73;2039.74;291.39;1981.54;283.08;777.3;111.04;1514.47;216.35;784.65;112.09;459.73;65.68;3213.7;3169.08;3246.69;3670.79;0;0;7;1
YenYen36 & SirGoodMan05 & d0mp1ing;Avid RL;9;2;22.22;3409;378.78;10;1.11;2;0.22;14;1.56;26;2.89;69;7.67;30;3.33;16;1.78;38.46;348.49;44.71;17428;1936.44;11408;1267.56;6020;668.89;144;16;538;59.78;3352;372.44;1757;195.22;1595;177.22;25;2.78;138;15.33;474.71;52.75;262.56;29.17;3632;403.56;3086;342.89;759;84.33;1419.13;4274852;474983.56;1653.55;183.73;1309.42;145.49;282.51;31.39;2102.45;233.61;1069;118.78;74.02;8.22;23.21;2.58;0.18;129;14.33;1697.6;188.62;1363.5;151.5;830.62;92.29;2414.84;268.32;2147.63;238.63;1097.84;121.98;1660.21;184.47;946.76;105.2;638.5;70.94;2427.09;2447.02;2404.22;3233.56;9;1;3;0.33
YenYen36 & SirGoodMan05 & d0mp1ing;BEARDEDJACKYL;23;10;43.48;8600;373.91;27;1.17;11;0.48;28;1.22;78;3.39;204;8.87;92;4;44;1.91;34.62;261.52;53.32;38657;1680.74;25111;1091.78;13546;588.96;326;14.17;1193;51.87;7280;316.52;3021;131.35;4259;185.17;43;1.87;374;16.26;552.14;24.01;1016.64;44.2;5456;237.22;7651;332.65;1314;57.13;1346.95;10750177;467399;5262.79;228.82;2823.36;122.75;550.31;23.93;6060.85;263.52;2441.73;106.16;133.89;5.82;52.16;2.27;0.13;396;17.22;2981.9;129.65;3388.3;147.32;2552.71;110.99;6083.8;264.51;5693.68;247.55;2942.78;127.95;4367.12;189.87;2540.97;110.48;1728.47;75.15;2873.56;2791.68;2933.83;3459.46;17;0.74;14;0.61
YenYen36 & SirGoodMan05 & d0mp1ing;BEARJEW_420;3;2;66.67;1289;429.67;4;1.33;0;0;6;2;10;3.33;18;6;8;2.67;4;1.33;40;418.7;52.62;7159;2386.33;5211;1737;1948;649.33;70;23.33;169;56.33;1351;450.33;874;291.33;477;159;12;4;43;14.33;120.85;40.28;121.13;40.38;1434;478;1707;569;323;107.67;1444.87;1441774;480591.34;544.45;181.48;420.56;140.19;111.33;37.11;709.42;236.47;353.6;117.87;13.32;4.44;29.83;9.94;0.13;230;76.67;517.2;172.4;507.9;169.3;296.64;98.88;779.7;259.9;698.78;232.93;377.56;125.85;506.87;168.96;352.89;117.63;216.59;72.2;2746.39;2593.22;2904.28;3377.71;14;4.67;2;0.67
YenYen36 & SirGoodMan05 & d0mp1ing;BLXZE_RL;6;5;83.33;3012;502;10;1.67;11;1.83;3;0.5;28;4.67;31;5.17;16;2.67;6;1;35.71;445;54.46;17284;2880.67;13688;2281.33;3596;599.33;184;30.67;328;54.67;3848;641.33;2704;450.67;1144;190.67;35;5.83;101;16.83;234.08;39.01;341.79;56.97;2292;382;4856;809.33;790;131.67;1599.52;3237460;539576.69;908.09;151.35;849.38;141.56;441.17;73.53;1175.74;195.96;917.52;152.92;105.39;17.57;45.72;7.62;0.09;518;86.33;974.8;162.47;1097.2;182.87;613.23;102.21;1585.37;264.23;1331.86;221.98;866.78;144.46;959.96;159.99;678.72;113.12;559.93;93.32;2526.43;2376.16;2717.37;3559.67;4;0.67;7;1.17
