team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
$$$ & lorh. & suxlk;$$$;1;1;100.00;184;184;0;0;0;0;1;1;2;2;7;7;1;1;1;1;0;434;55.9;2401;2401;2028;2028;373;373;24;24;34;34;657;657;561;561;96;96;7;7;9;9;24.42;24.42;48.31;48.31;225;225;391;391;149;149;1460;458189;458189;163.73;163.73;125.25;125.25;39.39;39.39;174.34;174.34;135.21;135.21;18.81;18.81;2.67;2.67;0.18;15;15;103.1;103.1;119.1;119.1;83.62;83.62;244.75;244.75;218.9;218.9;109.47;109.47;174.83;174.83;96.15;96.15;57.39;57.39;2553;2418;2744;3245;1;1;2;2
********** & The-shrekening & mtSquid;**********;1;0;0.00;253;253;0;0;1;1;2;2;1;1;12;12;3;3;1;1;0;246;57.04;1438;1438;937;937;501;501;12;12;44;44;241;241;115;115;126;126;2;2;11;11;13.7;13.7;54.82;54.82;187;187;289;289;88;88;1391;454297;454297;200.09;200.09;128.67;128.67;20.51;20.51;244.97;244.97;92.53;92.53;11.77;11.77;7.24;7.24;0.16;46;46;118.4;118.4;101.5;101.5;112.38;112.38;236.89;236.89;259.04;259.04;90.23;90.23;202.22;202.22;98.08;98.08;48.96;48.96;3226;3304;3219;3703;0;0;1;1
************ & Tryhard goblin & DevilsWish77;************;2;2;100.00;647;323.5;2;1;1;0.5;1;0.5;6;3;6;3;1;0.5;1;0.5;33.33;212.56;55.73;2598;1299;1445;722.5;1153;576.5;19;9.5;96;48;1017;508.5;595;297.5;422;211;8;4;38;19;41.75;20.88;152.41;76.21;132;66;474;237;211;105.5;1310.78;820165;410082.5;436.67;218.34;200.01;100;23.25;11.62;447.46;223.73;202.66;101.33;9.82;4.91;9.53;4.76;0.17;57;28.5;233.1;116.55;203.3;101.65;201.44;100.72;458.5;229.25;391.49;195.74;268.44;134.22;282.08;141.04;203.61;101.81;174.24;87.12;2968.66;2874.61;3115.63;3677.48;0;0;2;1
************* & Darth_Neuro & ccbiggss;*************;2;2;100.00;756;378;4;2;1;0.5;1;0.5;6;3;15;7.5;4;2;1;0.5;66.67;336.51;51.28;3766;1883;2892;1446;874;437;32;16;77;38.5;782;391;493;246.5;289;144.5;5;2.5;25;12.5;74.8;37.4;131.07;65.54;258;129;310;155;7;3.5;1456.1;957631;478815.5;380.21;190.1;241.71;120.85;84.54;42.27;416.79;208.4;261.52;130.76;28.15;14.07;12.58;6.29;0.18;69;34.5;203.1;101.55;241.4;120.7;203.65;101.82;502.8;251.4;479.3;239.65;227.16;113.58;357.32;178.66;212.29;106.15;136.84;68.42;3187.16;2945.15;3445.3;3481.12;0;0;2;1
**************** & ElTiradorDeHumo_ & gtrot24;****************;1;0;0.00;120;120;0;0;0;0;0;0;1;1;8;8;5;5;1;1;0;309;48.14;1710;1710;1154;1154;556;556;14;14;42;42;268;268;190;190;78;78;3;3;7;7;40.71;40.71;43.4;43.4;161;161;256;256;109;109;1477;419998;419998;152.55;152.55;122.09;122.09;30.85;30.85;190.97;190.97;105.87;105.87;8.64;8.64;2.11;2.11;0.18;12;12;103.7;103.7;99.8;99.8;103.56;103.56;201.92;201.92;204.24;204.24;101.25;101.25;154.24;154.24;94;94;57.25;57.25;2605;2545;2647;3246;0;0;1;1
Motifxx & Stx 11 & 00000000;00000000;1;1;100.00;611;611;3;3;1;1;2;2;3;3;11;11;2;2;0;0;100;264;52.23;1746;1746;1279;1279;467;467;17;17;41;41;141;141;94;94;47;47;2;2;4;4;14.65;14.65;54.45;54.45;118;118;423;423;105;105;1417;491379;491379;221.25;221.25;119.75;119.75;37.37;37.37;238.69;238.69;131.67;131.67;8.01;8.01;3.81;3.81;0.2;19;19;104.9;104.9;117.4;117.4;66.68;66.68;311.69;311.69;259.3;259.3;119.07;119.07;207.04;207.04;106.62;106.62;64.72;64.72;2444;2282;2666;2937;0;0;0;0
Armytrixter & Baboon XP & 3 smokes;3 smokes;1;1;100.00;268;268;0;0;2;2;0;0;1;1;9;9;3;3;2;2;0;320;57.47;2059;2059;1530;1530;529;529;19;19;49;49;493;493;352;352;141;141;4;4;12;12;22.96;22.96;47.39;47.39;165;165;425;425;50;50;1468;501459;501459;194.35;194.35;153.94;153.94;30.89;30.89;224.69;224.69;141.07;141.07;13.42;13.42;6.02;6.02;0.12;52;52;123.9;123.9;126.2;126.2;100.01;100.01;279.17;279.17;265.88;265.88;113.31;113.31;213.28;213.28;91.04;91.04;74.86;74.86;3204;3175;3184;3686;0;0;0;0
ItzzEvozz & Soggyyy4886 & 4ourX;4ourX;1;1;100.00;314;314;2;2;0;0;0;0;2;2;6;6;1;1;1;1;100;254;58.33;1541;1541;1059;1059;482;482;12;12;39;39;540;540;448;448;92;92;5;5;9;9;15.37;15.37;100.55;100.55;96;96;157;157;52;52;1363;441209;441209;197.6;197.6;113.79;113.79;31.98;31.98;185.44;185.44;147.17;147.17;10.76;10.76;2.04;2.04;0.11;18;18;103.3;103.3;120.2;120.2;95.21;95.21;248.16;248.16;240.34;240.34;103.03;103.03;190.95;190.95;90.67;90.67;61.75;61.75;2728;3133;2296;3204;1;1;0;0
Koberss- & 5niperr & 9renade;5niperr;1;1;100.00;432;432;2;2;0;0;1;1;4;4;4;4;2;2;0;0;50;332;46.3;1858;1858;1296;1296;562;562;15;15;52;52;440;440;177;177;263;263;2;2;25;25;43.15;43.15;38.3;38.3;269;269;122;122;22;22;1566;516091;516091;164.99;164.99;145.18;145.18;41.45;41.45;226.3;226.3;122.6;122.6;2.71;2.71;3.17;3.17;0.13;24;24;104.3;104.3;108.7;108.7;94.16;94.16;257.45;257.45;190.62;190.62;160.99;160.99;116.8;116.8;133.28;133.28;101.54;101.54;2909;2682;3143;3684;1;1;0;0
Koberss- & 5niperr & 9renade;9renade;1;1;100.00;178;178;0;0;1;1;0;0;5;5;4;4;2;2;0;0;0;382;53.47;2326;2326;1846;1846;480;480;22;22;44;44;740;740;544;544;196;196;6;6;18;18;37.07;37.07;53.48;53.48;149;149;287;287;65;65;1617;534636;534636;141.64;141.64;139.62;139.62;70.35;70.35;202.16;202.16;140.87;140.87;8.57;8.57;3.28;3.28;0.09;38;38;121.8;121.8;95.6;95.6;87.43;87.43;264.18;264.18;193.81;193.81;157.8;157.8;144.68;144.68;105.24;105.24;101.69;101.69;3234;3120;3389;3713;2;2;0;0
