team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
GR4YBU5H & BIack Korver & K1cker_1;"  K.";6;3;50.00;2501;416.83;4;0.67;5;0.83;9;1.5;22;3.67;42;7;12;2;7;1.17;18.18;372.7;48.19;13329;2221.5;8779;1463.17;4550;758.33;109;18.17;400;66.67;2963;493.83;1684;280.67;1279;213.17;21;3.5;108;18;244.12;40.69;197.14;32.86;1775;295.83;2257;376.17;442;73.67;1501.49;3122359;520393.16;1005.18;167.53;978.73;163.12;222.04;37.01;1436.53;239.42;718.24;119.71;51.15;8.52;30.32;5.05;0.11;283;47.17;1154;192.33;1012.8;168.8;570.7;95.12;1635.25;272.54;1385.97;230.99;819.97;136.66;1026.88;171.15;678.25;113.04;500.82;83.47;2513.33;2454.47;2565.6;3426.53;4;0.67;9;1.5
GR4YBU5H & BIack Korver & K1cker_1;A-Blitz;6;3;50.00;2527;421.17;10;1.67;0;0;5;0.83;21;3.5;43;7.17;18;3;8;1.33;47.62;399.74;60.95;14931;2488.5;11439;1906.5;3492;582;148;24.67;338;56.33;3024;504;1887;314.5;1137;189.5;23;3.83;110;18.33;79.51;13.25;407.22;67.87;1342;223.67;3725;620.83;483;80.5;1524.52;3040441;506740.16;997.79;166.3;868.9;144.82;276.68;46.11;1292.55;215.42;746.08;124.35;104.71;17.45;28.16;4.69;0.11;255;42.5;869.1;144.85;836;139.33;552.36;92.06;1591.02;265.17;1373.5;228.92;769.87;128.31;1032.16;172.03;659.14;109.86;452.08;75.35;2748.84;2634.24;2850.44;3586.03;4;0.67;5;0.83
GR4YBU5H & BIack Korver & K1cker_1;Aespect3895;8;4;50.00;2993;374.12;7;0.88;5;0.62;9;1.12;17;2.12;51;6.38;28;3.5;9;1.12;41.18;335.79;54.11;16177;2022.12;11216;1402;4961;620.12;136;17;444;55.5;4241;530.12;2369;296.12;1872;234;34;4.25;165;20.62;242.24;30.28;409.87;51.23;727;90.88;2610;326.25;1079;134.88;1406.68;3686565;460820.62;1545.67;193.21;1166.19;145.77;154.59;19.32;1749.73;218.72;1038.76;129.85;77.99;9.75;35.23;4.4;0.16;219;27.38;1253.7;156.71;1510.3;188.79;1001.92;125.24;1864.54;233.07;1721.21;215.15;1145.24;143.15;1286.77;160.85;880.09;110.01;699.62;87.45;2558.82;2311.56;2749.49;3413.27;6;0.75;8;1
GR4YBU5H & BIack Korver & K1cker_1;Angelofthebronx;9;3;33.33;4424;491.56;12;1.33;12;1.33;12;1.33;27;3;69;7.67;32;3.56;17;1.89;44.44;300.85;53.35;17737;1970.78;11046;1227.33;6691;743.44;142;15.78;612;68;3517;390.78;1672;185.78;1845;205;24;2.67;168;18.67;204.35;22.71;396.59;44.07;2519;279.89;3382;375.78;794;88.22;1459.81;4580943;508993.66;1777.39;197.49;1251.17;139.02;370.5;41.17;2152.85;239.21;1169.82;129.98;76.41;8.49;60.97;6.77;0.11;552;61.33;1744.8;193.87;1558.9;173.21;983.66;109.3;2415.41;268.38;2181.46;242.38;1217.61;135.29;1628.28;180.92;1071.8;119.09;699.03;77.67;2612.24;2528.47;2688.96;3459.36;5;0.56;8;0.89
WOLVES;Apolytrosin;5;3;60.00;2063;412.6;6;1.2;3;0.6;6;1.2;14;2.8;37;7.4;14;2.8;5;1;42.86;319.92;44.53;9200;1840;5657;1131.4;3543;708.6;67;13.4;313;62.6;1742;348.4;877;175.4;865;173;11;2.2;77;15.4;223;44.6;92.15;18.43;1008;201.6;993;198.6;229;45.8;1401.3;2295673;459134.59;942.81;188.56;689.73;137.95;120.96;24.19;1143.82;228.76;546.15;109.23;63.53;12.71;35.16;7.03;0.18;198;39.6;870.4;174.08;852.5;170.5;517.47;103.49;1236.04;247.21;1248.11;249.62;505.41;101.08;959.9;191.98;534.18;106.84;259.43;51.89;2725.95;2565.01;2871.04;3628.12;4;0.8;5;1
GR4YBU5H & BIack Korver & K1cker_1;BC Dynamic;10;6;60.00;4399;439.9;18;1.8;3;0.3;7;0.7;36;3.6;60;6;24;2.4;6;0.6;50;430.05;51.15;24816;2481.6;17046;1704.6;7770;777;207;20.7;663;66.3;6098;609.8;3872;387.2;2226;222.6;44;4.4;198;19.8;347.99;34.8;461.23;46.12;3189;318.9;3641;364.1;543;54.3;1489.3;4893824;489382.41;1711.27;171.13;1363.53;136.35;459.5;45.95;2144.1;214.41;1233.95;123.39;156.28;15.63;50.33;5.03;0.15;330;33;1303.4;130.34;1501.7;150.17;993.46;99.35;2540.87;254.09;2241;224.1;1293.33;129.33;1650.57;165.06;1113.62;111.36;770.14;77.01;2658.47;2593.2;2701.83;3494.88;9;0.9;9;0.9
GR4YBU5H & BIack Korver & K1cker_1;BIack Korver;40;17;42.50;20912;522.8;53;1.33;20;0.5;92;2.3;139;3.47;344;8.6;119;2.97;65;1.62;38.13;313.57;49.33;76467;1911.68;54430;1360.75;22037;550.92;656;16.4;1869;46.72;16610;415.25;10111;252.77;6499;162.48;124;3.1;570;14.25;1644.27;41.11;2131.39;53.28;8506;212.65;11351;283.77;2441;61.03;1345.91;18359644;458991.09;8673.86;216.85;5026.12;125.65;982.57;24.56;9690.99;242.27;4583.06;114.58;408.5;10.21;186.8;4.67;0.28;661;16.52;7400.5;185.01;6516.1;162.9;3684.16;92.1;10998.41;274.96;9551.6;238.79;5130.94;128.27;7327.91;183.2;4203.8;105.09;3150.87;78.77;2508.51;2360.08;2651.23;3247.84;10;0.25;37;0.93
GR4YBU5H & BIack Korver & K1cker_1;BanillaCone;6;2;33.33;3883;647.17;16;2.67;4;0.67;9;1.5;32;5.33;49;8.17;22;3.67;10;1.67;50;290.2;57.06;11803;1967.17;8118;1353;3685;614.17;111;18.5;321;53.5;2209;368.17;1248;208;961;160.17;18;3;85;14.17;140.03;23.34;361.54;60.26;485;80.83;3024;504;513;85.5;1428.87;3062348;510391.34;1217.53;202.92;981.05;163.51;137.74;22.96;1418.03;236.34;819.47;136.58;98.83;16.47;22.61;3.77;0.23;102;17;1196.8;199.47;982.4;163.73;552.79;92.13;1783.57;297.26;1521.54;253.59;814.81;135.8;1146.81;191.13;716.39;119.4;473.14;78.86;2845.4;2705.75;2984.28;3661.88;2;0.33;3;0.5
GR4YBU5H & BIack Korver & K1cker_1;Big Dookie;3;1;33.33;1307;435.67;4;1.33;1;0.33;5;1.67;13;4.33;22;7.33;9;3;5;1.67;30.77;387.79;37.55;6955;2318.33;4903;1634.33;2052;684;51;17;179;59.67;1382;460.67;787;262.33;595;198.33;8;2.67;52;17.33;215.56;71.85;58.49;19.5;1229;409.67;216;72;20;6.67;1481.79;1483007;494335.66;523.61;174.54;440.62;146.87;119.02;39.67;711.64;237.21;349.99;116.66;21.62;7.21;23.61;7.87;0.15;156;52;579.8;193.27;461.8;153.93;275.92;91.97;807.33;269.11;716.04;238.68;367.2;122.4;536.99;179;324.34;108.11;221.91;73.97;2726.07;2656.4;2781.71;3542.64;3;1;3;1
GR4YBU5H & BIack Korver & K1cker_1;Bino.;12;9;75.00;4386;365.5;10;0.83;8;0.67;10;0.83;31;2.58;61;5.08;21;1.75;11;0.92;32.26;312.97;54.42;24871;2072.58;16886;1407.17;7985;665.42;219;18.25;613;51.08;6066;505.5;3822;318.5;2244;187;49;4.08;158;13.17;395.54;32.96;708.64;59.05;1304;108.67;4480;373.33;840;70;1406.28;6206008;517167.34;2627.54;218.96;1521.01;126.75;529.85;44.15;2775.56;231.3;1710.82;142.57;192.01;16;104.56;8.71;0.13;828;69;1615.4;134.62;1448.4;120.7;1122.58;93.55;3555.83;296.32;3111.93;259.33;1566.46;130.54;2403;200.25;1344.67;112.06;930.76;77.56;2785.37;2758.48;2818.05;3599.3;9;0.75;11;0.92
