team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
!.d1 & 0h.Jord4n & AV;!.d1;1;1;100.00;296;296;2;2;0;0;0;0;3;3;8;8;4;4;0;0;66.67;401;51;2755;2755;2153;2153;602;602;27;27;60;60;503;503;393;393;110;110;4;4;11;11;49.34;49.34;28.49;28.49;216;216;587;587;6;6;1530;562644;562644;182.45;182.45;187.73;187.73;36.97;36.97;246.78;246.78;152.17;152.17;8.19;8.19;10.09;10.09;0.11;89;89;133.3;133.3;130.1;130.1;124.03;124.03;283.13;283.13;283.31;283.31;123.85;123.85;208.21;208.21;121.47;121.47;77.48;77.48;3521;3531;3568;3838;1;1;1;1
GR4YBU5H & Mercury & Icy_Fatal;$;1;1;100.00;531;531;2;2;0;0;2;2;6;6;6;6;1;1;1;1;33.33;358;58.83;2290;2290;1776;1776;514;514;24;24;39;39;439;439;230;230;209;209;3;3;11;11;24.91;24.91;81.6;81.6;343;343;543;543;69;69;1355;478341;478341;219.16;219.16;120.06;120.06;31.23;31.23;243.93;243.93;120.14;120.14;6.38;6.38;3.23;3.23;0.08;41;41;158.5;158.5;83.5;83.5;74.8;74.8;295.65;295.65;246.5;246.5;123.95;123.95;201.85;201.85;101.27;101.27;67.33;67.33;2921;2997;2836;3654;0;0;1;1
$ymTeX & Cenoknix & p0xy;$ymTeX;2;1;50.00;272;136;0;0;1;0.5;0;0;1;0.5;16;8;5;2.5;0;0;0;336.18;49.92;3790;1895;2540;1270;1250;625;32;16;116;58;584;292;314;157;270;135;4;2;25;12.5;75.62;37.81;63.8;31.9;626;313;628;314;91;45.5;1437.08;939265;469632.5;355.91;177.95;235.21;117.6;100.13;50.07;461.5;230.75;223.81;111.9;5.94;2.97;6.76;3.38;0.12;55;27.5;204.5;102.25;243.2;121.6;208.09;104.04;483.16;241.58;480.58;240.29;210.68;105.34;376.52;188.26;185.84;92.92;128.89;64.44;3189.12;3261.47;3174.45;3692.75;2;1;1;0.5
GR4YBU5H & Mercury & Icy_Fatal;- Satyre -;1;0;0.00;188;188;0;0;1;1;0;0;0;0;9;9;4;4;1;1;0;322;46.93;1483;1483;1225;1225;258;258;14;14;24;24;60;60;35;35;25;25;1;1;3;3;67.61;67.61;24.69;24.69;210;210;183;183;64;64;1518;394050;394050;123.16;123.16;121.27;121.27;34.16;34.16;134.76;134.76;123.62;123.62;20.2;20.2;3.85;3.85;0.17;22;22;86.7;86.7;89.8;89.8;85.97;85.97;192.62;192.62;199.95;199.95;78.64;78.64;166.73;166.73;65.25;65.25;46.6;46.6;2962;2834;3095;3542;0;0;0;0
GR4YBU5H & Mercury & Icy_Fatal;0azula0;1;0;0.00;397;397;0;0;1;1;2;2;2;2;9;9;3;3;1;1;0;436;53.64;2346;2346;1749;1749;597;597;20;20;45;45;445;445;260;260;185;185;3;3;9;9;54;54;36.2;36.2;472;472;277;277;39;39;1527;513276;513276;175.06;175.06;137.11;137.11;46.31;46.31;226.47;226.47;113.53;113.53;18.47;18.47;9.97;9.97;0.1;101;101;116.1;116.1;110;110;78.65;78.65;279.83;279.83;231.67;231.67;126.8;126.8;178.94;178.94;99.55;99.55;79.99;79.99;2502;2079;2956;3241;1;1;0;0
!.d1 & 0h.Jord4n & AV;0h.Jord4n;1;1;100.00;610;610;3;3;0;0;2;2;3;3;8;8;4;4;2;2;100;381;48.37;2443;2443;2085;2085;358;358;24;24;33;33;177;177;52;52;125;125;1;1;11;11;52.03;52.03;106.62;106.62;229;229;354;354;54;54;1489;553868;553868;202.97;202.97;176.65;176.65;30.58;30.58;263.26;263.26;133.42;133.42;13.52;13.52;6.59;6.59;0.08;82;82;151.1;151.1;111.5;111.5;93.83;93.83;316.37;316.37;281.63;281.63;128.57;128.57;213.59;213.59;129.26;129.26;67.36;67.36;2770;2916;2640;3586;1;1;0;0
GR4YBU5H & Mercury & Icy_Fatal;0k-bud;1;0;0.00;259;259;0;0;0;0;2;2;2;2;11;11;2;2;1;1;0;264;57.41;1561;1561;1138;1138;423;423;15;15;40;40;209;209;123;123;86;86;2;2;8;8;13.6;13.6;64.96;64.96;125;125;381;381;76;76;1565;493350;493350;123.59;123.59;168.46;168.46;34.61;34.61;161.04;161.04;154.11;154.11;11.52;11.52;4.51;4.51;0.16;29;29;104;104;112.7;112.7;92.9;92.9;233.77;233.77;229.1;229.1;97.57;97.57;173.32;173.32;107.13;107.13;46.22;46.22;2586;2481;2654;3726;0;0;0;0
110% fish. & dillishus & whendoze;110% fish.;2;2;100.00;530;265;2;1;0;0;2;1;4;2;10;5;0;0;0;0;50;297;49.06;2569;1284.5;1550;775;1019;509.5;22;11;89;44.5;588;294;280;140;308;154;4;2;25;12.5;33.62;16.81;91.19;45.6;265;132.5;682;341;129;64.5;1493;710449;355224.5;240.24;120.12;213.69;106.85;55.58;27.79;319.39;159.7;170.53;85.26;19.6;9.8;5.73;2.87;0.14;41;20.5;164;82;133.8;66.9;121.41;60.71;388.1;194.05;344.6;172.3;164.9;82.45;275.71;137.85;149.68;74.84;84.11;42.06;3227;3473;2892;3674;2;1;0;0
27Solo96 & DingleBazingle;27Solo96;1;1;100.00;404;404;1;1;1;1;0;0;5;5;6;6;1;1;0;0;20;255;52.68;1579;1579;929;929;650;650;12;12;57;57;414;414;271;271;143;143;3;3;13;13;20.29;20.29;27.93;27.93;134;134;278;278;35;35;1285;429703;429703;227.97;227.97;99.92;99.92;30.78;30.78;239.88;239.88;114.17;114.17;4.63;4.63;8.96;8.96;0.19;47;47;135.6;135.6;213.7;213.7;133.34;133.34;225.34;225.34;242.99;242.99;115.69;115.69;172.82;172.82;117.46;117.46;68.4;68.4;2585;2933;2363;3451;0;0;0;0
GR4YBU5H & Mercury & Icy_Fatal;330 P3RK;1;1;100.00;320;320;1;1;1;1;0;0;3;3;2;2;2;2;1;1;33.33;366;55.88;1938;1938;1414;1414;524;524;18;18;47;47;316;316;178;178;138;138;2;2;12;12;20.51;20.51;54.59;54.59;136;136;406;406;27;27;1579;439908;439908;120.04;120.04;143.27;143.27;37.58;37.58;166.84;166.84;112.8;112.8;21.25;21.25;3.48;3.48;0.12;29;29;103.6;103.6;77.9;77.9;41.97;41.97;258.91;258.91;176.25;176.25;124.63;124.63;133.86;133.86;85.17;85.17;81.86;81.86;2709;2569;2668;3280;0;0;0;0
