team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
DubiousDugger & justin100004 & AnimeThighs0626;54UC3D;3;1;33.33;1142;380.67;4;1.33;1;0.33;2;0.67;10;3.33;24;8;10;3.33;5;1.67;40;433.6;45.68;7285;2428.33;5977;1992.33;1308;436;67;22.33;111;37;1011;337;700;233.33;311;103.67;9;3;30;10;191.48;63.83;143.75;47.92;966;322;762;254;209;69.67;1391.46;1395443;465147.66;588.21;196.07;391.84;130.61;104.87;34.96;598.05;199.35;448.68;149.56;38.19;12.73;12.09;4.03;0.16;75;25;559.1;186.37;485.6;161.87;281.32;93.77;803.58;267.86;751.76;250.59;333.15;111.05;586.12;195.37;307.74;102.58;191.06;63.69;2518.82;2448.65;2572.37;3106.07;0;0;3;1
DubiousDugger & justin100004 & AnimeThighs0626;999gav;6;4;66.67;3825;637.5;13;2.17;3;0.5;16;2.67;21;3.5;45;7.5;12;2;8;1.33;61.9;385.17;54.62;14094;2349;10667;1777.83;3427;571.17;136;22.67;301;50.17;2523;420.5;1644;274;879;146.5;22;3.67;76;12.67;165.08;27.51;223.48;37.25;2247;374.5;2807;467.83;555;92.5;1396.61;2788016;464669.34;1174.28;195.71;777.86;129.64;195.1;32.52;1407.77;234.63;693.1;115.52;46.41;7.73;0.18;0.03;0.02;8;1.33;1116.2;186.03;953.3;158.88;491.41;81.9;1655.86;275.98;1477.54;246.26;669.74;111.62;1132.85;188.81;653.61;108.94;360.8;60.13;2486.16;2381.33;2593.01;3291.91;3;0.5;6;1
DubiousDugger & justin100004 & AnimeThighs0626;AJGsch;4;4;100.00;2435;608.75;11;2.75;1;0.25;5;1.25;15;3.75;18;4.5;4;1;1;0.25;73.33;285.85;59.32;6672;1668;5228;1307;1444;361;72;18;133;33.25;1132;283;642;160.5;490;122.5;11;2.75;46;11.5;128.91;32.23;227.76;56.94;788;197;1987;496.75;490;122.5;1389.99;1829752;457438;776.07;194.02;510.23;127.56;115.79;28.95;952.92;238.23;391.87;97.97;57.31;14.33;23.08;5.77;0.27;83;20.75;421.4;105.35;457.4;114.35;377.2;94.3;1024.89;256.22;930.95;232.74;471.14;117.78;700.34;175.08;415.03;103.76;286.73;71.68;3074.76;2839.37;3281.24;4003.21;2;0.5;3;0.75
DubiousDugger & justin100004 & AnimeThighs0626;AJgamer358;3;1;33.33;1202;400.67;4;1.33;2;0.67;4;1.33;6;2;28;9.33;13;4.33;6;2;66.67;436.52;41.48;7652;2550.67;5771;1923.67;1881;627;64;21.33;157;52.33;914;304.67;476;158.67;438;146;5;1.67;39;13;235.44;78.48;156.2;52.07;540;180;648;216;23;7.67;1386.85;1422252;474084;633.46;211.15;402.97;134.32;92.87;30.96;665.85;221.95;444.33;148.11;19.1;6.37;2.85;0.95;0.31;10;3.33;481.9;160.63;574.9;191.63;345.16;115.05;784.13;261.38;802.77;267.59;326.52;108.84;618.52;206.17;344.74;114.91;166.02;55.34;2562.17;2515.35;2590.1;3180.19;2;0.67;2;0.67
DubiousDugger & justin100004 & AnimeThighs0626;AngelWings_777;4;1;25.00;1314;328.5;3;0.75;1;0.25;0;0;11;2.75;15;3.75;8;2;3;0.75;27.27;352.11;50.13;9271;2317.75;6453;1613.25;2818;704.5;83;20.75;249;62.25;2665;666.25;1590;397.5;1075;268.75;22;5.5;96;24;155.23;38.81;143.33;35.83;1338;334.5;1933;483.25;648;162;1542.06;2221490;555372.5;626.95;156.74;708.22;177.05;174.83;43.71;912.96;228.24;564.89;141.22;32.16;8.04;17.45;4.36;0.16;108;27;735.3;183.82;726.9;181.73;426.8;106.7;1083.23;270.81;914.2;228.55;595.81;148.95;638.27;159.57;507.32;126.83;364.43;91.11;2608.53;2418.78;2839.5;3600.26;2;0.5;2;0.5
DubiousDugger & justin100004 & AnimeThighs0626;AnimeThighs0626;65;40;61.54;28682;441.26;95;1.46;33;0.51;72;1.11;214;3.29;417;6.42;140;2.15;59;0.91;44.39;406.04;52.99;159092;2447.57;113935;1752.85;45157;694.72;1373;21.12;3991;61.4;30526;469.63;17234;265.14;13292;204.49;204;3.14;1154;17.75;3073.6;47.29;1401.46;21.56;12141;186.78;23414;360.22;3222;49.57;1500.87;32960424;507083.44;10796.98;166.11;10066.49;154.87;2613.4;40.21;14706.52;226.25;7872.97;121.12;897.44;13.81;425.67;6.55;0.08;5025;77.31;7795.5;119.93;8485.3;130.54;5986.24;92.1;17490.62;269.09;14993.4;230.67;8483.46;130.51;11261.86;173.26;7281.33;112.02;4933.72;75.9;2763.86;2643.48;2880.93;3701.43;53;0.82;61;0.94
DubiousDugger & justin100004 & AnimeThighs0626;AverageBrooski;6;4;66.67;3342;557;8;1.33;4;0.67;12;2;22;3.67;32;5.33;12;2;10;1.67;36.36;327.92;49.07;11802;1967;7894;1315.67;3908;651.33;94;15.67;334;55.67;1810;301.67;608;101.33;1202;200.33;8;1.33;100;16.67;173.17;28.86;174.53;29.09;1801;300.17;1594;265.67;186;31;1423.93;2870743;478457.16;1147.33;191.22;845.22;140.87;188.34;31.39;1395.67;232.61;727.01;121.17;58.22;9.7;38.32;6.39;0.16;234;39;1053.5;175.58;1013.5;168.92;553.11;92.18;1627.78;271.3;1385.91;230.99;795;132.5;1066.2;177.7;630.67;105.11;484.02;80.67;2729.03;2674.5;2705.19;3701.87;0;0;2;0.33
DubiousDugger & justin100004 & AnimeThighs0626;Avid;14;5;35.71;5636;402.57;11;0.79;11;0.79;19;1.36;42;3;106;7.57;49;3.5;28;2;26.19;351.35;50.58;28818;2058.43;19125;1366.07;9693;692.36;235;16.79;867;61.93;5310;379.29;2472;176.57;2838;202.71;32;2.29;245;17.5;519.97;37.14;482.84;34.49;2528;180.57;4722;337.29;779;55.64;1423.17;6647142;474795.84;2622.58;187.33;2002.26;143.02;449.54;32.11;2853.1;203.79;2061.75;147.27;159.55;11.4;33.84;2.42;0.13;266;19;2230.1;159.29;2061.8;147.27;1493.46;106.68;3580.96;255.78;3410.46;243.6;1663.95;118.85;2700.79;192.91;1354.17;96.73;1019.43;72.82;2518.48;2334.53;2674.55;3392.9;6;0.43;11;0.79
DubiousDugger & justin100004 & AnimeThighs0626;Avid RL;21;9;42.86;10264;488.76;31;1.48;7;0.33;42;2;51;2.43;157;7.48;53;2.52;30;1.43;60.78;331.2;49.63;40080;1908.57;26458;1259.9;13622;648.67;339;16.14;1199;57.1;6831;325.29;3105;147.86;3726;177.43;49;2.33;332;15.81;625.87;29.8;770.85;36.71;7027;334.62;7550;359.52;1843;87.76;1370.84;9680346;460968.84;4114.02;195.91;2856.34;136.02;595.06;28.34;4890.64;232.89;2506.95;119.38;167.83;7.99;76;3.62;0.16;491;23.38;3765.2;179.3;3563.8;169.7;1964.17;93.53;5601.24;266.73;5033.49;239.69;2531.92;120.57;3924.13;186.86;2137.77;101.8;1503.53;71.6;2408.54;2306.24;2474.71;3283.43;11;0.52;10;0.48
DubiousDugger & justin100004 & AnimeThighs0626;BEARDEDJACKYL;16;6;37.50;5129;320.56;8;0.5;8;0.5;19;1.19;35;2.19;104;6.5;35;2.19;18;1.12;22.86;267.78;53.77;26962;1685.12;16972;1060.75;9990;624.38;217;13.56;887;55.44;7072;442;3385;211.56;3687;230.44;48;3;324;20.25;403.95;25.25;774.67;48.42;3526;220.38;4949;309.31;1480;92.5;1370.14;7716571;482285.69;3381.81;211.36;2198.6;137.41;352.49;22.03;4064.73;254.05;1794.04;112.13;74.09;4.63;41.49;2.59;0.13;313;19.56;2174.7;135.92;2785.4;174.09;1866.91;116.68;4065.96;254.12;3496.84;218.55;2435.99;152.25;2520.99;157.56;1959.26;122.45;1452.61;90.79;2730.5;2566.83;2878.95;3480.48;8;0.5;10;0.62
