team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
********* & 144GHz.T33N41K & Britishthrasher;*********;1;0;0.00;357;357;1;1;0;0;1;1;3;3;9;9;4;4;0;0;33.33;357;57.63;2326;2326;1972;1972;354;354;23;23;35;35;480;480;376;376;104;104;4;4;11;11;16.01;16.01;94.07;94.07;165;165;366;366;34;34;1449;491148;491148;186.12;186.12;151.37;151.37;31.64;31.64;230.97;230.97;115.93;115.93;22.23;22.23;5.42;5.42;0.14;39;39;97.4;97.4;135.4;135.4;130.97;130.97;238.17;238.17;254.18;254.18;114.95;114.95;198.87;198.87;109.82;109.82;60.45;60.45;2868;2602;3167;3393;0;0;0;0
********** & mark.1.2 & springy_rocketer;**********;3;1;33.33;696;232;2;0.67;0;0;3;1;4;1.33;23;7.67;9;3;4;1.33;50;292.17;42.97;4435;1478.33;2989;996.33;1446;482;34;11.33;127;42.33;648;216;384;128;264;88;5;1.67;23;7.67;80.66;26.89;168.61;56.2;408;136;458;152.67;122;40.67;1372.64;1199102;399700.66;544.03;181.34;331.75;110.58;71.33;23.78;591.23;197.08;343.12;114.37;12.75;4.25;9.76;3.25;0.13;72;24;513;171;413.7;137.9;269;89.67;678.12;226.04;724.1;241.37;223.02;74.34;568.14;189.38;271.26;90.42;107.7;35.9;2788.53;2954.11;2633.83;3277.81;3;1;2;0.67
*********** & CHOPPER GUNNER & Whiffer Sweat Jet;***********;4;1;25.00;1910;477.5;7;1.75;2;0.5;4;1;13;3.25;24;6;11;2.75;6;1.5;53.85;370.08;46.89;8211;2052.75;5554;1388.5;2657;664.25;66;16.5;230;57.5;1936;484;1193;298.25;743;185.75;13;3.25;66;16.5;173.19;43.3;158.91;39.73;1223;305.75;1056;264;133;33.25;1455.62;1847567;461891.75;696.9;174.23;531.33;132.83;136.21;34.05;899.09;224.77;425.17;106.29;40.15;10.04;19.54;4.89;0.15;132;33;690.3;172.57;649;162.25;386.08;96.52;978.35;244.59;855.88;213.97;508.54;127.14;648.93;162.23;405.84;101.46;309.65;77.41;2359.33;2283.42;2423.53;3013.51;5;1.25;2;0.5
************ & BlkNight & Hockey2911;************;2;1;50.00;663;331.5;1;0.5;3;1.5;1;0.5;3;1.5;13;6.5;3;1.5;1;0.5;33.33;242.38;55.94;2663;1331.5;1799;899.5;864;432;26;13;76;38;575;287.5;223;111.5;352;176;3;1.5;30;15;74.42;37.21;64.76;32.38;174;87;733;366.5;84;42;1284.19;790038;395019;403.08;201.54;216.49;108.24;33.41;16.7;426.86;213.43;202.61;101.31;23.49;11.75;12.25;6.12;0.2;65;32.5;232.7;116.35;317.5;158.75;172.93;86.46;480.04;240.02;380.81;190.4;272.16;136.08;277.75;138.88;215.35;107.68;159.86;79.93;2704.91;2616.67;2738.05;3802.85;0;0;0;0
************* & bxbyy0daa;*************;1;1;100.00;586;586;1;1;2;2;3;3;2;2;7;7;2;2;1;1;50;344;59.78;2029;2029;1555;1555;474;474;19;19;44;44;264;264;100;100;164;164;1;1;14;14;23.07;23.07;79.02;79.02;51;51;377;377;3;3;1376;432045;432045;186.76;186.76;136.56;136.56;22.82;22.82;213.22;213.22;121.03;121.03;11.88;11.88;4.4;4.4;0.16;27;27;194.6;194.6;137.3;137.3;65.63;65.63;280.5;280.5;211.11;211.11;135.03;135.03;165.41;165.41;112.26;112.26;68.47;68.47;2568;2362;2644;2954;0;0;0;0
************** & EDP_ELITE5 & diggydog35;**************;2;2;100.00;915;457.5;1;0.5;3;1.5;5;2.5;4;2;9;4.5;1;0.5;1;0.5;25;323.39;51.22;3632;1816;2369;1184.5;1263;631.5;30;15;116;58;781;390.5;291;145.5;490;245;4;2;45;22.5;76.27;38.14;56.81;28.4;416;208;602;301;50;25;1456.47;918458;459229;352.6;176.3;243.4;121.7;68.87;34.44;398.94;199.47;255.78;127.89;10.15;5.07;10.34;5.17;0.14;79;39.5;363;181.5;285.8;142.9;158.16;79.08;506.71;253.35;384.27;192.13;280.6;140.3;280.01;140.01;213.43;106.71;171.44;85.72;2461.16;2324.23;2585.69;3140.05;3;1.5;0;0
**************** & Area50None8474 & monkeyboy917;****************;2;1;50.00;916;458;2;1;3;1.5;3;1.5;7;3.5;13;6.5;3;1.5;2;1;28.57;413.88;54.45;5049;2524.5;4036;2018;1013;506.5;52;26;87;43.5;1201;600.5;935;467.5;266;133;12;6;24;12;98.43;49.22;86.53;43.26;911;455.5;1071;535.5;273;136.5;1442.01;993023;496511.5;370.9;185.45;273.72;136.86;82.64;41.32;418.42;209.21;277.54;138.77;31.3;15.65;9.17;4.59;0.12;74;37;359.4;179.7;349.4;174.7;192.19;96.1;535.08;267.54;406.45;203.23;320.82;160.41;297.31;148.65;238.88;119.44;191.07;95.54;2254.58;2387.19;2090.36;2960.67;0;0;1;0.5
0 Dave 0 & Fatality tri;0 Dave 0;1;1;100.00;998;998;4;4;1;1;4;4;7;7;11;11;4;4;3;3;57.14;390;50.6;2554;2554;2057;2057;497;497;25;25;47;47;264;264;100;100;164;164;1;1;15;15;40.06;40.06;48.85;48.85;407;407;467;467;5;5;1500;534486;534486;197.46;197.46;153.77;153.77;43.84;43.84;228.97;228.97;143.65;143.65;22.45;22.45;2.69;2.69;0.12;22;22;189.2;189.2;173.6;173.6;93.02;93.02;302.05;302.05;278.57;278.57;116.5;116.5;217.35;217.35;108.68;108.68;69.04;69.04;2206;1862;2638;2853;1;1;0;0
0000000 & pV Gh0st;0000000;1;1;100.00;494;494;2;2;0;0;1;1;6;6;5;5;1;1;1;1;33.33;339;66.3;1908;1908;1334;1334;574;574;18;18;56;56;341;341;198;198;143;143;3;3;13;13;21.21;21.21;47.9;47.9;184;184;527;527;110;110;1531;492526;492526;148.46;148.46;153.95;153.95;38.88;38.88;197.21;197.21;127.58;127.58;16.51;16.51;6.62;6.62;0.11;58;58;171.1;171.1;166.2;166.2;87.84;87.84;253.45;253.45;222.62;222.62;118.68;118.68;167.64;167.64;115.46;115.46;58.2;58.2;2475;2436;2514;3187;1;1;0;0
DubiousDugger & Mercury & Safety Always Off;0Zweij0CXPq ;1;0;0.00;359;359;1;1;0;0;1;1;4;4;8;8;3;3;1;1;25;424;55.76;2615;2615;2021;2021;594;594;23;23;53;53;458;458;270;270;188;188;3;3;17;17;26.69;26.69;36.78;36.78;207;207;155;155;39;39;1454;467480;467480;174.86;174.86;120.02;120.02;52.56;52.56;198.67;198.67;134.81;134.81;13.96;13.96;5.31;5.31;0.14;39;39;176.8;176.8;164.8;164.8;102.1;102.1;245.33;245.33;235.42;235.42;112.01;112.01;174.29;174.29;108.74;108.74;64.4;64.4;2454;2237;2644;3458;0;0;2;2
********* & 144GHz.T33N41K & Britishthrasher;144GHz.T33N41K;1;0;0.00;470;470;2;2;1;1;0;0;4;4;9;9;4;4;0;0;50;274;62.11;1860;1860;1393;1393;467;467;18;18;43;43;500;500;350;350;150;150;4;4;13;13;16.56;16.56;67.71;67.71;287;287;441;441;54;54;1330;445592;445592;229.39;229.39;113.65;113.65;26.14;26.14;239.71;239.71;112.67;112.67;16.8;16.8;3.31;3.31;0.17;20;20;110.7;110.7;108.2;108.2;86.75;86.75;282.42;282.42;266.34;266.34;102.83;102.83;218.6;218.6;93.98;93.98;56.59;56.59;2387;2391;2436;3145;0;0;0;0
paxxi. & 2to.two;2to.two;1;1;100.00;428;428;2;2;2;2;1;1;2;2;11;11;3;3;0;0;100;288;57.34;1826;1826;1397;1397;429;429;18;18;40;40;86;86;0;0;86;86;0;0;8;8;13.17;13.17;30.2;30.2;138;138;437;437;0;0;1397;477632;477632;212.26;212.26;143.78;143.78;20.16;20.16;283.58;283.58;83.52;83.52;9.1;9.1;3.6;3.6;0.15;24;24;204.1;204.1;153.6;153.6;86.05;86.05;290.16;290.16;286.79;286.79;89.41;89.41;214.49;214.49;131.11;131.11;30.61;30.61;2858;2939;2778;2940;0;0;1;1
9I[q  0 & Friz Hactic;9I[q  0;1;0;0.00;877;877;3;3;1;1;3;3;5;5;14;14;5;5;2;2;60;436;51.9;2951;2951;2208;2208;743;743;27;27;65;65;838;838;630;630;208;208;8;8;20;20;43.31;43.31;42.76;42.76;139;139;517;517;178;178;1428;579131;579131;241.17;241.17;154.09;154.09;49.1;49.1;229.97;229.97;199.83;199.83;14.55;14.55;6.55;6.55;0.14;48;48;172.2;172.2;250.3;250.3;119.37;119.37;324.98;324.98;270.34;270.34;174.02;174.02;195.09;195.09;138.53;138.53;110.73;110.73;1942;1688;2232;2958;0;0;0;0
9uxy & ziaabiri;9uxy;1;0;0.00;348;348;0;0;0;0;3;3;1;1;11;11;4;4;3;3;0;373;47.58;1868;1868;1341;1341;527;527;15;15;46;46;209;209;0;0;209;209;0;0;18;18;71.71;71.71;33.75;33.75;461;461;161;161;0;0;1539;453168;453168;140.97;140.97;128.47;128.47;40.37;40.37;189.05;189.05;116.06;116.06;4.7;4.7;4.37;4.37;0.08;54;54;156.9;156.9;137.7;137.7;87.06;87.06;222.75;222.75;227.83;227.83;81.98;81.98;183.27;183.27;82.53;82.53;44.01;44.01;2168;2176;2199;2828;0;0;0;0
V1em & 9vxw;9vxw;1;0;0.00;604;604;2;2;0;0;2;2;5;5;9;9;4;4;1;1;40;331;57.11;1924;1924;1541;1541;383;383;19;19;30;30;298;298;271;271;27;27;3;3;3;3;43.78;43.78;100.56;100.56;97;97;389;389;37;37;1433;459741;459741;190.42;190.42;137.59;137.59;33.03;33.03;169.29;169.29;156.13;156.13;35.62;35.62;2.22;2.22;0.05;49;49;165.6;165.6;178.6;178.6;102.79;102.79;258.26;258.26;231.6;231.6;129.44;129.44;191.39;191.39;104.26;104.26;65.39;65.39;2254;1882;2547;2893;1;1;0;0
A. & BeeferPlus;A.;1;0;0.00;577;577;1;1;0;0;3;3;7;7;6;6;2;2;2;2;14.29;356;46.13;2043;2043;1503;1503;540;540;18;18;47;47;594;594;369;369;225;225;4;4;19;19;57.4;57.4;47.53;47.53;117;117;307;307;30;30;1398;453613;453613;193.08;193.08;120.46;120.46;26.29;26.29;204.13;204.13;122.44;122.44;13.26;13.26;6.33;6.33;0.13;48;48;180.4;180.4;154.2;154.2;78.2;78.2;261.64;261.64;199.02;199.02;140.82;140.82;146.39;146.39;106.61;106.61;86.83;86.83;2205;1734;2698;3197;1;1;0;0
ADHDALT & zidgraal;ADHDALT;1;1;100.00;500;500;2;2;1;1;1;1;3;3;3;3;1;1;1;1;66.67;309;43.78;1327;1327;938;938;389;389;11;11;35;35;132;132;0;0;132;132;0;0;12;12;35.2;35.2;26.03;26.03;230;230;86;86;3;3;1408;326687;326687;142.71;142.71;96.69;96.69;19.29;19.29;161.51;161.51;86.41;86.41;10.78;10.78;1.53;1.53;0.12;13;13;127.3;127.3;118.4;118.4;40.06;40.06;218.63;218.63;160.11;160.11;98.59;98.59;115.87;115.87;79.28;79.28;63.55;63.55;2256;2180;2284;3041;0;0;0;0
AHILLIARD0827 & FREEDOM___1776;AHILLIARD0827;1;1;100.00;374;374;1;1;0;0;1;1;2;2;4;4;1;1;0;0;50;371;61.06;2128;2128;1587;1587;541;541;22;22;47;47;498;498;375;375;123;123;5;5;12;12;34.01;34.01;43.55;43.55;330;330;484;484;124;124;1538;490007;490007;149.3;149.3;141.52;141.52;43.03;43.03;188.11;188.11;142.46;142.46;3.27;3.27;5.17;5.17;0.12;44;44;142.2;142.2;184.2;184.2;101.28;101.28;232.56;232.56;179.32;179.32;154.53;154.53;136.34;136.34;86.69;86.69;110.81;110.81;2394;2345;2432;2947;2;2;0;0
AZEROv_1 & ZTR_Puq26;AZEROv_1;1;0;0.00;314;314;1;1;0;0;1;1;3;3;6;6;3;3;1;1;33.33;432;55.47;2079;2079;1685;1685;394;394;22;22;36;36;340;340;231;231;109;109;3;3;9;9;39.31;39.31;50.1;50.1;287;287;554;554;68;68;1510;422263;422263;148.81;148.81;110.76;110.76;43.83;43.83;156.68;156.68;132.41;132.41;14.31;14.31;5.13;5.13;0.13;40;40;121.1;121.1;181.9;181.9;111.07;111.07;192.32;192.32;193.23;193.23;110.16;110.16;139.46;139.46;101.02;101.02;62.91;62.91;2015;1824;2216;3094;2;2;1;1
AceCheston 25 & AngelEyes6528;AceCheston 25;1;1;100.00;450;450;1;1;2;2;0;0;6;6;4;4;3;3;3;3;16.67;362;58.98;2504;2504;1861;1861;643;643;23;23;61;61;348;348;100;100;248;248;1;1;23;23;38.2;38.2;53.45;53.45;405;405;478;478;0;0;1412;541660;541660;214.66;214.66;167.42;167.42;32.16;32.16;256.28;256.28;148.59;148.59;9.37;9.37;5.1;5.1;0.13;38;38;248.6;248.6;147.1;147.1;77.83;77.83;336.41;336.41;211.41;211.41;202.83;202.83;158.71;158.71;117.62;117.62;137.91;137.91;2549;2460;2630;3060;0;0;0;0
Actually Hungry & ThickTaco;Actually Hungry;1;0;0.00;539;539;1;1;0;0;3;3;2;2;9;9;3;3;2;2;50;339;42.09;2568;2568;1641;1641;927;927;20;20;80;80;676;676;335;335;341;341;4;4;29;29;71.6;71.6;42.11;42.11;386;386;295;295;31;31;1425;619685;619685;259.54;259.54;166.42;166.42;32.36;32.36;301.32;301.32;130.62;130.62;26.38;26.38;6.61;6.61;0.12;56;56;234.4;234.4;218.3;218.3;135.38;135.38;322.94;322.94;306.54;306.54;151.79;151.79;213.1;213.1;162.74;162.74;82.48;82.48;2237;2064;2447;3082;2;2;1;1
*********** & CHOPPER GUNNER & Whiffer Sweat Jet;Afk Plums;1;1;100.00;408;408;2;2;1;1;0;0;4;4;5;5;1;1;0;0;50;333;53.83;1925;1925;1338;1338;587;587;16;16;50;50;357;357;174;174;183;183;2;2;16;16;15.45;15.45;25.29;25.29;132;132;267;267;30;30;1352;440287;440287;200.9;200.9;129.32;129.32;21.37;21.37;226.79;226.79;118.03;118.03;6.77;6.77;3.17;3.17;0.16;20;20;179.9;179.9;159.8;159.8;86.08;86.08;265.51;265.51;201.45;201.45;150.13;150.13;148.89;148.89;114.3;114.3;88.4;88.4;2309;2431;2199;2658;3;3;0;0
