team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
K1cker_1 & elrobbo & BEARDEDJACKYL;AngelWings_777;27;11;40.74;12929;478.85;38;1.41;26;0.96;35;1.3;95;3.52;203;7.52;105;3.89;52;1.93;40;326.45;48.37;55326;2049.11;39621;1467.44;15705;581.67;514;19.04;1347;49.89;11541;427.44;6232;230.81;5309;196.63;86;3.19;460;17.04;1126.86;41.74;1144.49;42.39;6294;233.11;11394;422;2048;75.85;1480.51;13734694;508692.38;4861.08;180.04;4390.76;162.62;845.47;31.31;5917.57;219.17;3805.48;140.94;374.23;13.86;115.3;4.27;0.15;761;28.19;4710.5;174.46;4891.4;181.16;2838.34;105.12;7258.92;268.85;6313.13;233.82;3784.18;140.15;4671.83;173.03;3182.08;117.85;2243.4;83.09;2514.37;2365.78;2663.88;3355.43;20;0.74;7;0.26
K1cker_1 & elrobbo & BEARDEDJACKYL;AsleepRn_;3;1;33.33;1531;510.33;7;2.33;2;0.67;3;1;19;6.33;20;6.67;14;4.67;10;3.33;36.84;367.33;50.57;7003;2334.33;5038;1679.33;1965;655;58;19.33;183;61;1453;484.33;708;236;745;248.33;8;2.67;70;23.33;100.48;33.49;144.41;48.14;759;253;886;295.33;150;50;1566.17;1662074;554024.69;508.79;169.6;519.76;173.25;137.35;45.78;611.04;203.68;503.6;167.87;51.27;17.09;17.24;5.75;0.16;109;36.33;563;187.67;530.6;176.87;327.93;109.31;837.97;279.32;669.5;223.17;496.4;165.47;480.14;160.05;372.25;124.08;313.51;104.5;2625.13;2536.75;2738.52;3299.05;5;1.67;2;0.67
K1cker_1 & elrobbo & BEARDEDJACKYL;AverageBrooski;12;9;75.00;3522;293.5;5;0.42;6;0.5;11;0.92;23;1.92;87;7.25;20;1.67;6;0.5;21.74;298.77;46.31;22326;1860.5;14610;1217.5;7716;643;178;14.83;655;54.58;3726;310.5;2127;177.25;1599;133.25;26;2.17;129;10.75;450.31;37.53;356.26;29.69;2511;209.25;3250;270.83;480;40;1315.61;5583746;465312.16;2690.32;224.19;1510.22;125.85;303.25;25.27;2966.7;247.22;1451.91;120.99;85.19;7.1;87.1;7.26;0.17;521;43.42;1642.7;136.89;1374.2;114.52;1168.28;97.36;3335.51;277.96;3153.47;262.79;1350.33;112.53;2395.42;199.62;1327.99;110.67;780.39;65.03;3160.39;3171.29;3139.05;3666.78;2;0.17;9;0.75
K1cker_1 & elrobbo & BEARDEDJACKYL;BEARDEDJACKYL;69;24;34.78;30469;441.58;101;1.46;51;0.74;75;1.09;215;3.12;550;7.97;271;3.93;111;1.61;46.98;268.63;51.12;117772;1706.84;76969;1115.49;40803;591.35;957;13.87;3551;51.46;22717;329.23;8684;125.86;14033;203.38;118;1.71;1228;17.8;1884.22;27.31;3082.89;44.68;15524;224.99;19312;279.88;3315;48.04;1400.54;33076608;479371.12;14410.08;208.84;9615.7;139.36;1650.35;23.92;17254.28;250.06;8005.36;116.02;416.56;6.04;168.72;2.45;0.13;1308;18.96;12057.1;174.74;12523.8;181.5;7827.56;113.44;17848.5;258.67;16047.86;232.58;9628.25;139.54;11727.17;169.96;8384.53;121.51;5564.44;80.64;2635.84;2453.08;2784.98;3322.66;36;0.52;58;0.84
K1cker_1 & elrobbo & BEARDEDJACKYL;BadBobaFett74;42;12;28.57;16755;398.93;55;1.31;24;0.57;45;1.07;103;2.45;332;7.9;173;4.12;73;1.74;53.4;352;47.07;91485;2178.21;66017;1571.83;25468;606.38;816;19.43;2223;52.93;18520;440.95;10690;254.52;7830;186.43;132;3.14;683;16.26;1924.67;45.83;1487.22;35.41;8006;190.62;15165;361.07;2414;57.48;1388.39;19926056;474429.91;8601.95;204.81;6010.18;143.1;977.87;23.28;9227.62;219.71;5991.41;142.65;370.98;8.83;138.79;3.3;0.13;1052;25.05;6994.7;166.54;7266;173;4927.43;117.32;10662.52;253.87;9937.7;236.61;5652.25;134.58;7362.82;175.31;4815.82;114.66;3411.31;81.22;2759.56;2645.17;2863.71;3415.52;18;0.43;18;0.43
K1cker_1 & elrobbo & BEARDEDJACKYL;BigCountry;14;9;64.29;8634;616.71;26;1.86;14;1;29;2.07;61;4.36;89;6.36;37;2.64;20;1.43;42.62;372.46;56.79;32007;2286.21;23770;1697.86;8237;588.36;311;22.21;774;55.29;9150;653.57;6455;461.07;2695;192.5;89;6.36;251;17.93;363.02;25.93;725.8;51.84;3482;248.71;7428;530.57;2364;168.86;1506.57;7106230;507587.84;2315.29;165.38;2300.19;164.3;494.4;35.31;3261.67;232.98;1719.4;122.81;128.81;9.2;111.48;7.96;0.13;868;62;2461.3;175.81;2437.8;174.13;1317.01;94.07;3792.9;270.92;3153.39;225.24;1956.51;139.75;2403.85;171.7;1459.72;104.27;1246.3;89.02;2976.38;2819.58;3136.62;3703.98;5;0.36;10;0.71
K1cker_1 & elrobbo & BEARDEDJACKYL;Big_Mert;30;11;36.67;14839;494.63;47;1.57;13;0.43;62;2.07;109;3.63;238;7.93;99;3.3;58;1.93;43.12;264.46;45.31;46442;1548.07;25743;858.1;20699;689.97;329;10.97;1804;60.13;11043;368.1;5816;193.87;5227;174.23;69;2.3;454;15.13;1337.35;44.58;744.07;24.8;5794;193.13;7230;241;1027;34.23;1377.23;13967034;465567.81;6428.89;214.3;3858.17;128.61;752.02;25.07;7961.86;265.4;2948.59;98.29;128.68;4.29;239.15;7.97;0.16;1491;49.7;6047.2;201.57;4630.3;154.34;2671.34;89.04;8367.74;278.92;7642.38;254.75;3396.71;113.22;5794.11;193.14;3309.12;110.3;1935.84;64.53;2832.24;2743.59;2913.65;3465.11;26;0.87;25;0.83
PUFFINS;Bigginz_TV;5;0;0.00;1021;204.2;2;0.4;2;0.4;2;0.4;5;1;41;8.2;16;3.2;9;1.8;40;299.34;45.67;8498;1699.6;5098;1019.6;3400;680;66;13.2;298;59.6;1616;323.2;701;140.2;915;183;10;2;79;15.8;198.4;39.68;279.26;55.85;1169;233.8;1610;322;314;62.8;1329.48;2165184;433036.81;1087.28;217.46;520.11;104.02;133.2;26.64;1213.83;242.77;485.7;97.14;41.07;8.21;22.12;4.42;0.14;156;31.2;724.9;144.98;478.6;95.72;450.18;90.04;1290.4;258.08;1252.74;250.55;487.85;97.57;966.68;193.34;497.36;99.47;276.54;55.31;3311.26;3309.59;3327.4;3820.76;2;0.4;1;0.2
K1cker_1 & elrobbo & BEARDEDJACKYL;Bowler;6;4;66.67;2854;475.67;8;1.33;6;1;10;1.67;12;2;40;6.67;18;3;7;1.17;66.67;347.13;53.96;13101;2183.5;9332;1555.33;3769;628.17;134;22.33;343;57.17;2409;401.5;1310;218.33;1099;183.17;18;3;98;16.33;214.03;35.67;299.52;49.92;1591;265.17;3855;642.5;465;77.5;1524.97;3104113;517352.16;1041.07;173.51;930.53;155.09;223.77;37.3;1425.14;237.52;706.06;117.68;64.18;10.7;24.71;4.12;0.15;167;27.83;1061.5;176.92;1054.4;175.73;649.2;108.2;1546.19;257.7;1427.65;237.94;767.76;127.96;1008.42;168.07;793.21;132.2;393.76;65.63;2565.27;2209.44;2890.5;3385.97;4;0.67;4;0.67
K1cker_1 & elrobbo & BEARDEDJACKYL;Chadley;3;1;33.33;2045;681.67;6;2;3;1;8;2.67;16;5.33;22;7.33;7;2.33;3;1;37.5;479.49;54.82;8671;2890.33;6608;2202.67;2063;687.67;95;31.67;201;67;1868;622.67;1199;399.67;669;223;18;6;59;19.67;115.4;38.47;134.55;44.85;1370;456.67;3007;1002.33;608;202.67;1614.66;1603185;534395;424.19;141.4;420.61;140.2;222.96;74.32;591.15;197.05;416.68;138.89;59.92;19.97;14.04;4.68;0.14;103;34.33;552.8;184.27;477.1;159.03;270.37;90.12;797.37;265.79;689.7;229.9;378.06;126.02;525.53;175.18;306.54;102.18;235.67;78.56;2768.11;2482;3063.41;3495.66;1;0.33;3;1
K1cker_1 & elrobbo & BEARDEDJACKYL;Chief;15;4;26.67;8075;538.33;27;1.8;9;0.6;25;1.67;51;3.4;131;8.73;62;4.13;31;2.07;52.94;343.43;54.42;34425;2295;24278;1618.53;10147;676.47;337;22.47;878;58.53;6718;447.87;3649;243.27;3069;204.6;54;3.6;263;17.53;287.35;19.16;632.23;42.15;7204;480.27;9407;627.13;1821;121.4;1426.2;7740087;516005.81;3115.97;207.73;2297.91;153.19;478.95;31.93;4087.85;272.52;1635.65;109.04;169.32;11.29;71.2;4.75;0.11;623;41.53;2912.2;194.15;2714.3;180.95;1638.21;109.21;4254.62;283.64;3854.28;256.95;2038.54;135.9;2834.46;188.96;1907.31;127.15;1151.08;76.74;2520.38;2376.31;2662.7;3341.07;21;1.4;15;1
K1cker_1 & elrobbo & BEARDEDJACKYL;ChrisPTaco;6;4;66.67;3046;507.67;4;0.67;10;1.67;10;1.67;20;3.33;52;8.67;24;4;19;3.17;20;300.4;44.18;11789;1964.83;7310;1218.33;4479;746.5;92;15.33;406;67.67;3254;542.33;1784;297.33;1470;245;20;3.33;130;21.67;228.69;38.12;169.59;28.26;375;62.5;1743;290.5;235;39.17;1415.66;2999854;499975.66;1234.6;205.77;921.7;153.62;171.4;28.57;1396.88;232.81;883.15;147.19;47.67;7.94;78.95;13.16;0.12;658;109.67;1134.5;189.08;1075.4;179.23;561.39;93.57;1766.32;294.39;1465.37;244.23;862.34;143.72;1075.66;179.28;746.34;124.39;505.71;84.29;2648.5;2464.33;2771.71;3341.85;2;0.33;6;1
K1cker_1 & elrobbo & BEARDEDJACKYL;Codykansas;27;13;48.15;11993;444.19;39;1.44;13;0.48;35;1.3;103;3.81;189;7;88;3.26;42;1.56;37.86;457.02;44.97;73881;2736.33;53454;1979.78;20427;756.56;638;23.63;1668;61.78;15696;581.33;9531;353;6165;228.33;113;4.19;499;18.48;1628.6;60.32;869.27;32.2;14102;522.3;9412;348.59;1745;64.63;1499.24;14186021;525408.19;4605.37;170.57;4586.93;169.89;989.66;36.65;6434.94;238.33;3515.25;130.19;231.84;8.59;239.57;8.87;0.15;1670;61.85;4550.4;168.53;4591.1;170.04;2918.25;108.08;7263.77;269.03;6340.62;234.84;3841.29;142.27;4604.44;170.53;3269.24;121.08;2308.31;85.49;2676.75;2515.77;2832.2;3516.98;39;1.44;25;0.93
