team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
TheNeighborV.TTV & !otuss & yeolegiant1;!otuss;4;4;100.00;784;196;2;0.5;2;0.5;2;0.5;8;2;16;4;4;1;2;0.5;25;391.64;55.45;8929;2232.25;6982;1745.5;1947;486.75;78;19.5;173;43.25;1149;287.25;740;185;409;102.25;8;2;39;9.75;152.48;38.12;194.84;48.71;1424;356;954;238.5;72;18;1527.61;1934780;483695;630.53;157.63;504.13;126.03;196.48;49.12;793.48;198.37;471.56;117.89;66.09;16.52;29.72;7.43;0.1;297;74.25;536.4;134.1;381.2;95.3;338.07;84.52;993.06;248.26;858.9;214.72;472.23;118.06;575.19;143.8;486.34;121.58;269.61;67.4;3212.05;3267.37;3161.07;3957.64;4;1;0;0
DxtroL_ & ***************;***************;1;0;0.00;302;302;0;0;2;2;0;0;3;3;8;8;6;6;5;5;0;290;51.99;1856;1856;1400;1400;456;456;17;17;40;40;664;664;486;486;178;178;5;5;16;16;40.19;40.19;48.29;48.29;31;31;307;307;15;15;1394;460539;460539;213.54;213.54;124.97;124.97;28.5;28.5;230.31;230.31;122.45;122.45;14.25;14.25;3.34;3.34;0.19;18;18;152.6;152.6;179.2;179.2;123.27;123.27;243.74;243.74;241.77;241.77;125.25;125.25;175.09;175.09;107.36;107.36;84.57;84.57;2577;2642;2486;3523;0;0;0;0
.,0<k,1 & BOO Raxist;.,0<k,1;1;0;0.00;334;334;1;1;0;0;1;1;4;4;6;6;4;4;2;2;25;370;56.2;1446;1446;1109;1109;337;337;15;15;30;30;339;339;219;219;120;120;3;3;11;11;25.19;25.19;29.52;29.52;83;83;403;403;80;80;1583;333107;333107;99.97;99.97;100.82;100.82;29.02;29.02;133.73;133.73;84.36;84.36;11.72;11.72;1.51;1.51;0.09;16;16;122.7;122.7;98;98;61.46;61.46;168.35;168.35;150.13;150.13;79.68;79.68;117.35;117.35;65.64;65.64;46.82;46.82;2310;1616;2829;3109;0;0;1;1
DecimalizedLuck & .OODLES;.OODLES;1;1;100.00;351;351;0;0;1;1;3;3;3;3;5;5;1;1;1;1;0;328;52.7;1764;1764;981;981;783;783;13;13;72;72;450;450;267;267;183;183;4;4;17;17;18.11;18.11;23.94;23.94;50;50;347;347;147;147;1426;453401;453401;183.87;183.87;133.47;133.47;22.36;22.36;207.62;207.62;124.67;124.67;7.41;7.41;8.03;8.03;0.1;77;77;170.1;170.1;161.8;161.8;93.97;93.97;245.72;245.72;209.13;209.13;130.57;130.57;150.22;150.22;105.34;105.34;84.14;84.14;2776;2769;2779;3339;1;1;1;1
Farrari & NastyHigg & 0Backshotzzz;0Backshotzzz;1;1;100.00;312;312;1;1;0;0;2;2;2;2;4;4;1;1;0;0;50;252;62.8;1362;1362;1016;1016;346;346;17;17;32;32;299;299;187;187;112;112;2;2;10;10;17.09;17.09;58.04;58.04;12;12;714;714;16;16;1430;442556;442556;170.63;170.63;143.24;143.24;16.65;16.65;203.33;203.33;113.18;113.18;14.01;14.01;4.99;4.99;0.15;33;33;142.3;142.3;107.3;107.3;73.93;73.93;256.58;256.58;261.56;261.56;68.96;68.96;204.68;204.68;84.32;84.32;41.52;41.52;3605;3450;3732;4054;0;0;1;1
0Seijun & NotSwefty;0Seijun;1;1;100.00;784;784;3;3;2;2;3;3;4;4;5;5;2;2;0;0;75;457;54.03;2531;2531;2146;2146;385;385;26;26;35;35;752;752;615;615;137;137;8;8;12;12;33.56;33.56;48.52;48.52;197;197;465;465;192;192;1493;468822;468822;149.16;149.16;154.78;154.78;36.85;36.85;205.55;205.55;115.7;115.7;19.55;19.55;8.63;8.63;0.2;43;43;167.8;167.8;164.4;164.4;94.38;94.38;246.42;246.42;207.97;207.97;132.83;132.83;151.09;151.09;112.74;112.74;76.96;76.96;2448;2064;2995;3517;0;0;1;1
2-Gunz & crawdaddy17 & saviorofsorrow;2-Gunz;1;1;100.00;541;541;3;3;0;0;0;0;5;5;3;3;2;2;1;1;60;371;48.86;2277;2277;1589;1589;688;688;21;21;65;65;554;554;302;302;252;252;5;5;22;22;25.97;25.97;53.8;53.8;251;251;545;545;207;207;1514;516476;516476;177.94;177.94;147.52;147.52;46.01;46.01;243.45;243.45;113.26;113.26;14.76;14.76;8.9;8.9;0.11;83;83;107.3;107.3;125.7;125.7;83.02;83.02;288.44;288.44;221.03;221.03;150.44;150.44;161.56;161.56;110.85;110.85;99.05;99.05;3107;3181;3035;3807;3;3;0;0
33newport33 & SabreWolfe19;33newport33;1;1;100.00;446;446;1;1;2;2;2;2;3;3;6;6;2;2;0;0;33.33;289;44.98;2017;2017;1320;1320;697;697;15;15;60;60;162;162;0;0;162;162;0;0;14;14;18.07;18.07;56.71;56.71;375;375;189;189;0;0;1249;437595;437595;261.91;261.91;114.22;114.22;18.25;18.25;288.24;288.24;104.26;104.26;1.88;1.88;6.82;6.82;0.34;20;20;178.5;178.5;187.4;187.4;71.04;71.04;323.34;323.34;304.44;304.44;89.94;89.94;228.82;228.82;116.98;116.98;48.58;48.58;2940;3301;2599;3712;1;1;0;0
K1cker_1 & Poopfish & Avid;3xoticmoon;4;2;50.00;1080;270;2;0.5;0;0;5;1.25;11;2.75;22;5.5;6;1.5;4;1;18.18;382.03;51.73;8183;2045.75;5993;1498.25;2190;547.5;70;17.5;198;49.5;1531;382.75;719;179.75;812;203;9;2.25;72;18;188.37;47.09;124.88;31.22;1730;432.5;1118;279.5;192;48;1497.08;1879600;469900;605.28;151.32;557.56;139.39;146.26;36.57;863.73;215.93;417.37;104.34;28;7;22.44;5.61;0.13;172;43;381.9;95.48;420.8;105.2;376.79;94.2;932.3;233.08;827.13;206.78;481.96;120.49;620.38;155.1;389.93;97.48;298.78;74.69;2701.2;2579.87;2857.12;3457.27;3;0.75;2;0.5
5W SMKE @@}, & MadDoggMayhem;5W SMKE @@},;2;1;50.00;1405;702.5;8;4;1;0.5;3;1.5;8;4;15;7.5;8;4;2;1;100;285.29;53.61;4130;2065;2899;1449.5;1231;615.5;37;18.5;111;55.5;958;479;510;255;448;224;6;3;41;20.5;80.21;40.1;113.51;56.76;1023;511.5;858;429;112;56;1443.75;1058134;529067;415.36;207.68;325.51;162.76;68.99;34.49;550.41;275.21;245.19;122.6;14.27;7.14;5.93;2.97;0.2;28;14;289.3;144.65;448.3;224.15;224.7;112.35;585.17;292.59;508.03;254.02;301.76;150.88;364.75;182.38;269.98;134.99;175.14;87.57;2583.04;2388.59;2825.73;3384.15;1;0.5;1;0.5
