team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
********* & FluffFN;*********;1;0;0.00;380;380;1;1;0;0;1;1;6;6;8;8;3;3;2;2;16.67;417;45.15;2524;2524;1834;1834;690;690;22;22;60;60;766;766;499;499;267;267;6;6;23;23;49.07;49.07;42.26;42.26;387;387;372;372;100;100;1396;482570;482570;211.02;211.02;129.16;129.16;30.76;30.76;254.1;254.1;108.06;108.06;8.78;8.78;8.42;8.42;0.2;42;42;153.4;153.4;208.7;208.7;96.38;96.38;274.56;274.56;231.42;231.42;139.52;139.52;173.66;173.66;107.93;107.93;89.35;89.35;2321;2013;2796;3618;0;0;1;1
iUsedAiden & ********** & ElectricWR;**********;1;0;0.00;118;118;0;0;0;0;1;1;0;0;18;18;3;3;2;2;0;261;49.8;2407;2407;1677;1677;730;730;19;19;59;59;620;620;440;440;180;180;5;5;16;16;43.61;43.61;94.58;94.58;398;398;243;243;65;65;1390;673679;673679;313.31;313.31;191.29;191.29;35.02;35.02;368.7;368.7;151.86;151.86;19.06;19.06;3.34;3.34;0.37;9;9;141.2;141.2;242.9;242.9;244.14;244.14;295.48;295.48;387.38;387.38;152.23;152.23;283.77;283.77;169.13;169.13;86.72;86.72;2660;2558;2790;3080;1;1;1;1
*********** & Lowxr74 & tec chris;***********;2;2;100.00;840;420;3;1.5;1;0.5;2;1;10;5;8;4;2;1;2;1;30;400.81;44.73;4299;2149.5;3260;1630;1039;519.5;38;19;92;46;634;317;305;152.5;329;164.5;4;2;28;14;145.91;72.96;56.39;28.19;1010;505;554;277;94;47;1471.36;941463;470731.5;318.61;159.3;278.4;139.2;76.62;38.31;388.32;194.16;256.21;128.1;29.09;14.55;7.72;3.86;0.15;67;33.5;273.9;136.95;292.1;146.05;182.88;91.44;490.74;245.37;431.19;215.6;242.43;121.21;330.92;165.46;194.48;97.24;148.23;74.11;2508.72;2335.5;2713.7;3339.39;3;1.5;1;0.5
************ & Noah92202 & OneShot1242;************;3;2;66.67;928;309.33;2;0.67;3;1;2;0.67;9;3;20;6.67;6;2;1;0.33;22.22;319.99;51.75;5555;1851.67;3857;1285.67;1698;566;47;15.67;152;50.67;1625;541.67;1056;352;569;189.67;13;4.33;50;16.67;132.91;44.3;96.8;32.27;1052;350.67;919;306.33;249;83;1464.49;1466993;488997.66;542.17;180.72;440.38;146.79;95.11;31.7;701.14;233.71;345.59;115.2;30.94;10.31;11.38;3.79;0.24;84;28;346.2;115.4;321.1;107.03;273.56;91.19;804.09;268.03;653.26;217.75;424.4;141.47;475.62;158.54;330.51;110.17;271.52;90.51;2794.84;2598.24;3029.7;3535.5;5;1.67;0;0
************* & Saberon04 & Newb3y_Jr;*************;2;1;50.00;1114;557;5;2.5;0;0;2;1;11;5.5;18;9;6;3;3;1.5;45.45;348.94;49.97;3738;1869;2561;1280.5;1177;588.5;33;16.5;98;49;555;277.5;226;113;329;164.5;4;2;30;15;106.03;53.01;76.55;38.28;426;213;765;382.5;185;92.5;1444.11;952492;476246;352.75;176.38;299.08;149.54;66.93;33.47;457.42;228.71;247.02;123.51;14.33;7.16;2.45;1.23;0.22;11;5.5;362.4;181.2;327;163.5;184.48;92.24;534.3;267.15;482.61;241.3;236.15;118.07;372.06;186.03;208.11;104.06;138.59;69.29;2522.59;2543.77;2535.94;3203.66;0;0;0;0
************** & RBHaugh25 & firereef101;**************;2;2;100.00;1147;573.5;4;2;0;0;4;2;5;2.5;15;7.5;2;1;0;0;80;308.14;50.81;4042;2021;2987;1493.5;1055;527.5;42;21;93;46.5;436;218;164;82;272;136;3;1.5;24;12;67.87;33.93;169.79;84.9;400;200;1172;586;134;67;1406.31;1067475;533737.5;448.45;224.23;282.5;141.25;79.15;39.58;437.65;218.83;346.93;173.46;25.53;12.77;12.68;6.34;0.14;91;45.5;265.8;132.9;265.3;132.65;187.47;93.74;622.63;311.32;599.74;299.87;210.37;105.18;478.44;239.22;213.94;106.97;117.73;58.86;3192.16;3168.95;3215.96;3519.21;0;0;1;0.5
*************** & ImDallyJ & JOKER_III;***************;2;1;50.00;428;214;1;0.5;2;1;0;0;6;3;9;4.5;6;3;2;1;16.67;314.85;45.75;2593;1296.5;2033;1016.5;560;280;22;11;51;25.5;278;139;92;46;186;93;1;0.5;17;8.5;80.43;40.22;65.85;32.92;332;166;176;88;7;3.5;1355.91;627733;313866.5;320.5;160.25;159.52;79.76;47.84;23.92;353.31;176.65;162.45;81.22;12.09;6.05;3.83;1.91;0.19;20;10;157.9;78.95;176.6;88.3;170.9;85.45;356.97;178.49;334.95;167.48;192.91;96.45;240.33;120.16;164.42;82.21;123.11;61.56;2821.85;2850.2;2722.63;3434.52;2;1;2;1
Cavs Dwade & MisterJiggles & .dL [FW] smell my finger;.dL [FW] smell my finger;1;0;0.00;244;244;1;1;0;0;1;1;3;3;8;8;2;2;1;1;33.33;299;39.89;1474;1474;847;847;627;627;11;11;49;49;231;231;100;100;131;131;1;1;12;12;53.43;53.43;17.23;17.23;231;231;165;165;0;0;1295;412523;412523;216.49;216.49;102.07;102.07;16.42;16.42;232.91;232.91;88.73;88.73;13.33;13.33;5.25;5.25;0.13;42;42;168.9;168.9;87.5;87.5;96.98;96.98;238;238;239.35;239.35;95.62;95.62;189.11;189.11;85.5;85.5;60.36;60.36;3440;3437;3434;3630;0;0;0;0
000000 & mars (chat off);000000;1;1;100.00;648;648;3;3;0;0;1;1;6;6;8;8;3;3;1;1;50;440;48.41;2316;2316;1829;1829;487;487;21;21;44;44;241;241;87;87;154;154;1;1;15;15;41.4;41.4;29.9;29.9;641;641;280;280;12;12;1430;502703;502703;206.81;206.81;129.83;129.83;45.32;45.32;229.62;229.62;136.36;136.36;15.98;15.98;2.27;2.27;0.09;25;25;176.9;176.9;191.1;191.1;140.93;140.93;241.02;241.02;246.1;246.1;135.85;135.85;188.71;188.71;102.1;102.1;91.14;91.14;2228;1944;2539;3083;0;0;1;1
01tsuJ & dorkslayer & itsMakoda;01tsuJ;1;1;100.00;546;546;2;2;0;0;2;2;3;3;8;8;1;1;0;0;66.67;312;57.58;1771;1771;1410;1410;361;361;16;16;33;33;378;378;269;269;109;109;3;3;9;9;15.47;15.47;67.49;67.49;119;119;219;219;30;30;1416;447002;447002;179.36;179.36;136.65;136.65;17.45;17.45;203.95;203.95;116.82;116.82;12.69;12.69;4.77;4.77;0.12;40;40;100.8;100.8;123.6;123.6;99.12;99.12;234.33;234.33;214.62;214.62;118.83;118.83;169.56;169.56;83.61;83.61;80.28;80.28;2934;2386;3290;4029;0;0;1;1
Marko_milk & 0EL.PEPE0;0EL.PEPE0;1;1;100.00;569;569;2;2;3;3;0;0;4;4;5;5;2;2;1;1;50;276;48.69;1641;1641;891;891;750;750;12;12;57;57;625;625;394;394;231;231;5;5;20;20;36.01;36.01;21.25;21.25;152;152;318;318;106;106;1448;502150;502150;206.56;206.56;148.19;148.19;26.84;26.84;225.61;225.61;141.05;141.05;14.93;14.93;5.14;5.14;0.14;36;36;167;167;182.7;182.7;101.55;101.55;280.04;280.04;213.32;213.32;168.27;168.27;159.88;159.88;104;104;117.7;117.7;2298;2276;2373;2853;0;0;0;0
0TheAlmighty0 & Dart-trixx;0TheAlmighty0;1;0;0.00;736;736;1;1;0;0;4;4;4;4;10;10;2;2;1;1;25;536;55.07;4682;4682;3658;3658;1024;1024;51;51;88;88;1192;1192;831;831;361;361;10;10;29;29;59.23;59.23;84.84;84.84;830;830;1474;1474;181;181;1620;834965;834965;198.81;198.81;226.11;226.11;103.25;103.25;346.76;346.76;171.68;171.68;9.73;9.73;18.21;18.21;0.17;105;105;242.9;242.9;288.7;288.7;134.84;134.84;393.33;393.33;336.27;336.27;191.9;191.9;261.76;261.76;140.06;140.06;126.35;126.35;2628;2354;2771;3692;4;4;0;0
