team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
MAUI ANCIENTS;0atz_z;3;3;100.00;2660;886.67;13;4.33;5;1.67;4;1.33;22;7.33;13;4.33;4;1.33;2;0.67;59.09;374.08;54.03;7687;2562.33;5671;1890.33;2016;672;69;23;161;53.67;1607;535.67;939;313;668;222.67;11;3.67;54;18;54.99;18.33;136.65;45.55;515;171.67;1150;383.33;185;61.67;1435.06;1475833;491944.34;613.71;204.57;453.33;151.11;75.09;25.03;706.65;235.55;384.45;128.15;51.03;17.01;15.37;5.12;0.09;169;56.33;418.8;139.6;332.2;110.73;242.51;80.84;899.61;299.87;661.96;220.65;480.16;160.05;471.85;157.28;393.53;131.18;276.73;92.24;2896.73;2844.18;2967.92;3424.39;5;1.67;7;2.33
SDA;5nuffless;3;3;100.00;894;298;2;0.67;3;1;2;0.67;7;2.33;15;5;4;1.33;0;0;28.57;464.39;50.4;8039;2679.67;6184;2061.33;1855;618.33;71;23.67;157;52.33;1888;629.33;1252;417.33;636;212;15;5;54;18;116.7;38.9;123.46;41.15;1607;535.67;972;324;246;82;1561.37;1560791;520263.66;445.47;148.49;454.02;151.34;162.79;54.26;677.92;225.97;354.58;118.19;29.77;9.92;27.98;9.33;0.15;191;63.67;266.4;88.8;387.5;129.17;316.12;105.37;746.15;248.72;617.48;205.83;444.79;148.26;449.43;149.81;331.94;110.65;280.91;93.64;2821.48;2782.11;2890.23;3532.33;0;0;7;2.33
SAR;AKA Ghost 86;3;0;0.00;858;286;2;0.67;0;0;3;1;11;3.67;25;8.33;11;3.67;3;1;18.18;322.87;58.6;7102;2367.33;4981;1660.33;2121;707;69;23;198;66;1240;413.33;554;184.67;686;228.67;9;3;64;21.33;77.54;25.85;143.15;47.72;998;332.67;1956;652;358;119.33;1538.25;1909549;636516.31;576.38;192.13;539.96;179.99;189.6;63.2;787.4;262.47;488.2;162.73;30.35;10.12;21.71;7.24;0.12;175;58.33;498.8;166.27;397.4;132.47;360.08;120.03;945.85;315.28;892.17;297.39;413.77;137.92;670.34;223.45;405.07;135.02;230.51;76.84;3179.02;3230.23;3128.02;3801.99;4;1.33;2;0.67
NSH;AlmightyWhiff;5;3;60.00;1562;312.4;5;1;2;0.4;3;0.6;11;2.2;29;5.8;15;3;5;1;45.45;380.81;58.27;11504;2300.8;8303;1660.6;3201;640.2;109;21.8;304;60.8;2243;448.6;1451;290.2;792;158.4;20;4;78;15.6;185.67;37.13;246.64;49.33;1427;285.4;2719;543.8;491;98.2;1582.78;2715194;543038.81;825.75;165.15;721.89;144.38;305.11;61.02;1082.18;216.44;699.75;139.95;70.81;14.16;32.53;6.51;0.1;318;63.6;632.7;126.54;608.9;121.78;506.53;101.31;1346.21;269.24;1221.85;244.37;630.91;126.18;893.65;178.73;615.31;123.06;343.8;68.76;3308.42;3270.17;3332.17;4014.2;4;0.8;2;0.4
UTA;AnOddFellow;4;1;25.00;1297;324.25;2;0.5;2;0.5;4;1;10;2.5;34;8.5;14;3.5;7;1.75;20;345.07;54.76;8603;2150.75;5798;1449.5;2805;701.25;75;18.75;256;64;2800;700;1948;487;852;213;24;6;77;19.25;133.18;33.29;169.61;42.4;622;155.5;1714;428.5;498;124.5;1523.43;2028881;507220.25;633.75;158.44;666.78;166.7;128.95;32.24;814.27;203.57;570.93;142.73;44.29;11.07;40.21;10.05;0.13;306;76.5;490.3;122.58;470.7;117.68;428.25;107.06;1001.25;250.31;898.74;224.68;530.76;132.69;678.61;169.65;424.37;106.09;326.51;81.63;2857.69;2700.92;2990.12;3749;4;1;1;0.25
SFK;Angelofthebronx;4;3;75.00;934;233.5;2;0.5;3;0.75;0;0;8;2;24;6;7;1.75;1;0.25;25;332.9;55.74;7984;1996;5864;1466;2120;530;76;19;193;48.25;2219;554.75;1560;390;659;164.75;19;4.75;66;16.5;95.03;23.76;240.12;60.03;1378;344.5;1826;456.5;385;96.25;1511.7;1962699;490674.75;651.38;162.85;537.87;134.47;180.81;45.2;893.18;223.3;437.05;109.26;39.83;9.96;15.43;3.86;0.08;192;48;446.9;111.72;451.8;112.95;406.42;101.6;963.64;240.91;886.42;221.6;483.65;120.91;683.54;170.88;385.73;96.43;300.79;75.2;3390.48;3367.27;3433.42;4235.27;5;1.25;1;0.25
UTA;Anu.;4;3;75.00;1120;280;5;1.25;2;0.5;1;0.25;6;1.5;24;6;9;2.25;6;1.5;83.33;298.88;54.19;7538;1884.5;5467;1366.75;2071;517.75;75;18.75;165;41.25;1654;413.5;1190;297.5;464;116;19;4.75;42;10.5;89.48;22.37;228;57;591;147.75;1842;460.5;635;158.75;1422.14;1889029;472257.25;776.16;194.04;543.36;135.84;113.2;28.3;934.83;233.71;461.48;115.37;36.44;9.11;20.62;5.16;0.13;161;40.25;503.1;125.78;466;116.5;405.48;101.37;1027.27;256.82;958.39;239.6;474.36;118.59;701.22;175.3;459.96;114.99;271.55;67.89;3242.74;3243.68;3274.42;4093.39;4;1;2;0.5
SFK;Apicality.;4;3;75.00;1502;375.5;3;0.75;3;0.75;6;1.5;14;3.5;24;6;7;1.75;3;0.75;21.43;325.43;56.21;7835;1958.75;6200;1550;1635;408.75;88;22;149;37.25;2096;524;1568;392;528;132;20;5;45;11.25;64.22;16.06;388.01;97;1630;407.5;2706;676.5;432;108;1601.47;2072732;518183;561.07;140.27;600.06;150.01;206.51;51.63;765.17;191.29;544.9;136.22;57.56;14.39;21.27;5.32;0.08;289;72.25;487.8;121.95;441.7;110.43;372.43;93.11;995.18;248.79;935.23;233.81;432.38;108.1;728.32;182.08;366.58;91.65;272.72;68.18;3338.68;3384.44;3326.53;4283.47;5;1.25;1;0.25
UTA;Appa;8;6;75.00;2828;353.5;6;0.75;6;0.75;7;0.88;30;3.75;31;3.88;11;1.38;3;0.38;20;339.06;49.74;15782;1972.75;10341;1292.62;5441;680.12;128;16;478;59.75;4879;609.88;2990;373.75;1889;236.12;35;4.38;162;20.25;237.32;29.67;236.4;29.55;1519;189.88;2489;311.12;515;64.38;1451.95;3868925;483615.62;1416.58;177.07;1112.25;139.03;273.31;34.16;1697.61;212.2;1024.09;128.01;80.4;10.05;87.77;10.97;0.09;990;123.75;851.6;106.45;945.1;118.14;807.78;100.97;1994.33;249.29;1611.24;201.4;1190.88;148.86;1210.92;151.36;808.54;101.07;782.67;97.83;2725.88;2590.02;2860.5;3576.56;7;0.88;4;0.5
LVT;AubreyE;9;6;66.67;3009;334.33;4;0.44;3;0.33;11;1.22;26;2.89;66;7.33;15;1.67;3;0.33;15.38;256.75;54.38;16245;1805;10371;1152.33;5874;652.67;153;17;513;57;3205;356.11;1529;169.89;1676;186.22;27;3;148;16.44;183.03;20.34;611.15;67.91;2398;266.44;5011;556.78;1180;131.11;1377.12;4741998;526888.69;2059.36;228.82;1332.18;148.02;215.32;23.92;2579.59;286.62;961.8;106.87;65.48;7.28;31.73;3.53;0.17;186;20.67;1138.1;126.46;1181.8;131.31;985.5;109.5;2621.38;291.26;2495.86;277.32;1110.97;123.44;1924.3;213.81;1039.11;115.46;643.46;71.5;2938.36;2882.53;2983.5;3648.89;4;0.44;9;1
