team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
21BXST & Fly n' Puff & KoolBeanz929;21BXST;1;1;100.00;397;397;2;2;0;0;1;1;3;3;6;6;1;1;0;0;66.67;243;46.51;1413;1413;730;730;683;683;9;9;63;63;230;230;165;165;65;65;2;2;7;7;24.34;24.34;41.96;41.96;106;106;190;190;34;34;1432;466347;466347;195.19;195.19;114.55;114.55;38.52;38.52;213.79;213.79;128.17;128.17;6.3;6.3;8.55;8.55;0.11;78;78;110.9;110.9;94.3;94.3;99.23;99.23;249.03;249.03;262.93;262.93;85.34;85.34;213.52;213.52;91.09;91.09;43.65;43.65;2641;2899;2363;3525;1;1;2;2
HURRICANES;AP Twundle;5;1;20.00;2951;590.2;6;1.2;3;0.6;17;3.4;13;2.6;45;9;13;2.6;9;1.8;46.15;450.72;47.88;13167;2633.4;9638;1927.6;3529;705.8;118;23.6;297;59.4;2609;521.8;1772;354.4;837;167.4;22;4.4;76;15.2;215.98;43.2;185.07;37.01;2003;400.6;2096;419.2;432;86.4;1495.23;2441340;488268;813.06;162.61;666.49;133.3;258.06;51.61;1026.79;205.36;664.54;132.91;46.29;9.26;31.98;6.4;0.14;239;47.8;929.9;185.98;760;152;422.2;84.44;1315.42;263.08;1208.17;241.63;529.44;105.89;906.96;181.39;551.39;110.28;279.25;55.85;2597.92;2398.11;2819.11;3440.84;4;0.8;4;0.8
Guyapino & FOX | Americas F1nest & Mr. Mike Mike;AVI | Mercury;3;1;33.33;1670;556.67;6;2;2;0.67;3;1;12;4;23;7.67;12;4;4;1.33;50;380.06;48.75;7244;2414.67;5347;1782.33;1897;632.33;64;21.33;175;58.33;2248;749.33;1532;510.67;716;238.67;19;6.33;67;22.33;124.1;41.37;93.76;31.25;425;141.67;761;253.67;163;54.33;1477.99;1525709;508569.66;564.8;188.27;436.94;145.65;131.35;43.78;636.38;212.13;473.78;157.93;22.94;7.65;39.3;13.1;0.11;364;121.33;560.4;186.8;511.1;170.37;291.88;97.29;841.2;280.4;721.17;240.39;411.93;137.31;550.14;183.38;332.66;110.89;250.28;83.43;2535.43;2343.37;2721.63;3348.1;2;0.67;0;0
Guyapino & FOX | Americas F1nest & Mr. Mike Mike;Alvin15k;11;7;63.64;5881;534.64;21;1.91;3;0.27;19;1.73;42;3.82;71;6.45;26;2.36;13;1.18;50;305.36;57.34;21747;1977;15373;1397.55;6374;579.45;223;20.27;559;50.82;4565;415;2618;238;1947;177;40;3.64;172;15.64;292.8;26.62;754.67;68.61;3005;273.18;7220;656.36;1425;129.55;1453.76;5600636;509148.72;2067.47;187.95;1710.15;155.47;344.54;31.32;2675.57;243.23;1389.9;126.35;56.7;5.15;48.44;4.4;0.18;278;25.27;1959.9;178.17;1698.6;154.42;1029.32;93.57;3092.85;281.17;2663.79;242.16;1458.39;132.58;2004.69;182.24;1246.41;113.31;871.08;79.19;2972.52;2893.73;3051.26;3661.81;5;0.45;2;0.18
WIZ;Astarte;9;0;0.00;2250;250;3;0.33;6;0.67;3;0.33;15;1.67;90;10;66;7.33;27;3;20;345.48;53.34;21276;2364;16883;1875.89;4393;488.11;216;24;403;44.78;3996;444;2604;289.33;1392;154.67;33;3.67;123;13.67;387.31;43.03;517.57;57.51;1688;187.56;4380;486.67;696;77.33;1483.92;4628141;514237.88;1727.36;191.93;1424.35;158.26;306.81;34.09;2207.88;245.32;1139.38;126.6;111.31;12.37;57.02;6.34;0.17;331;36.78;1611.1;179.01;1667.7;185.3;1126.62;125.18;2331.95;259.11;2309.81;256.65;1148.74;127.64;1739.06;193.23;1119.77;124.42;599.71;66.63;2940.62;2655.76;3157.76;3888.68;6;0.67;0;0
Guyapino & FOX | Americas F1nest & Mr. Mike Mike;Azzy;6;2;33.33;2671;445.17;10;1.67;2;0.33;6;1;20;3.33;50;8.33;30;5;16;2.67;50;418.52;52.07;16351;2725.17;13051;2175.17;3300;550;171;28.5;245;40.83;2719;453.17;1780;296.67;939;156.5;23;3.83;76;12.67;244.39;40.73;382.93;63.82;1856;309.33;3615;602.5;349;58.17;1599.74;3397375;566229.19;947.96;157.99;1067.72;177.95;315.2;52.53;1358.58;226.43;910.16;151.69;62.13;10.35;38.97;6.5;0.11;368;61.33;1230;205;1033;172.17;639.14;106.52;1691.72;281.95;1553.73;258.95;777.13;129.52;1208.88;201.48;659.92;109.99;462.07;77.01;2882.3;2726.25;3015.85;3564.08;1;0.17;3;0.5
Guyapino & FOX | Americas F1nest & Mr. Mike Mike;B.D.L.;6;6;100.00;3556;592.67;14;2.33;6;1;8;1.33;34;5.67;48;8;18;3;4;0.67;41.18;397.47;51;14730;2455;10828;1804.67;3902;650.33;134;22.33;330;55;3414;569;1626;271;1788;298;24;4;160;26.67;274.79;45.8;195.98;32.66;1184;197.33;2658;443;806;134.33;1393.8;2973862;495643.66;1269.73;211.62;883.76;147.29;189.69;31.61;1477.48;246.25;808.63;134.77;57.1;9.52;29.67;4.94;0.11;281;46.83;1032.4;172.07;1148.1;191.35;556.29;92.72;1786.91;297.82;1378.83;229.81;964.37;160.73;1035.81;172.64;716.26;119.38;591.1;98.52;2736.14;2619.63;2858.75;3614.36;4;0.67;4;0.67
Blankdrop & Goku;Blankdrop;1;1;100.00;394;394;2;2;0;0;0;0;1;1;4;4;3;3;1;1;200;317;47.02;2195;2195;1746;1746;449;449;20;20;41;41;324;324;156;156;168;168;2;2;14;14;48.67;48.67;59.97;59.97;45;45;280;280;43;43;1294;492832;492832;253.8;253.8;136.53;136.53;20.97;20.97;236.16;236.16;156.96;156.96;18.19;18.19;10.24;10.24;0.14;72;72;200.4;200.4;185.8;185.8;100.78;100.78;310.52;310.52;271.07;271.07;140.24;140.24;203.46;203.46;140.37;140.37;67.48;67.48;2778;2717;2777;3692;0;0;0;0
PatzQual & Boost Almighty;Boost Almighty;1;0;0.00;718;718;2;2;0;0;2;2;6;6;12;12;4;4;4;4;33.33;371;49.53;3105;3105;1856;1856;1249;1249;27;27;109;109;971;971;579;579;392;392;7;7;33;33;39.74;39.74;79.05;79.05;572;572;798;798;120;120;1476;760255;760255;256.32;256.32;220.11;220.11;69.51;69.51;361.15;361.15;178.38;178.38;6.41;6.41;11.18;11.18;0.11;103;103;270.2;270.2;251.2;251.2;149.9;149.9;396.04;396.04;351.94;351.94;193.99;193.99;276.48;276.48;144.8;144.8;124.65;124.65;2695;2389;2932;3736;0;0;0;0
WOL;CursingDuck;20;4;20.00;4276;213.8;12;0.6;4;0.2;8;0.4;28;1.4;152;7.6;60;3;18;0.9;42.86;312.16;54.9;39045;1952.25;30499;1524.95;8546;427.3;404;20.2;753;37.65;4843;242.15;2696;134.8;2147;107.35;48;2.4;193;9.65;514.08;25.7;1176.4;58.82;4534;226.7;10048;502.4;2104;105.2;1454.31;9716300;485815;3646.28;182.31;2667.79;133.39;777.57;38.88;4167.3;208.37;2600.99;130.05;323.35;16.17;152.17;7.61;0.1;1549;77.45;2138.6;106.93;2563.8;128.19;2132.63;106.63;4959.02;247.95;4933.42;246.67;2158.22;107.91;3760.4;188.02;2109.45;105.47;1221.76;61.09;2967.52;2765.48;3167.57;3686.91;20;1;8;0.4
