team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
$$$ & lorh. & suxlk;$$$;1;1;100.00;184;184;0;0;0;0;1;1;2;2;7;7;1;1;1;1;0;434;55.9;2401;2401;2028;2028;373;373;24;24;34;34;657;657;561;561;96;96;7;7;9;9;24.42;24.42;48.31;48.31;225;225;391;391;149;149;1460;458189;458189;163.73;163.73;125.25;125.25;39.39;39.39;174.34;174.34;135.21;135.21;18.81;18.81;2.67;2.67;0.18;15;15;103.1;103.1;119.1;119.1;83.62;83.62;244.75;244.75;218.9;218.9;109.47;109.47;174.83;174.83;96.15;96.15;57.39;57.39;2553;2418;2744;3245;1;1;2;2
& Emank;& Emank;1;1;100.00;1409;1409;8;8;0;0;3;3;12;12;10;10;7;7;7;7;66.67;451;35.62;2788;2788;1948;1948;840;840;21;21;69;69;480;480;200;200;280;280;2;2;25;25;81.93;81.93;30.28;30.28;344;344;151;151;0;0;1571;596294;596294;205.21;205.21;156.16;156.16;79.12;79.12;209.03;209.03;189.8;189.8;41.64;41.64;7.69;7.69;0.13;61;61;386.2;386.2;386.2;386.2;106.59;106.59;333.89;333.89;263;263;177.48;177.48;173.21;173.21;154.59;154.59;112.67;112.67;1708;1458;1991;0;3;3;1;1
*' Spunz & OctaneLover1738 & one itchy ho ho;*' Spunz;2;1;50.00;724;362;2;1;1;0.5;3;1.5;6;3;14;7;3;1.5;1;0.5;33.33;282.8;56.84;2229;1114.5;1564;782;665;332.5;20;10;61;30.5;413;206.5;253;126.5;160;80;4;2;14;7;24.45;12.23;70.97;35.49;79;39.5;493;246.5;151;75.5;1450.12;623158;311579;253.66;126.83;161.85;80.93;44.79;22.4;249.57;124.79;188.22;94.11;22.52;11.26;6.54;3.27;0.15;45;22.5;161.8;80.9;130.7;65.35;110.12;55.06;350.19;175.1;326.93;163.46;133.38;66.69;242.53;121.26;149.08;74.54;68.7;34.35;2941.34;2840.72;2908.83;3608.25;0;0;0;0
******** & Loazyy;********;1;1;100.00;611;611;0;0;3;3;3;3;5;5;6;6;2;2;2;2;0;392;54.11;2301;2301;1780;1780;521;521;20;20;47;47;601;601;463;463;138;138;6;6;12;12;29.26;29.26;68.84;68.84;337;337;241;241;136;136;1498;498921;498921;182.61;182.61;132.91;132.91;43.69;43.69;205.89;205.89;131.2;131.2;22.12;22.12;8.8;8.8;0.13;69;69;147.1;147.1;191.3;191.3;113.5;113.5;245.72;245.72;218.41;218.41;140.8;140.8;172.98;172.98;93.7;93.7;92.53;92.53;2494;2423;2600;3328;0;0;0;0
********** & WM_55 & Zeorxii;**********;3;1;33.33;1876;625.33;8;2.67;1;0.33;3;1;18;6;24;8;9;3;4;1.33;44.44;368.09;50.94;6338;2112.67;4922;1640.67;1416;472;61;20.33;124;41.33;1124;374.67;630;210;494;164.67;8;2.67;43;14.33;100.42;33.47;188.15;62.72;700;233.33;1141;380.33;171;57;1468.51;1463634;487878;538.1;179.37;440.38;146.79;99.29;33.1;640.32;213.44;375.21;125.07;62.26;20.75;21.2;7.07;0.16;142;47.33;467.4;155.8;440.3;146.77;291.43;97.14;786.35;262.12;749.38;249.79;328.39;109.46;564.76;188.25;337.66;112.55;175.35;58.45;2755.44;2676.94;2858.4;3506.96;1;0.33;3;1
*********** & Sluggy & Dinge.;***********;2;1;50.00;1412;706;5;2.5;2;1;5;2.5;8;4;21;10.5;10;5;5;2.5;62.5;388.56;50.55;5036;2518;3842;1921;1194;597;43;21.5;107;53.5;655;327.5;392;196;263;131.5;4;2;25;12.5;95.29;47.64;86;43;764;382;522;261;23;11.5;1438.38;1001195;500597.5;410.76;205.38;286.74;143.37;75.43;37.72;445.81;222.9;290.8;145.4;36.33;18.17;13.2;6.6;0.12;119;59.5;406.6;203.3;313.5;156.75;179.14;89.57;593.79;296.9;564.12;282.06;208.71;104.35;451.75;225.88;215.78;107.89;105.41;52.71;2723.65;2728.35;2732.24;3320.14;0;0;1;0.5
************ & II-LRog-II & Irina_ZER0;************;3;2;66.67;901;300.33;3;1;1;0.33;1;0.33;10;3.33;15;5;4;1.33;1;0.33;30;261.85;51.89;4588;1529.33;2580;860;2008;669.33;33;11;161;53.67;1602;534;877;292.33;725;241.67;12;4;56;18.67;71.42;23.81;175.33;58.44;449;149.67;741;247;328;109.33;1395.49;1324003;441334.34;594.59;198.2;333.86;111.29;76.98;25.66;681.92;227.31;308.73;102.91;14.8;4.93;21.35;7.12;0.17;126;42;307.1;102.37;330.3;110.1;319.64;106.55;685.8;228.6;621.67;207.22;383.76;127.92;462.96;154.32;302.83;100.94;239.64;79.88;2905.3;2736.54;3095.28;3613.85;0;0;2;0.67
Darth_Neuro & ccbiggss & *************;*************;2;2;100.00;756;378;4;2;1;0.5;1;0.5;6;3;15;7.5;4;2;1;0.5;66.67;336.51;51.28;3766;1883;2892;1446;874;437;32;16;77;38.5;782;391;493;246.5;289;144.5;5;2.5;25;12.5;74.8;37.4;131.07;65.54;258;129;310;155;7;3.5;1456.1;957631;478815.5;380.21;190.1;241.71;120.85;84.54;42.27;416.79;208.4;261.52;130.76;28.15;14.07;12.58;6.29;0.18;69;34.5;203.1;101.55;241.4;120.7;203.65;101.82;502.8;251.4;479.3;239.65;227.16;113.58;357.32;178.66;212.29;106.15;136.84;68.42;3187.16;2945.15;3445.3;3481.12;0;0;2;1
xXDanilo93Xx & *************** & Levos_-;***************;1;0;0.00;410;410;1;1;1;1;1;1;0;0;14;14;4;4;0;0;0;309;49.49;2336;2336;1910;1910;426;426;24;24;38;38;824;824;650;650;174;174;8;8;16;16;47.54;47.54;52.54;52.54;234;234;422;422;76;76;1401;561323;561323;229.74;229.74;162.14;162.14;41.65;41.65;259.11;259.11;161.93;161.93;12.5;12.5;2.04;2.04;0.19;11;11;108.9;108.9;170.8;170.8;178.37;178.37;255.16;255.16;261.81;261.81;171.72;171.72;210.21;210.21;115.05;115.05;108.28;108.28;2495;2172;2821;3273;0;0;2;2
**************** & ElTiradorDeHumo_ & gtrot24;****************;1;0;0.00;120;120;0;0;0;0;0;0;1;1;8;8;5;5;1;1;0;309;48.14;1710;1710;1154;1154;556;556;14;14;42;42;268;268;190;190;78;78;3;3;7;7;40.71;40.71;43.4;43.4;161;161;256;256;109;109;1477;419998;419998;152.55;152.55;122.09;122.09;30.85;30.85;190.97;190.97;105.87;105.87;8.64;8.64;2.11;2.11;0.18;12;12;103.7;103.7;99.8;99.8;103.56;103.56;201.92;201.92;204.24;204.24;101.25;101.25;154.24;154.24;94;94;57.25;57.25;2605;2545;2647;3246;0;0;1;1
