team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
SHADOW;"  K.";10;2;20.00;2672;267.2;6;0.6;0;0;14;1.4;22;2.2;74;7.4;20;2;6;0.6;27.27;348.45;49.58;19916;1991.6;12554;1255.4;7362;736.2;156;15.6;648;64.8;4578;457.8;2656;265.6;1922;192.2;30;3;168;16.8;386.75;38.67;248.53;24.85;2172;217.2;3232;323.2;356;35.6;1434.71;4896761;489676.09;1789.58;178.96;1526.98;152.7;261.13;26.11;2382.4;238.24;1096.57;109.66;98.75;9.88;68.56;6.86;0.1;663;66.3;1045.9;104.59;1197.3;119.73;1048.71;104.87;2529.01;252.9;2287.48;228.75;1290.21;129.02;1718.18;171.82;1123.25;112.32;736.25;73.62;2857.59;2750.38;2946.73;3731.17;8;0.8;10;1
"  Kd0. & ShelbyCyan & bio.";"  Kd0.";3;0;0.00;878;292.67;2;0.67;1;0.33;4;1.33;7;2.33;29;9.67;12;4;5;1.67;28.57;365.66;51.6;6298;2099.33;3887;1295.67;2411;803.67;48;16;173;57.67;1055;351.67;457;152.33;598;199.33;6;2;46;15.33;119.45;39.82;102.49;34.16;514;171.33;891;297;148;49.33;1422.33;1444315;481438.34;575.44;191.81;413.95;137.98;96.56;32.19;677.35;225.78;384.57;128.19;24.02;8.01;14.94;4.98;0.11;140;46.67;303.5;101.17;354;118;348.09;116.03;737.86;245.95;721.16;240.39;364.78;121.59;557.47;185.82;301.51;100.5;226.96;75.65;2876.5;2904.07;2852.62;3824.37;5;1.67;1;0.33
Knight Doc Wolfe & Dogerino & cozyboy;3PuttToSaveBogey;3;0;0.00;918;306;0;0;2;0.67;5;1.67;5;1.67;30;10;18;6;11;3.67;0;312.54;46.76;5706;1902;3049;1016.33;2657;885.67;39;13;226;75.33;2000;666.67;1031;343.67;969;323;13;4.33;78;26;83.61;27.87;76.35;25.45;410;136.67;892;297.33;279;93;1426.54;1455732;485244;602.96;200.99;402.64;134.21;107.87;35.96;641.22;213.74;431.76;143.92;40.49;13.5;20.91;6.97;0.14;147;49;533.4;177.8;522.9;174.3;318.37;106.12;795.1;265.03;726.65;242.22;386.82;128.94;539.92;179.97;342.07;114.02;231.48;77.16;2567.82;2466.84;2631.93;3463.07;2;0.67;1;0.33
Knight Doc Wolfe & Dogerino & cozyboy;?;3;2;66.67;1707;569;7;2.33;2;0.67;2;0.67;15;5;17;5.67;8;2.67;4;1.33;46.67;517.16;45.06;8568;2856;6600;2200;1968;656;76;25.33;182;60.67;1917;639;1311;437;606;202;15;5;55;18.33;226.09;75.36;92.54;30.85;1221;407;722;240.67;139;46.33;1580.81;1589228;529742.69;448.08;149.36;468.33;156.11;164.27;54.76;610.14;203.38;409.86;136.62;60.7;20.23;24.79;8.26;0.14;183;61;517.4;172.47;527.1;175.7;308.04;102.68;772.66;257.55;649.28;216.43;431.41;143.8;469.23;156.41;324.57;108.19;286.9;95.63;2138.7;1864.63;2416.67;3005.02;4;1.33;4;1.33
Knight Doc Wolfe & Dogerino & cozyboy;AptFox;5;2;40.00;1857;371.4;4;0.8;7;1.4;5;1;11;2.2;32;6.4;10;2;2;0.4;36.36;360.15;55.29;11089;2217.8;6610;1322;4479;895.8;88;17.6;388;77.6;2448;489.6;1175;235;1273;254.6;14;2.8;115;23;131.34;26.27;138.75;27.75;787;157.4;1788;357.6;119;23.8;1563.65;2612782;522556.41;776.85;155.37;784.01;156.8;223.07;44.61;1112.23;222.45;611.33;122.27;60.36;12.07;48.06;9.61;0.13;382;76.4;662.4;132.48;512.2;102.44;455.44;91.09;1328.5;265.7;1087.6;217.52;696.33;139.27;810.12;162.02;542.12;108.42;431.68;86.34;3043.72;3001.81;3100.52;3838.7;6;1.2;5;1
Knight Doc Wolfe & Dogerino & cozyboy;Array;3;2;66.67;626;208.67;2;0.67;0;0;2;0.67;4;1.33;18;6;6;2;3;1;50;387.48;49.3;6782;2260.67;4943;1647.67;1839;613;60;20;156;52;1048;349.33;677;225.67;371;123.67;8;2.67;34;11.33;164.8;54.93;146.62;48.87;1241;413.67;1132;377.33;147;49;1516.12;1505706;501902;449.15;149.72;483.65;161.22;120.96;40.32;651.56;217.19;369.74;123.25;32.48;10.83;7;2.33;0.13;54;18;380.8;126.93;344.9;114.97;320.01;106.67;733.75;244.58;709.13;236.38;344.63;114.88;539.14;179.71;313.07;104.36;201.55;67.18;3336.91;3495.01;3214.3;3891.93;4;1.33;3;1
Knight Doc Wolfe & Dogerino & cozyboy;Azstrelix;5;3;60.00;1872;374.4;3;0.6;3;0.6;9;1.8;10;2;37;7.4;8;1.6;2;0.4;30;397.03;52.57;11767;2353.4;8019;1603.8;3748;749.6;102;20.4;292;58.4;3037;607.4;1624;324.8;1413;282.6;20;4;100;20;149.4;29.88;284.61;56.92;2518;503.6;2114;422.8;252;50.4;1554.95;2577184;515436.81;737.01;147.4;757.44;151.49;247.73;49.55;1067.96;213.59;606.73;121.35;67.48;13.5;16.19;3.24;0.12;129;25.8;493.7;98.74;666.3;133.26;519.11;103.82;1223.06;244.61;1083.09;216.62;659.1;131.82;798.98;159.8;539.64;107.93;403.55;80.71;2811.62;2698.33;2951.95;3977.4;6;1.2;6;1.2
Knight Doc Wolfe & Dogerino & cozyboy;B++;3;3;100.00;1300;433.33;4;1.33;1;0.33;6;2;9;3;17;5.67;3;1;3;1;44.44;325.38;46;5340;1780;3027;1009;2313;771;38;12.67;197;65.67;1070;356.67;592;197.33;478;159.33;8;2.67;41;13.67;88.47;29.49;68.38;22.79;341;113.67;810;270;208;69.33;1416.49;1388532;462844;560.03;186.68;373.55;124.52;102.08;34.03;610.9;203.63;384.17;128.06;40.58;13.53;17.06;5.69;0.16;105;35;362.2;120.73;318.8;106.27;252.17;84.06;783.48;261.16;728.09;242.7;307.57;102.52;537.95;179.32;323.7;107.9;173.99;58;3001.2;2961.54;3035.67;3728.26;2;0.67;2;0.67
Knight Doc Wolfe & Dogerino & cozyboy;B33J;6;4;66.67;3282;547;11;1.83;7;1.17;12;2;18;3;39;6.5;17;2.83;12;2;61.11;464.35;50.28;16743;2790.5;13567;2261.17;3176;529.33;168;28;287;47.83;3909;651.5;2723;453.83;1186;197.67;36;6;105;17.5;252.05;42.01;370.22;61.7;2421;403.5;3340;556.67;880;146.67;1503.24;3064004;510667.34;1033.5;172.25;906.75;151.12;273.46;45.58;1349.69;224.95;755.52;125.92;108.51;18.09;30.44;5.07;0.13;225;37.5;1106.8;184.47;1017.6;169.6;638.91;106.48;1574.79;262.46;1391.68;231.95;822;137;1017.21;169.54;719.19;119.86;477.31;79.55;2680.85;2531.54;2804.77;3762.11;8;1.33;9;1.5
Knight Doc Wolfe & Dogerino & cozyboy;BLKL4ZR.;3;3;100.00;2145;715;6;2;5;1.67;6;2;15;5;19;6.33;4;1.33;1;0.33;40;412.28;56.11;7730;2576.67;6116;2038.67;1614;538;80;26.67;148;49.33;1585;528.33;1173;391;412;137.33;14;4.67;39;13;85.44;28.48;133.11;44.37;1091;363.67;1840;613.33;136;45.33;1544.67;1573043;524347.69;482.44;160.81;451.25;150.42;151.22;50.41;591.07;197.02;453.49;151.16;40.37;13.46;20.91;6.97;0.09;225;75;511.2;170.4;538.3;179.43;259.02;86.34;825.9;275.3;724.06;241.35;360.87;120.29;560.16;186.72;311.57;103.86;213.19;71.06;2296.2;1984.27;2663.09;3413.49;0;0;0;0
