team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
andrew & ! Xavi & Luxxiid_;! Xavi;1;0;0.00;319;319;0;0;1;1;2;2;1;1;7;7;2;2;0;0;0;383;49.83;2041;2041;1325;1325;716;716;14;14;64;64;301;301;75;75;226;226;1;1;20;20;32.41;32.41;25.44;25.44;154;154;105;105;28;28;1530;491412;491412;144.68;144.68;149.62;149.62;42.52;42.52;188.22;188.22;132.14;132.14;16.45;16.45;5.53;5.53;0.13;44;44;101.1;101.1;111.3;111.3;108.19;108.19;228.63;228.63;202.01;202.01;134.81;134.81;153.69;153.69;100.26;100.26;82.87;82.87;2854;2814;2906;3472;1;1;2;2
MoogieeWara & Nanjai12 & && 3bD &&;&& 3bD &&;1;1;100.00;356;356;1;1;1;1;1;1;3;3;4;4;0;0;0;0;33.33;388;57.86;1936;1936;1486;1486;450;450;19;19;44;44;410;410;287;287;123;123;4;4;14;14;21.67;21.67;31.72;31.72;242;242;453;453;126;126;1557;430455;430455;117.94;117.94;131.6;131.6;38.41;38.41;169.37;169.37;113.75;113.75;4.83;4.83;5.25;5.25;0.1;53;53;111.5;111.5;84.4;84.4;62.15;62.15;225.8;225.8;161.25;161.25;126.7;126.7;118.94;118.94;90.08;90.08;78.93;78.93;2993;2781;3121;3409;0;0;1;1
&aidn& & Babo & F1rst Try;&aidn&;1;1;100.00;236;236;0;0;1;1;0;0;1;1;8;8;0;0;0;0;0;495;52.33;2563;2563;2107;2107;456;456;27;27;43;43;827;827;650;650;177;177;7;7;18;18;31.74;31.74;48.04;48.04;474;474;590;590;49;49;1621;499358;499358;122.1;122.1;116.25;116.25;77.25;77.25;131.92;131.92;162.28;162.28;21.39;21.39;3.35;3.35;0.08;43;43;77.2;77.2;154.5;154.5;113.99;113.99;201.61;201.61;183.79;183.79;131.81;131.81;143.7;143.7;81.22;81.22;90.68;90.68;2762;2508;3101;3977;1;1;0;0
'Dani0 & The_Apex_Tiger;'Dani0;1;1;100.00;451;451;2;2;0;0;1;1;3;3;1;1;0;0;0;0;66.67;400;50.99;1562;1562;1150;1150;412;412;15;15;34;34;521;521;405;405;116;116;6;6;12;12;12.25;12.25;30.71;30.71;149;149;358;358;202;202;1601;379720;379720;109.25;109.25;82.49;82.49;61.16;61.16;121.2;121.2;125.4;125.4;6.31;6.31;3.25;3.25;0.07;44;44;119.4;119.4;129.9;129.9;62.13;62.13;190.78;190.78;127.58;127.58;125.33;125.33;94.53;94.53;75.94;75.94;82.44;82.44;2660;2553;2829;3089;1;1;2;2
So Sweaty & ********** & Jay_savage1289;**********;2;2;100.00;724;362;4;2;0;0;0;0;6;3;8;4;6;3;2;1;66.67;294;50.6;3094;1547;1992;996;1102;551;26;13;97;48.5;544;272;282;141;262;131;4;2;22;11;29.36;14.68;54.78;27.39;132;66;612;306;116;58;1453.5;841721;420860.5;327.7;163.85;268.62;134.31;42.16;21.08;381.69;190.85;244.11;122.06;12.68;6.34;10.99;5.49;0.12;89;44.5;202.3;101.15;213.9;106.95;157.66;78.83;480.82;240.41;460.14;230.07;178.34;89.17;345.83;172.92;199.78;99.89;92.87;46.43;2946;3007.5;2932;3683.5;0;0;0;0
. & yezoph & yo0kXgL0B00;.;1;1;100.00;378;378;0;0;2;2;2;2;4;4;7;7;2;2;1;1;0;335;55.24;2053;2053;1473;1473;580;580;18;18;58;58;304;304;74;74;230;230;1;1;20;20;34.56;34.56;45.4;45.4;117;117;342;342;34;34;1590;525229;525229;156.93;156.93;134.91;134.91;61.45;61.45;191.35;191.35;146.68;146.68;15.25;15.25;8.02;8.02;0.17;46;46;117.7;117.7;116.4;116.4;100.71;100.71;252.58;252.58;172.17;172.17;181.11;181.11;123.31;123.31;117.17;117.17;112.8;112.8;2931;2628;3348;3652;0;0;0;0
jdango & .exe & FruityP.;.exe;1;0;0.00;312;312;1;1;0;0;1;1;3;3;8;8;4;4;1;1;33.33;403;49.42;2505;2505;1790;1790;715;715;24;24;64;64;608;608;405;405;203;203;5;5;18;18;34.95;34.95;34.91;34.91;248;248;538;538;94;94;1571;530708;530708;171.22;171.22;130.78;130.78;65.74;65.74;200.31;200.31;156.64;156.64;10.8;10.8;8.37;8.37;0.12;67;67;130.9;130.9;118.8;118.8;101.8;101.8;265.95;265.95;250.22;250.22;117.53;117.53;187.88;187.88;108.1;108.1;71.76;71.76;3201;3059;3382;3780;2;2;0;0
Knight Doc Wolfe & theevilisback & BoltiniRome;0rg(a)zm0;1;1;100.00;259;259;0;0;0;0;3;3;0;0;6;6;0;0;0;0;0;290;41.75;1175;1175;825;825;350;350;9;9;31;31;190;190;100;100;90;90;1;1;9;9;39.04;39.04;37.73;37.73;87;87;76;76;0;0;1506;380909;380909;130.43;130.43;105.42;105.42;28.68;28.68;152.18;152.18;105.15;105.15;7.2;7.2;2.75;2.75;0.14;19;19;87.7;87.7;97.3;97.3;77.89;77.89;186.64;186.64;187.36;187.36;77.17;77.17;137.69;137.69;81.21;81.21;45.64;45.64;3302;3220;3246;3833;0;0;1;1
somberr. & 100x Jota & ixFabz;100x Jota;1;1;100.00;220;220;1;1;1;1;0;0;4;4;2;2;0;0;0;0;25;396;51.82;1367;1367;1062;1062;305;305;12;12;28;28;423;423;258;258;165;165;3;3;15;15;32.66;32.66;11.97;11.97;275;275;146;146;41;41;1640;291361;291361;82.58;82.58;66.65;66.65;44.65;44.65;102.36;102.36;84.04;84.04;7.47;7.47;3.15;3.15;0.07;42;42;55.5;55.5;74.6;74.6;69.36;69.36;124.51;124.51;84.19;84.19;109.68;109.68;59.92;59.92;56.67;56.67;77.28;77.28;3085;2986;3184;3884;2;2;0;0
1SHMEAT1 & Corona_lymes & Sneaky Rafeki;1SHMEAT1;1;1;100.00;204;204;0;0;1;1;0;0;4;4;5;5;0;0;0;0;0;338;55.46;1857;1857;1121;1121;736;736;14;14;61;61;652;652;397;397;255;255;5;5;19;19;24.18;24.18;25.6;25.6;131;131;299;299;112;112;1528;493758;493758;149.87;149.87;153.93;153.93;35.43;35.43;197.61;197.61;120.23;120.23;21.39;21.39;8.13;8.13;0.11;74;74;109.5;109.5;120.1;120.1;108.86;108.86;230.37;230.37;211.21;211.21;128.02;128.02;166.93;166.93;97.46;97.46;74.84;74.84;3193;3002;3405;3852;3;3;0;0
