team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
DEN;.pr0ct0;5;3;60.00;1771;354.2;3;0.6;6;1.2;4;0.8;12;2.4;27;5.4;10;2;4;0.8;25;290.31;47.34;8414;1682.8;6264;1252.8;2150;430;79;15.8;187;37.4;1893;378.6;1405;281;488;97.6;17;3.4;43;8.6;154.47;30.89;213.7;42.74;604;120.8;1530;306;310;62;1391.55;2263502;452700.41;997.08;199.42;607.38;121.48;123.5;24.7;1017.15;203.43;650.4;130.08;60.4;12.08;34.24;6.85;0.09;367;73.4;552.4;110.48;544.8;108.96;450.97;90.19;1277.01;255.4;1111.87;222.37;616.11;123.22;793.91;158.78;557.67;111.53;376.4;75.28;2979.11;2939.11;3036.12;3728.03;2;0.4;3;0.6
SDA;0atz_z;5;3;60.00;1935;387;6;1.2;4;0.8;3;0.6;14;2.8;38;7.6;14;2.8;5;1;42.86;433.31;47.88;14152;2830.4;10401;2080.2;3751;750.2;120;24;332;66.4;3516;703.2;2145;429;1371;274.2;26;5.2;117;23.4;210.33;42.07;202.89;40.58;890;178;880;176;251;50.2;1571.68;2903670;580734;842.74;168.55;876.56;175.31;262.02;52.4;1098.06;219.61;771.35;154.27;111.92;22.38;62.94;12.59;0.11;593;118.6;579.1;115.82;670.1;134.02;625.77;125.15;1355.54;271.11;1218.14;243.63;763.17;152.63;863.58;172.72;670.15;134.03;447.6;89.52;2822.99;2675.7;2989.17;3880.22;9;1.8;5;1
SEA;5nuffless;4;1;25.00;1355;338.75;4;1;1;0.25;1;0.25;10;2.5;22;5.5;9;2.25;3;0.75;40;448.78;51.98;11652;2913;9067;2266.75;2585;646.25;106;26.5;233;58.25;2908;727;2061;515.25;847;211.75;23;5.75;72;18;180.78;45.19;179.37;44.84;1911;477.75;1614;403.5;239;59.75;1563.68;2406689;601672.25;668.6;167.15;730.75;182.69;216.73;54.18;970.91;242.73;563.8;140.95;81.38;20.34;31.33;7.83;0.15;214;53.5;528.8;132.2;531;132.75;481.36;120.34;1134.73;283.68;997.66;249.41;618.43;154.61;745.83;186.46;469.84;117.46;400.41;100.1;2947.96;2834.69;3085.91;3852.33;2;0.5;5;1.25
JERSEY;AKA Ghost 86;8;2;25.00;2403;300.38;5;0.62;5;0.62;7;0.88;21;2.62;68;8.5;28;3.5;3;0.38;23.81;361.71;51.03;17899;2237.38;12133;1516.62;5766;720.75;151;18.88;507;63.38;3313;414.12;1638;204.75;1675;209.38;20;2.5;146;18.25;253.13;31.64;275.63;34.45;2360;295;2378;297.25;221;27.62;1499.55;3999479;499934.88;1346.24;168.28;1158.1;144.76;350.77;43.85;1799.16;224.9;1013.49;126.69;42.49;5.31;48.85;6.11;0.14;375;46.88;968.4;121.05;1004.3;125.54;911.46;113.93;1943.66;242.96;1889.34;236.17;965.78;120.72;1385.84;173.23;910.98;113.87;558.31;69.79;2973.18;2876.61;3041.07;3716.87;2;0.25;14;1.75
SFK;ALPHA_D0GS_22;5;2;40.00;1365;273;2;0.4;1;0.2;5;1;14;2.8;36;7.2;11;2.2;7;1.4;14.29;309.04;49.65;10217;2043.4;5542;1108.4;4675;935;71;14.2;399;79.8;2477;495.4;1333;266.6;1144;228.8;17;3.4;99;19.8;199.77;39.95;158.03;31.61;662;132.4;1517;303.4;382;76.4;1375.51;2603990;520798;1070.5;214.1;808.18;161.64;114.16;22.83;1274.03;254.81;684.6;136.92;34.22;6.84;33.53;6.71;0.14;244;48.8;603.2;120.64;667.3;133.46;569.89;113.98;1422.96;284.59;1274.31;254.86;718.54;143.71;948.86;189.77;607.82;121.56;436.13;87.23;2864.15;2857.3;2872.01;3715.71;5;1;6;1.2
DAL;AchereonKing;4;1;25.00;1307;326.75;4;1;1;0.25;4;1;9;2.25;25;6.25;8;2;3;0.75;44.44;322.43;53.04;7633;1908.25;5117;1279.25;2516;629;62;15.5;217;54.25;1879;469.75;1291;322.75;588;147;16;4;52;13;117.15;29.29;246.74;61.69;318;79.5;1167;291.75;313;78.25;1408.49;1859167;464791.75;759.62;189.9;512.88;128.22;123.28;30.82;911.4;227.85;445.79;111.45;38.59;9.65;16.02;4.01;0.14;116;29;469.5;117.38;427.6;106.9;424.63;106.16;971.16;242.79;910.72;227.68;485.05;121.26;660.13;165.03;449.2;112.3;286.44;71.61;3192.34;3082.11;3344.88;3945.45;1;0.25;5;1.25
SFK;Aegisblitz;3;0;0.00;659;219.67;0;0;1;0.33;3;1;1;0.33;32;10.67;15;5;6;2;0;306.94;45.33;4956;1652;3039;1013;1917;639;39;13;168;56;1223;407.67;745;248.33;478;159.33;11;3.67;43;14.33;59.39;19.8;116.89;38.96;572;190.67;882;294;352;117.33;1379.11;1342793;447597.66;606.68;202.23;341.79;113.93;93.76;31.25;635.27;211.76;371.22;123.74;35.75;11.92;16.06;5.35;0.15;106;35.33;300.3;100.1;368.7;122.9;384.7;128.23;657.53;219.18;747.73;249.24;294.5;98.17;590.11;196.7;268.17;89.39;183.96;61.32;2674.59;2550.89;2780.09;3618.89;3;1;3;1
POR;Aflamingtruck;4;0;0.00;1169;292.25;3;0.75;0;0;6;1.5;7;1.75;35;8.75;16;4;4;1;42.86;411.66;50.72;10452;2613;7845;1961.25;2607;651.75;98;24.5;226;56.5;1858;464.5;1078;269.5;780;195;14;3.5;63;15.75;128.57;32.14;170.78;42.69;1967;491.75;1980;495;319;79.75;1640.41;2296958;574239.5;550.46;137.62;705.72;176.43;240.5;60.12;862.86;215.71;594.13;148.53;39.68;9.92;39.91;9.98;0.07;571;142.75;533.8;133.45;463.2;115.8;459.88;114.97;1036.79;259.2;1030.87;257.72;465.8;116.45;794.4;198.6;451.83;112.96;250.44;62.61;3027.9;3049.68;2971.48;3468.41;6;1.5;5;1.25
SEA;Aiku;4;1;25.00;983;245.75;1;0.25;2;0.5;2;0.5;5;1.25;22;5.5;9;2.25;2;0.5;20;392.3;49.59;10595;2648.75;6399;1599.75;4196;1049;75;18.75;365;91.25;3165;791.25;1818;454.5;1347;336.75;21;5.25;116;29;174.26;43.56;166.98;41.75;1819;454.75;1179;294.75;296;74;1481.69;2279607;569901.75;759.83;189.96;666.04;166.51;188.75;47.19;1046.37;261.59;543.95;135.99;24.29;6.07;44.24;11.06;0.12;374;93.5;461.3;115.32;523.2;130.8;533.94;133.49;1080.65;270.16;894.88;223.72;719.73;179.93;648.65;162.16;504.87;126.22;461.1;115.28;2604.93;2583.93;2638.11;3660.81;5;1.25;6;1.5
MONTREAL;AkTION;4;1;25.00;1161;290.25;1;0.25;2;0.5;7;1.75;8;2;32;8;14;3.5;3;0.75;12.5;364.06;53.52;8771;2192.75;5689;1422.25;3082;770.5;70;17.5;280;70;2123;530.75;1259;314.75;864;216;14;3.5;78;19.5;94.62;23.66;103.13;25.78;454;113.5;1381;345.25;174;43.5;1530.2;2007860;501965;608.34;152.08;644.95;161.24;154.15;38.54;899.76;224.94;466.47;116.62;41.18;10.3;33.16;8.29;0.1;336;84;459.4;114.85;474.3;118.57;406.15;101.54;1001.26;250.32;933.25;233.31;474.17;118.54;707.53;176.88;422.32;105.58;277.57;69.39;3201.84;3237.27;3150.37;3785.61;3;0.75;7;1.75
