team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
adamthetarget & ******* & Clark!;*******;1;1;100.00;805;805;4;4;1;1;1;1;8;8;5;5;1;1;0;0;50;345;58.71;2069;2069;1649;1649;420;420;22;22;40;40;682;682;525;525;157;157;8;8;17;17;28.77;28.77;67.33;67.33;143;143;580;580;298;298;1405;480762;480762;206.82;206.82;141.98;141.98;24.36;24.36;240.3;240.3;125.06;125.06;7.8;7.8;3.69;3.69;0.16;23;23;111;111;136.9;136.9;70.57;70.57;302.58;302.58;193.3;193.3;179.85;179.85;143.99;143.99;108.35;108.35;120.82;120.82;2801;2509;3265;3497;3;3;0;0
********** & Vaughnfitz13;**********;1;0;0.00;80;80;0;0;0;0;0;0;0;0;3;3;3;3;3;3;0;219;54.37;583;583;393;393;190;190;5;5;15;15;72;72;8;8;64;64;1;1;4;4;13.08;13.08;32.32;32.32;147;147;112;112;91;91;1308;164004;164004;86.73;86.73;45.45;45.45;5.52;5.52;92.46;92.46;43.37;43.37;1.87;1.87;0.53;0.53;0.09;6;6;60.4;60.4;72.2;72.2;53.81;53.81;83.88;83.88;113.41;113.41;24.28;24.28;89.43;89.43;39.2;39.2;9.07;9.07;2231;2507;2139;2709;0;0;1;1
Buckeroonies & Grimey;Buckeroonies;1;0;0.00;624;624;2;2;1;1;3;3;3;3;9;9;6;6;0;0;66.67;212;50.96;1399;1399;873;873;526;526;12;12;44;44;172;172;52;52;120;120;1;1;10;10;30.47;30.47;54.73;54.73;453;453;326;326;47;47;1262;438516;438516;264.75;264.75;103.88;103.88;19.62;19.62;280.85;280.85;103.85;103.85;3.55;3.55;9.3;9.3;0.44;21;21;222.6;222.6;136.6;136.6;77.74;77.74;310.51;310.51;271.13;271.13;117.12;117.12;193.06;193.06;137.9;137.9;57.3;57.3;2830;2849;2799;3161;0;0;0;0
COD-addict21 & Lukeiscool2197;COD-addict21;1;0;0.00;66;66;0;0;0;0;0;0;0;0;5;5;3;3;1;1;0;464;43.35;1656;1656;1416;1416;240;240;15;15;20;20;241;241;181;181;60;60;2;2;5;5;42.17;42.17;21.2;21.2;260;260;83;83;18;18;1352;267131;267131;113.29;113.29;75.85;75.85;20.42;20.42;112.17;112.17;94.85;94.85;2.54;2.54;2.49;2.49;0.19;13;13;98.6;98.6;100.5;100.5;75.99;75.99;133.57;133.57;133.27;133.27;76.29;76.29;97.72;97.72;73.79;73.79;38.05;38.05;2348;2425;2324;2704;0;0;1;1
Caeeeeeeeee & HBHavoc;Caeeeeeeeee;1;0;0.00;372;372;2;2;0;0;1;1;3;3;8;8;6;6;6;6;66.67;343;48.15;1928;1928;1336;1336;592;592;15;15;52;52;375;375;179;179;196;196;2;2;18;18;37.64;37.64;42.43;42.43;101;101;186;186;31;31;1388;470087;470087;212.68;212.68;141.98;141.98;21.56;21.56;224.44;224.44;147.44;147.44;4.34;4.34;2.53;2.53;0.28;9;9;193.4;193.4;159.5;159.5;105.26;105.26;270.96;270.96;230.27;230.27;145.95;145.95;175.67;175.67;121.2;121.2;79.35;79.35;3007;3027;3076;3279;0;0;1;1
adamthetarget & ******* & Clark!;Clark!;1;1;100.00;449;449;1;1;3;3;0;0;3;3;5;5;1;1;1;1;33.33;178;64.24;1368;1368;712;712;656;656;9;9;58;58;202;202;0;0;202;202;0;0;18;18;16.55;16.55;29.89;29.89;169;169;210;210;1;1;1403;481886;481886;227.65;227.65;117.81;117.81;27.7;27.7;249.51;249.51;121.32;121.32;2.33;2.33;2.71;2.71;0.13;21;21;134.1;134.1;105;105;62.13;62.13;311.02;311.02;193.21;193.21;179.94;179.94;144.38;144.38;113.71;113.71;115.06;115.06;3134;3141;3154;3513;0;0;0;0
TBS Bot7980 & CosmicQueen920 & Zenzen0607;CosmicQueen920;9;6;66.67;5853;650.33;32;3.56;1;0.11;8;0.89;42;4.67;52;5.78;32;3.56;17;1.89;76.19;326.76;49.03;16359;1817.67;10738;1193.11;5621;624.56;133;14.78;505;56.11;3350;372.22;1575;175;1775;197.22;22;2.44;160;17.78;184.73;20.53;274.79;30.53;967;107.44;2026;225.11;348;38.67;1455.91;3898722;433191.34;1516.71;168.52;1211.22;134.58;242.68;26.96;1965.6;218.4;923.32;102.59;81.71;9.08;86.68;9.63;0.11;769;85.44;1372.5;152.5;1358.5;150.94;750.58;83.4;2220.06;246.67;1906.57;211.84;1064.04;118.23;1493.47;165.94;795.72;88.41;681.42;75.71;2655.54;2522.56;2799.34;3512.84;10;1.11;4;0.44
Denrenp30 & Pinky & Smort;Denrenp30;1;0;0.00;483;483;1;1;0;0;2;2;3;3;7;7;3;3;1;1;33.33;246;52.44;1428;1428;1065;1065;363;363;14;14;29;29;269;269;100;100;169;169;1;1;12;12;33.64;33.64;53.3;53.3;351;351;356;356;10;10;1320;427660;427660;209.82;209.82;106.12;106.12;22;22;217.03;217.03;113.07;113.07;7.83;7.83;0.91;0.91;0.91;1;1;116.2;116.2;168.2;168.2;136.36;136.36;201.58;201.58;202.28;202.28;135.65;135.65;152.67;152.67;89.58;89.58;95.69;95.69;1986;1933;2039;2884;0;0;0;0
Glitch2TUFF & Kryptonic Plague & Mercury;DubiousDugger;1;0;0.00;284;284;0;0;0;0;0;0;1;1;11;11;5;5;2;2;0;201;63.84;1268;1268;740;740;528;528;12;12;48;48;374;374;254;254;120;120;4;4;11;11;17.4;17.4;48.65;48.65;96;96;364;364;105;105;1400;450947;450947;182.64;182.64;150.27;150.27;19.59;19.59;196.54;196.54;144.39;144.39;11.57;11.57;3.71;3.71;0.09;41;41;144.2;144.2;106.2;106.2;110.39;110.39;242.11;242.11;244.42;244.42;108.08;108.08;196.89;196.89;87.12;87.12;68.49;68.49;2798;2260;3236;3635;0;0;0;0
FutureCorpse857 & Emirr0908 & EuroSL;Emirr0908;1;1;100.00;390;390;1;1;1;1;1;1;4;4;5;5;2;2;1;1;25;171;54.21;1137;1137;594;594;543;543;8;8;40;40;71;71;0;0;71;71;0;0;6;6;16.87;16.87;74.76;74.76;161;161;218;218;0;0;1134;383695;383695;282.64;282.64;73.88;73.88;13.67;13.67;275.23;275.23;91.59;91.59;3.37;3.37;7.45;7.45;0.13;57;57;135.4;135.4;79.8;79.8;65.49;65.49;304.7;304.7;288.47;288.47;81.72;81.72;226.29;226.29;105.26;105.26;38.64;38.64;2786;2752;2841;2801;0;0;0;0
