team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Mercury & mercury & Prince;3 Week Old Grape Capri Sun;3;2;66.67;2062;687.33;10;3.33;2;0.67;2;0.67;17;5.67;15;5;10;3.33;4;1.33;58.82;350.72;49.13;6722;2240.67;4880;1626.67;1842;614;59;19.67;166;55.33;2162;720.67;1392;464;770;256.67;18;6;68;22.67;115.89;38.63;79.93;26.64;275;91.67;781;260.33;280;93.33;1510.98;1581755;527251.69;537.95;179.32;512.55;170.85;104.97;34.99;651.9;217.3;447.58;149.19;55.97;18.66;9.98;3.33;0.1;96;32;526.1;175.37;540.1;180.03;285.71;95.24;869.74;289.91;654.77;218.26;500.69;166.9;464.94;154.98;400.94;133.65;289.58;96.53;2409.51;2289.01;2606.26;3057.97;2;0.67;1;0.33
Mercury & mercury & Prince;54UC3D;3;2;66.67;1098;366;3;1;2;0.67;4;1.33;7;2.33;26;8.67;12;4;1;0.33;42.86;441.7;42.06;7166;2388.67;5465;1821.67;1701;567;60;20;140;46.67;1258;419.33;881;293.67;377;125.67;9;3;35;11.67;223.29;74.43;146.62;48.87;1002;334;560;186.67;41;13.67;1427.31;1451896;483965.34;570.48;190.16;431.48;143.83;102.23;34.08;657.38;219.13;418.72;139.57;28.08;9.36;12.3;4.1;0.18;69;23;521.7;173.9;540.2;180.07;305.34;101.78;798.84;266.28;748.28;249.43;355.89;118.63;569.92;189.97;331.32;110.44;202.94;67.65;2558.61;2276.44;2813.81;3241.74;0;0;1;0.33
Mercury & mercury & Prince;>PPfish;3;2;66.67;1451;483.67;6;2;1;0.33;2;0.67;17;5.67;19;6.33;9;3;6;2;35.29;306.16;54.93;5819;1939.67;3510;1170;2309;769.67;49;16.33;212;70.67;1643;547.67;957;319;686;228.67;13;4.33;63;21;66.02;22.01;123.57;41.19;522;174;1465;488.33;353;117.67;1439.59;1439130;479710;573.3;191.1;393.36;131.12;114.06;38.02;674.06;224.69;378.94;126.31;27.74;9.25;9.59;3.2;0.22;44;14.67;554.8;184.93;473.9;157.97;252.4;84.13;828.33;276.11;662.53;220.84;418.19;139.4;483.34;161.11;356.73;118.91;240.66;80.22;3001.34;2877.66;3100.12;3715.2;3;1;3;1
Mercury & mercury & Prince;AVI | Emerald Frosion;3;3;100.00;1425;475;4;1.33;3;1;6;2;12;4;30;10;5;1.67;1;0.33;33.33;299.95;44.52;5298;1766;3433;1144.33;1865;621.67;38;12.67;160;53.33;1181;393.67;626;208.67;555;185;7;2.33;43;14.33;156.46;52.15;39.28;13.09;195;65;334;111.33;32;10.67;1437.61;1426670;475556.66;545.28;181.76;432.51;144.17;84.26;28.09;567.68;189.23;481.87;160.62;12.52;4.17;38.08;12.69;0.11;352;117.33;513.3;171.1;509.1;169.7;281.91;93.97;780.15;260.05;673.57;224.52;388.49;129.5;513.29;171.1;316.57;105.52;232.19;77.4;2571.16;2430.43;2707.94;3319.84;0;0;3;1
Mercury & mercury & Prince;Akki404;3;3;100.00;1286;428.67;2;0.67;4;1.33;8;2.67;5;1.67;21;7;1;0.33;0;0;40;360.96;48.18;7435;2478.33;4945;1648.33;2490;830;58;19.33;224;74.67;1852;617.33;1088;362.67;764;254.67;13;4.33;72;24;184.22;61.41;144.37;48.12;873;291;864;288;201;67;1538.59;1872315;624105;557.31;185.77;534.66;178.22;170.45;56.82;750.46;250.15;457.43;152.48;54.54;18.18;19.79;6.6;0.09;228;76;407.5;135.83;425.4;141.8;371.71;123.9;890.7;296.9;819.9;273.3;442.51;147.5;612.95;204.32;390.04;130.01;259.44;86.48;3213.13;3243.69;3123.22;3919.82;10;3.33;2;0.67
Mercury & mercury & Prince;Alf1234GR;18;13;72.22;8156;453.11;25;1.39;9;0.5;19;1.06;73;4.06;119;6.61;36;2;17;0.94;34.25;378.78;46.33;42125;2340.28;29450;1636.11;12675;704.17;347;19.28;1121;62.28;9877;548.72;5550;308.33;4327;240.39;68;3.78;382;21.22;931.25;51.74;535.76;29.76;3941;218.94;5288;293.78;1247;69.28;1476.38;9198984;511054.66;3266.05;181.45;2738.78;152.15;619.15;34.4;3979.15;221.06;2443.15;135.73;201.7;11.21;138.42;7.69;0.09;1483;82.39;2816.2;156.46;3012.3;167.35;1764.62;98.03;4859.39;269.97;4046;224.78;2578.02;143.22;2929.25;162.74;2222.96;123.5;1471.74;81.76;2546.23;2369.48;2693.67;3524.46;21;1.17;10;0.56
JOTS;Ant;5;4;80.00;3164;632.8;15;3;5;1;6;1.2;23;4.6;31;6.2;14;2.8;7;1.4;65.22;376.77;48.96;12455;2491;8529;1705.8;3926;785.2;105;21;340;68;2030;406;1032;206.4;998;199.6;13;2.6;90;18;187.19;37.44;264.96;52.99;1998;399.6;2005;401;299;59.8;1535.47;2707397;541479.38;932.49;186.5;810.23;162.05;216.7;43.34;1282.13;256.43;605.82;121.16;71.49;14.3;22.65;4.53;0.09;264;52.8;1022.9;204.58;806.1;161.22;501.35;100.27;1458.08;291.62;1271.56;254.31;687.87;137.57;942.85;188.57;597.85;119.57;418.73;83.75;2749.87;2727.28;2719.1;3226.5;3;0.6;4;0.8
JETS;B33J;3;2;66.67;1375;458.33;4;1.33;2;0.67;4;1.33;8;2.67;13;4.33;6;2;4;1.33;50;430.83;53;7555;2518.33;5914;1971.33;1641;547;76;25.33;144;48;1480;493.33;1049;349.67;431;143.67;15;5;39;13;97.17;32.39;145.28;48.43;770;256.67;1704;568;453;151;1423.83;1375316;458438.66;548.89;182.96;396.21;132.07;91.62;30.54;646.37;215.46;334.97;111.66;55.38;18.46;23.64;7.88;0.2;122;40.67;578.8;192.93;435.3;145.1;254.19;84.73;782.53;260.84;670.06;223.35;366.66;122.22;495.47;165.16;334.02;111.34;207.24;69.08;2387.14;2312.25;2516.59;3475.48;3;1;4;1.33
Mercury & mercury & Prince;B_3r1an7;5;5;100.00;2803;560.6;7;1.4;7;1.4;10;2;12;2.4;36;7.2;14;2.8;8;1.6;58.33;406.49;56.56;14668;2933.6;10338;2067.6;4330;866;141;28.2;403;80.6;2893;578.6;1755;351;1138;227.6;23;4.6;104;20.8;140.11;28.02;299.11;59.82;2526;505.2;3753;750.6;575;115;1539.77;2991086;598217.19;960.67;192.13;867.53;173.51;264.85;52.97;1332.76;266.55;677.15;135.43;83.12;16.62;79.71;15.94;0.09;865;173;903.9;180.78;770.3;154.06;498.65;99.73;1594.41;318.88;1342.9;268.58;750.16;150.03;960.93;192.19;726.85;145.37;405.28;81.06;2699.64;2592.18;2806.03;3590.35;8;1.6;3;0.6
Mercury & mercury & Prince;BattleBennyB;5;2;40.00;2758;551.6;9;1.8;5;1;7;1.4;21;4.2;35;7;17;3.4;10;2;42.86;346.61;50.36;11067;2213.4;7837;1567.4;3230;646;99;19.8;281;56.2;2228;445.6;1321;264.2;907;181.4;17;3.4;80;16;173.01;34.6;223.19;44.64;1600;320;1413;282.6;255;51;1478.45;2526690;505338;904.56;180.91;795.34;159.07;161.36;32.27;1134;226.8;679.18;135.84;48.08;9.62;35.48;7.1;0.14;251;50.2;904.3;180.86;868.9;173.78;460.6;92.12;1400.66;280.13;1239.02;247.8;622.23;124.45;946.39;189.28;514.63;102.93;400.25;80.05;2589.14;2333.59;2807.37;3329.05;1;0.2;1;0.2
Mercury & mercury & Prince;Bino;16;10;62.50;7990;499.38;25;1.56;9;0.56;27;1.69;56;3.5;141;8.81;43;2.69;12;0.75;44.64;351.97;51.68;33095;2068.44;23562;1472.62;9533;595.81;296;18.5;838;52.38;7533;470.81;5124;320.25;2409;150.56;64;4;219;13.69;595.84;37.24;640.22;40.01;1272;79.5;5139;321.19;1204;75.25;1453.93;7664730;479045.62;2937.31;183.58;2115.8;132.24;608.07;38;3405.48;212.84;2052.54;128.28;203.12;12.69;117.65;7.35;0.13;943;58.94;2584.3;161.52;2478.1;154.88;1413.52;88.35;4247.63;265.48;3782.68;236.42;1878.46;117.4;2869.96;179.37;1764.92;110.31;1026.26;64.14;2625.89;2498.64;2742.72;3395.43;10;0.62;15;0.94
Mercury & mercury & Prince;Bino.;3;1;33.33;1206;402;3;1;1;0.33;4;1.33;9;3;17;5.67;7;2.33;5;1.67;33.33;375.91;50.14;6545;2181.67;4728;1576;1817;605.67;58;19.33;162;54;1474;491.33;1077;359;397;132.33;13;4.33;35;11.67;122.48;40.83;121.64;40.55;440;146.67;1024;341.33;222;74;1514.49;1465646;488548.66;488.18;162.73;404.76;134.92;135.8;45.27;580.9;193.63;402.41;134.14;45.43;15.14;20.74;6.91;0.12;170;56.67;570.1;190.03;441.6;147.2;236.78;78.93;791.97;263.99;652.88;217.63;375.87;125.29;491.17;163.72;287.16;95.72;250.4;83.47;2563.62;2549.86;2582.7;3502.22;1;0.33;4;1.33
AVIATORS;Blaudawg;3;3;100.00;2018;672.67;7;2.33;7;2.33;6;2;13;4.33;18;6;9;3;5;1.67;53.85;379.43;49.47;7982;2660.67;6275;2091.67;1707;569;78;26;149;49.67;1085;361.67;439;146.33;646;215.33;8;2.67;57;19;140.66;46.89;120.32;40.11;1668;556;1549;516.33;370;123.33;1494.5;1575056;525018.69;563.23;187.74;460.93;153.64;141.81;47.27;813.24;271.08;342.86;114.29;9.9;3.3;12.27;4.09;0.16;75;25;580.2;193.4;502.3;167.43;308.25;102.75;857.74;285.91;734.4;244.8;431.59;143.86;524.55;174.85;377.92;125.97;263.51;87.84;2856.16;2968.03;2749.61;3434.73;2;0.67;2;0.67
