team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
***** frenzy & Hawkeye83;***** frenzy;1;1;100.00;661;661;2;2;1;1;2;2;6;6;7;7;2;2;0;0;33.33;428;46.73;2378;2378;1769;1769;609;609;24;24;55;55;548;548;387;387;161;161;5;5;15;15;51.17;51.17;60.06;60.06;797;797;568;568;125;125;1527;517072;517072;173.31;173.31;130.51;130.51;67.26;67.26;233.29;233.29;122.47;122.47;15.33;15.33;4.26;4.26;0.16;27;27;165.8;165.8;186.4;186.4;122.35;122.35;248.73;248.73;211.82;211.82;159.26;159.26;162.15;162.15;108.2;108.2;100.74;100.74;2489;2461;2501;3518;3;3;0;0
*********** & Afk Plums & CHOPPER GUNNER;***********;4;1;25.00;1910;477.5;7;1.75;2;0.5;4;1;13;3.25;24;6;11;2.75;6;1.5;53.85;370.08;46.89;8211;2052.75;5554;1388.5;2657;664.25;66;16.5;230;57.5;1936;484;1193;298.25;743;185.75;13;3.25;66;16.5;173.19;43.3;158.91;39.73;1223;305.75;1056;264;133;33.25;1455.62;1847567;461891.75;696.9;174.23;531.33;132.83;136.21;34.05;899.09;224.77;425.17;106.29;40.15;10.04;19.54;4.89;0.15;132;33;690.3;172.57;649;162.25;386.08;96.52;978.35;244.59;855.88;213.97;508.54;127.14;648.93;162.23;405.84;101.46;309.65;77.41;2359.33;2283.42;2423.53;3013.51;5;1.25;2;0.5
************ & BlkNight & JKuo;************;1;0;0.00;204;204;0;0;0;0;1;1;0;0;10;10;2;2;0;0;0;188;57.36;1182;1182;679;679;503;503;10;10;44;44;343;343;123;123;220;220;2;2;19;19;24.92;24.92;42.36;42.36;32;32;342;342;84;84;1202;442691;442691;271.52;271.52;102.84;102.84;11.78;11.78;270.28;270.28;109.23;109.23;6.62;6.62;8.18;8.18;0.27;30;30;126.9;126.9;146.4;146.4;114.52;114.52;271.61;271.61;224.04;224.04;162.09;162.09;161.95;161.95;126.71;126.71;97.47;97.47;2884;2770;2929;3690;0;0;0;0
diggydog35 & **************;**************;1;1;100.00;457;457;1;1;2;2;3;3;1;1;5;5;1;1;1;1;100;256;45.17;1415;1415;694;694;721;721;9;9;65;65;295;295;0;0;295;295;0;0;26;26;20.16;20.16;23.6;23.6;140;140;214;214;0;0;1398;435985;435985;197.36;197.36;117.97;117.97;19.99;19.99;235.03;235.03;96.07;96.07;4.22;4.22;3.53;3.53;0.16;22;22;204;204;118.8;118.8;63.08;63.08;272.24;272.24;206.87;206.87;128.45;128.45;144.44;144.44;117.3;117.3;73.59;73.59;2754;2625;2882;3036;1;1;0;0
0 Dave 0 & Fatality tri;0 Dave 0;1;1;100.00;998;998;4;4;1;1;4;4;7;7;11;11;4;4;3;3;57.14;390;50.6;2554;2554;2057;2057;497;497;25;25;47;47;264;264;100;100;164;164;1;1;15;15;40.06;40.06;48.85;48.85;407;407;467;467;5;5;1500;534486;534486;197.46;197.46;153.77;153.77;43.84;43.84;228.97;228.97;143.65;143.65;22.45;22.45;2.69;2.69;0.12;22;22;189.2;189.2;173.6;173.6;93.02;93.02;302.05;302.05;278.57;278.57;116.5;116.5;217.35;217.35;108.68;108.68;69.04;69.04;2206;1862;2638;2853;1;1;0;0
2to.two & paxxi.;2to.two;1;1;100.00;428;428;2;2;2;2;1;1;2;2;11;11;3;3;0;0;100;288;57.34;1826;1826;1397;1397;429;429;18;18;40;40;86;86;0;0;86;86;0;0;8;8;13.17;13.17;30.2;30.2;138;138;437;437;0;0;1397;477632;477632;212.26;212.26;143.78;143.78;20.16;20.16;283.58;283.58;83.52;83.52;9.1;9.1;3.6;3.6;0.15;24;24;204.1;204.1;153.6;153.6;86.05;86.05;290.16;290.16;286.79;286.79;89.41;89.41;214.49;214.49;131.11;131.11;30.61;30.61;2858;2939;2778;2940;0;0;1;1
we good to our gfs;4X10Z_7K00;1;0;0.00;204;204;0;0;0;0;1;1;1;1;7;7;4;4;1;1;0;425;59.65;1375;1375;1141;1141;234;234;16;16;22;22;260;260;203;203;57;57;3;3;5;5;10.82;10.82;26.44;26.44;221;221;463;463;96;96;1479;259965;259965;91.59;91.59;77.07;77.07;20.93;20.93;98.61;98.61;81.12;81.12;9.86;9.86;1.49;1.49;0.15;10;10;87.1;87.1;92.8;92.8;70.2;70.2;119.39;119.39;133.96;133.96;55.63;55.63;109.14;109.14;48.03;48.03;32.42;32.42;2024;1766;2166;3161;1;1;0;0
ziaabiri & 9uxy;9uxy;1;0;0.00;348;348;0;0;0;0;3;3;1;1;11;11;4;4;3;3;0;373;47.58;1868;1868;1341;1341;527;527;15;15;46;46;209;209;0;0;209;209;0;0;18;18;71.71;71.71;33.75;33.75;461;461;161;161;0;0;1539;453168;453168;140.97;140.97;128.47;128.47;40.37;40.37;189.05;189.05;116.06;116.06;4.7;4.7;4.37;4.37;0.08;54;54;156.9;156.9;137.7;137.7;87.06;87.06;222.75;222.75;227.83;227.83;81.98;81.98;183.27;183.27;82.53;82.53;44.01;44.01;2168;2176;2199;2828;0;0;0;0
9vxw & V1em;9vxw;1;0;0.00;604;604;2;2;0;0;2;2;5;5;9;9;4;4;1;1;40;331;57.11;1924;1924;1541;1541;383;383;19;19;30;30;298;298;271;271;27;27;3;3;3;3;43.78;43.78;100.56;100.56;97;97;389;389;37;37;1433;459741;459741;190.42;190.42;137.59;137.59;33.03;33.03;169.29;169.29;156.13;156.13;35.62;35.62;2.22;2.22;0.05;49;49;165.6;165.6;178.6;178.6;102.79;102.79;258.26;258.26;231.6;231.6;129.44;129.44;191.39;191.39;104.26;104.26;65.39;65.39;2254;1882;2547;2893;1;1;0;0
BeeferPlus & A.;A.;1;0;0.00;577;577;1;1;0;0;3;3;7;7;6;6;2;2;2;2;14.29;356;46.13;2043;2043;1503;1503;540;540;18;18;47;47;594;594;369;369;225;225;4;4;19;19;57.4;57.4;47.53;47.53;117;117;307;307;30;30;1398;453613;453613;193.08;193.08;120.46;120.46;26.29;26.29;204.13;204.13;122.44;122.44;13.26;13.26;6.33;6.33;0.13;48;48;180.4;180.4;154.2;154.2;78.2;78.2;261.64;261.64;199.02;199.02;140.82;140.82;146.39;146.39;106.61;106.61;86.83;86.83;2205;1734;2698;3197;1;1;0;0
