team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
"$$KMMMMMMMMMQ$$ & Fortnite Riley Reid""! & TTV zyixdong";$$KMMMMMMMMMQ$$;1;1;100.00;330;330;1;1;1;1;0;0;2;2;6;6;2;2;0;0;50;491;49.12;2710;2710;2198;2198;512;512;24;24;39;39;230;230;147;147;83;83;2;2;7;7;71.52;71.52;38.2;38.2;214;214;223;223;52;52;1548;508293;508293;143.58;143.58;168.45;168.45;38.74;38.74;194.22;194.22;143.11;143.11;13.43;13.43;3.33;3.33;0.11;30;30;98.9;98.9;97.6;97.6;89.66;89.66;261.1;261.1;243.1;243.1;107.59;107.59;184.98;184.98;96.15;96.15;69.64;69.64;3153;3086;3284;3978;1;1;0;0
)Y(afia )Y(an & OoDrKillem & denots;)Y(afia )Y(an;1;0;0.00;244;244;1;1;1;1;0;0;1;1;3;3;4;4;2;2;100;254;48.19;1118;1118;757;757;361;361;10;10;34;34;189;189;59;59;130;130;1;1;12;12;28.82;28.82;39.4;39.4;141;141;183;183;40;40;1409;338294;338294;152.18;152.18;92.45;92.45;18.87;18.87;163.68;163.68;88.69;88.69;11.13;11.13;3.07;3.07;0.16;19;19;59.2;59.2;97.8;97.8;79.21;79.21;184.29;184.29;172.6;172.6;90.9;90.9;133.67;133.67;78.23;78.23;51.6;51.6;2526;2308;2663;3427;0;0;0;0
******** & ItsJxrez;********;1;0;0.00;190;190;0;0;0;0;1;1;2;2;10;10;2;2;0;0;0;305;38.34;1217;1217;787;787;430;430;8;8;38;38;172;172;100;100;72;72;1;1;6;6;82.02;82.02;9.24;9.24;107;107;12;12;0;0;1437;362246;362246;140.69;140.69;109.7;109.7;34.84;34.84;166.54;166.54;114.31;114.31;4.38;4.38;4.77;4.77;0.23;21;21;208.8;208.8;140.1;140.1;86.49;86.49;198.74;198.74;204.67;204.67;80.56;80.56;164.39;164.39;65.78;65.78;55.06;55.06;3035;2676;3267;3421;0;0;0;0
CrucialUrchin & car cam hero & *********;*********;24;13;54.17;12672;528;50;2.08;6;0.25;28;1.17;110;4.58;145;6.04;53;2.21;22;0.92;45.45;396.43;48.61;52725;2196.88;36839;1534.96;15886;661.92;469;19.54;1409;58.71;11899;495.79;7165;298.54;4734;197.25;96;4;421;17.54;838.23;34.93;742.2;30.93;7451;310.46;6342;264.25;1283;53.46;1573.36;12085851;503577.12;3481.81;145.08;3323.27;138.47;1395.39;58.14;4745.37;197.72;3135.02;130.63;320.08;13.34;104.31;4.35;0.11;1006;41.92;2902.4;120.93;3940.5;164.19;2171.61;90.48;6028.83;251.2;5208.85;217.04;2991.54;124.65;3958.7;164.95;2411.54;100.48;1830.24;76.26;2537.23;2270.07;2761.47;3529.04;31;1.29;12;0.5
xUnknownZen & *********** & WOODYHOSS;***********;1;0;0.00;206;206;0;0;0;0;1;1;1;1;5;5;3;3;3;3;0;337;52.58;1665;1665;1076;1076;589;589;14;14;52;52;506;506;283;283;223;223;5;5;20;20;22.47;22.47;33.76;33.76;252;252;336;336;225;225;1445;412410;412410;150.68;150.68;110.66;110.66;36.22;36.22;167.5;167.5;120.1;120.1;9.95;9.95;7.8;7.8;0.15;52;52;119.4;119.4;95.9;95.9;88.76;88.76;208.79;208.79;182.81;182.81;114.74;114.74;134.22;134.22;84.37;84.37;78.96;78.96;2940;2824;3029;3450;0;0;0;0
************ & 0Type_Null0 & BuriedAlive33;************;4;4;100.00;1736;434;6;1.5;3;0.75;4;1;10;2.5;16;4;3;0.75;1;0.25;60;285.94;55.78;5827;1456.75;3911;977.75;1916;479;50;12.5;172;43;1303;325.75;636;159;667;166.75;10;2.5;60;15;131.11;32.78;210.54;52.64;632;158;1148;287;361;90.25;1399.04;1658394;414598.5;702.53;175.63;478.63;119.66;74.07;18.52;755.02;188.75;457.09;114.27;43.12;10.78;17.16;4.29;0.16;107;26.75;470.3;117.58;547.5;136.88;321.94;80.49;933.3;233.32;775.6;193.9;479.53;119.88;576.42;144.1;385.59;96.4;293.22;73.31;2896.3;2719.51;3118.25;3663.87;1;0.25;1;0.25
************* & Mako & philosowrapter;*************;1;1;100.00;710;710;2;2;1;1;4;4;6;6;7;7;1;1;0;0;33.33;330;52.83;1884;1884;1382;1382;502;502;17;17;44;44;494;494;278;278;216;216;3;3;19;19;39.62;39.62;40.65;40.65;230;230;319;319;22;22;1484;446640;446640;148.12;148.12;141.97;141.97;30.78;30.78;207.28;207.28;108.16;108.16;5.43;5.43;4.43;4.43;0.14;32;32;77.8;77.8;117.3;117.3;75.65;75.65;245.21;245.21;194.87;194.87;126;126;139.88;139.88;104.84;104.84;76.15;76.15;2919;2779;3154;3903;0;0;0;0
************** & CheesusChrust45 & lngccklarry;**************;2;1;50.00;573;286.5;0;0;2;1;4;2;2;1;16;8;4;2;0;0;0;392.05;49.66;4376;2188;3557;1778.5;819;409.5;44;22;72;36;710;355;506;253;204;102;7;3.5;17;8.5;113.67;56.83;109.02;54.51;694;347;753;376.5;104;52;1395.36;881651;440825.5;366.14;183.07;246.33;123.17;55.3;27.65;410.78;205.39;237.47;118.74;19.55;9.77;12.83;6.41;0.12;121;60.5;254.3;127.15;303.4;151.7;225.45;112.72;442.34;221.17;440.8;220.4;226.99;113.49;321.75;160.88;207.79;103.9;138.25;69.12;2576.32;2334.69;2785.44;3400.98;1;0.5;3;1.5
****************** & NachoBidness3;******************;2;0;0.00;600;300;0;0;2;1;2;1;6;3;18;9;8;4;6;3;0;359;53.38;4584;2292;3542;1771;1042;521;45;22.5;87;43.5;999;499.5;692;346;307;153.5;8;4;21;10.5;75.36;37.68;114;57;557;278.5;967;483.5;106;53;1376;934831;467415.5;419.81;209.9;254.14;127.07;64.17;32.08;423.12;211.56;288.36;144.18;26.63;13.32;10.17;5.09;0.18;58;29;332.7;166.35;352.7;176.35;211.14;105.57;526.97;263.48;478.62;239.31;259.49;129.74;389.6;194.8;192.37;96.18;156.15;78.07;2811.51;2626.51;3024.02;3880;2;1;0;0
-B&B- Alex & B3B3-YT;-B&B- Alex;1;0;0.00;210;210;0;0;1;1;0;0;3;3;8;8;4;4;2;2;0;361;55.53;2100;2100;1564;1564;536;536;22;22;47;47;460;460;330;330;130;130;4;4;11;11;34.33;34.33;65.09;65.09;367;367;661;661;70;70;1499;478807;478807;154.73;154.73;143.79;143.79;39.67;39.67;217.09;217.09;102.67;102.67;18.43;18.43;2.43;2.43;0.12;20;20;167.1;167.1;155.8;155.8;107.1;107.1;231.09;231.09;206.33;206.33;131.86;131.86;141;141;117.2;117.2;80;80;2466;2564;2227;3547;3;3;0;0
