team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
NYI;CrucialUrchin;6;0;0.00;1145;190.83;1;0.17;1;0.17;8;1.33;3;0.5;59;9.83;20;3.33;10;1.67;33.33;430.72;42.96;14098;2349.67;10210;1701.67;3888;648;118;19.67;325;54.17;2050;341.67;1213;202.17;837;139.5;14;2.33;73;12.17;395.5;65.92;158.31;26.39;3325;554.17;1532;255.33;184;30.67;1403.86;2748507;458084.5;1064.41;177.4;787.68;131.28;217.9;36.32;1470.66;245.11;575.62;95.94;23.72;3.95;33.24;5.54;0.29;115;19.17;709.8;118.3;635.4;105.9;605.54;100.92;1464.46;244.08;1522.13;253.69;547.88;91.31;1233.3;205.55;553.52;92.25;283.18;47.2;2864.37;2985.28;2763;3588.92;4;0.67;6;1
ATL;Extinct-Brickz;3;3;100.00;1022;340.67;2;0.67;4;1.33;1;0.33;12;4;10;3.33;2;0.67;2;0.67;16.67;385.79;51;6679;2226.33;4666;1555.33;2013;671;53;17.67;181;60.33;2546;848.67;1711;570.33;835;278.33;19;6.33;74;24.67;148.81;49.6;113.02;37.67;824;274.67;701;233.67;214;71.33;1535.45;1521598;507199.34;473.1;157.7;446.88;148.96;132.9;44.3;637.57;212.52;392.43;130.81;22.87;7.62;27.11;9.04;0.1;281;93.67;276.7;92.23;355;118.33;245.07;81.69;807.8;269.27;517.73;172.58;535.15;178.38;358.71;119.57;344.38;114.79;349.79;116.6;2995.61;2928.88;3067.54;3875.58;2;0.67;1;0.33
NYI;Forgotten003;6;0;0.00;1809;301.5;3;0.5;0;0;9;1.5;10;1.67;59;9.83;20;3.33;4;0.67;30;307.19;50.18;11069;1844.83;7529;1254.83;3540;590;91;15.17;314;52.33;1736;289.33;1123;187.17;613;102.17;14;2.33;54;9;220.38;36.73;249.97;41.66;1397;232.83;1484;247.33;184;30.67;1381.74;2723359;453893.16;1177.15;196.19;714.13;119.02;195.83;32.64;1349.69;224.95;693.43;115.57;44.02;7.34;37.78;6.3;0.12;300;50;699.5;116.58;650.3;108.38;608.16;101.36;1478.97;246.49;1580.41;263.4;506.71;84.45;1243.87;207.31;556.49;92.75;286.76;47.79;3024.42;3012.99;3032.57;3674;2;0.33;1;0.17
ATL;Hemdawg93;3;3;100.00;1564;521.33;5;1.67;3;1;4;1.33;14;4.67;10;3.33;2;0.67;0;0;35.71;405.24;55.25;6979;2326.33;5151;1717;1828;609.33;68;22.67;150;50;1356;452;725;241.67;631;210.33;9;3;47;15.67;106.94;35.65;112.81;37.6;1166;388.67;1708;569.33;179;59.67;1510.86;1481866;493955.34;474.96;158.32;446.03;148.68;121.81;40.6;635.88;211.96;368.49;122.83;38.43;12.81;16.13;5.38;0.11;151;50.33;376.4;125.47;301.7;100.57;216.22;72.07;826.58;275.53;560.43;186.81;482.36;160.79;402.34;134.11;358.1;119.37;282.37;94.12;3174.39;3135.67;3223.41;3906.44;0;0;2;0.67
NYI;HotxGrandma;3;0;0.00;497;165.67;0;0;1;0.33;1;0.33;3;1;39;13;12;4;3;1;0;243.83;43.87;4232;1410.67;2651;883.67;1581;527;32;10.67;139;46.33;468;156;174;58;294;98;3;1;27;9;129.29;43.1;133.11;44.37;580;193.33;571;190.33;134;44.67;1421.78;1382914;460971.34;583.93;194.64;372.15;124.05;86.94;28.98;659.16;219.72;367.82;122.61;16.03;5.34;11.91;3.97;0.11;106;35.33;333.7;111.23;376.6;125.53;371.9;123.97;671.1;223.7;806.14;268.71;236.86;78.95;660.42;220.14;261.51;87.17;121.07;40.36;3156.95;3253.65;3103.74;3621.71;1;0.33;2;0.67
NYI;Spartadude;3;0;0.00;741;247;0;0;1;0.33;2;0.67;8;2.67;20;6.67;8;2.67;3;1;0;332.27;49.36;5857;1952.33;3447;1149;2410;803.33;41;13.67;218;72.67;1497;499;798;266;699;233;9;3;63;21;90.91;30.3;90.27;30.09;740;246.67;630;210;121;40.33;1547.31;1516286;505428.66;438.41;146.14;460.77;153.59;130.66;43.55;633.25;211.08;359.65;119.88;36.93;12.31;2.2;0.73;0.11;19;6.33;325;108.33;366.3;122.1;315.71;105.24;714.11;238.04;636;212;393.83;131.28;445.44;148.48;348.97;116.32;235.42;78.47;3239.16;3044.8;3442.07;3842.23;4;1.33;2;0.67
JERSEY JACKELS;TeeMaac;3;3;100.00;1046;348.67;4;1.33;3;1;1;0.33;6;2;14;4.67;2;0.67;0;0;66.67;300.04;55.4;5237;1745.67;3716;1238.67;1521;507;47;15.67;134;44.67;1107;369;782;260.67;325;108.33;11;3.67;29;9.67;83.09;27.7;189.8;63.27;260;86.67;1030;343.33;334;111.33;1382.62;1357201;452400.34;597.84;199.28;356.17;118.72;77.91;25.97;661;220.33;331.09;110.36;39.84;13.28;22.75;7.58;0.11;209;69.67;352.8;117.6;328.2;109.4;289.84;96.61;742.08;247.36;706.17;235.39;325.75;108.58;539.98;179.99;298.12;99.37;193.82;64.61;3235.66;3090.62;3412;3859.26;4;1.33;1;0.33
JERSEY JACKELS;The Postman;3;3;100.00;865;288.33;0;0;2;0.67;3;1;5;1.67;14;4.67;2;0.67;2;0.67;0;426.95;53.04;7436;2478.67;5753;1917.67;1683;561;74;24.67;155;51.67;1915;638.33;1512;504;403;134.33;16;5.33;39;13;88.32;29.44;137.38;45.79;902;300.67;1715;571.67;112;37.33;1512.46;1482569;494189.66;474.85;158.28;418.14;139.38;136.97;45.66;587.34;195.78;405.88;135.29;36.75;12.25;30.53;10.18;0.11;274;91.33;361.5;120.5;330.9;110.3;296.3;98.77;733.67;244.56;672.21;224.07;357.76;119.25;526.78;175.59;270.14;90.05;233.04;77.68;2910.49;2968.72;2845.87;3835.21;3;1;2;0.67
ATL;fieryprophet;3;3;100.00;1115;371.67;5;1.67;1;0.33;0;0;13;4.33;10;3.33;2;0.67;0;0;38.46;403.29;46.04;6893;2297.67;4712;1570.67;2181;727;56;18.67;198;66;1869;623;970;323.33;899;299.67;12;4;82;27.33;181.57;60.52;87.98;29.33;1009;336.33;979;326.33;246;82;1551.21;1526976;508992;463.41;154.47;430.92;143.64;156.72;52.24;595.51;198.5;426.94;142.31;28.61;9.54;27.75;9.25;0.11;255;85;347.5;115.83;335;111.67;219.38;73.13;831.68;277.23;542.8;180.93;508.26;169.42;377.5;125.83;343.01;114.34;330.53;110.18;3239.42;3027.11;3537.43;3935.95;2;0.67;1;0.33
JERSEY JACKELS;iBackwoods;3;3;100.00;1437;479;4;1.33;3;1;7;2.33;9;3;14;4.67;2;0.67;0;0;44.44;351.34;48.19;5853;1951;4225;1408.33;1628;542.67;51;17;142;47.33;955;318.33;526;175.33;429;143;6;2;38;12.67;143.58;47.86;85.23;28.41;794;264.67;730;243.33;30;10;1480.2;1443775;481258.34;475.04;158.35;464.06;154.69;84.53;28.18;670.87;223.62;328.09;109.36;24.68;8.23;21.24;7.08;0.14;157;52.33;334.8;111.6;382;127.33;322.49;107.5;701.15;233.72;673.79;224.6;349.87;116.62;490.09;163.36;332.89;110.96;200.67;66.89;3055.54;2956.37;3215.92;3887.21;0;0;4;1.33
