team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
"   & Latino_Vibez";"  ";1;1;100.00;621;621;3;3;0;0;0;0;8;8;11;11;3;3;1;1;37.5;501;51.5;3353;3353;2753;2753;600;600;33;33;53;53;665;665;444;444;221;221;5;5;21;21;36.07;36.07;48.62;48.62;323;323;469;469;67;67;1639;548899;548899;141.14;141.14;157.56;157.56;66.9;66.9;199.07;199.07;145.03;145.03;21.5;21.5;8.44;8.44;0.11;75;75;148.3;148.3;203.1;203.1;98.29;98.29;267.31;267.31;213.14;213.14;152.46;152.46;148.62;148.62;127.75;127.75;89.24;89.24;2583;2325;2868;3285;0;0;2;2
. & Atow. & Jadiel.TTV2;.;2;2;100.00;1184;592;5;2.5;2;1;1;0.5;10;5;14;7;6;3;3;1.5;50;437.4;45.26;5312;2656;3895;1947.5;1417;708.5;44;22;126;63;1266;633;602;301;664;332;7;3.5;59;29.5;75.72;37.86;66.4;33.2;640;320;415;207.5;93;46.5;1515.63;1012356;506178;373.62;186.81;268.44;134.22;102.22;51.11;431.16;215.58;273.4;136.7;39.71;19.85;12.2;6.1;0.19;75;37.5;361.9;180.95;325.3;162.65;201.75;100.88;542.51;271.26;414.59;207.29;329.69;164.85;283.06;141.53;270.06;135.03;191.15;95.57;2439.19;2397.46;2475.09;3192.4;4;2;0;0
PH4NT0M_RL (  ) & Ca7. `& & ZammmM1;ArzenicRl;2;1;50.00;782;391;1;0.5;3;1.5;3;1.5;5;2.5;18;9;5;2.5;2;1;20;364.64;54.76;4516;2258;3210;1605;1306;653;40;20;101;50.5;713;356.5;407;203.5;306;153;6;3;26;13;68.5;34.25;82.75;41.38;586;293;857;428.5;193;96.5;1485.3;971766;485883;361.73;180.86;245.22;122.61;110.58;55.29;386.88;193.44;289.22;144.61;41.43;20.72;10.78;5.39;0.11;103;51.5;251.7;125.85;220.8;110.4;211.33;105.67;506.21;253.11;469.26;234.63;248.28;124.14;369.23;184.61;210.74;105.37;137.57;68.79;2916.14;2841.59;2976.26;3576.26;3;1.5;2;1
PH4NT0M_RL (  ) & Ca7. `& & ZammmM1;Asuna.;3;1;33.33;1757;585.67;3;1;3;1;8;2.67;14;4.67;25;8.33;8;2.67;2;0.67;21.43;405;51.15;6731;2243.67;4875;1625;1856;618.67;56;18.67;151;50.33;1947;649;1584;528;363;121;17;5.67;34;11.33;164.07;54.69;78.16;26.05;878;292.67;704;234.67;126;42;1517.25;1485302;495100.66;489.06;163.02;420.41;140.14;139.83;46.61;540.2;180.07;418.94;139.65;90.16;30.05;9.35;3.12;0.13;68;22.67;360.8;120.27;443.2;147.73;308.2;102.73;741.12;247.04;651.45;217.15;397.86;132.62;491.76;163.92;318.6;106.2;238.94;79.65;2667.4;2626.15;2688.6;3530.08;3;1;4;1.33
. & Atow. & Jadiel.TTV2;Atow.;1;1;100.00;868;868;4;4;1;1;2;2;8;8;7;7;3;3;2;2;50;467;50.79;2941;2941;2245;2245;696;696;27;27;61;61;965;965;597;597;368;368;7;7;32;32;44.77;44.77;38.98;38.98;274;274;466;466;107;107;1622;557664;557664;160.8;160.8;139.17;139.17;80.62;80.62;204.31;204.31;156.16;156.16;20.11;20.11;6.14;6.14;0.1;61;61;162.2;162.2;199;199;99.05;99.05;281.54;281.54;198.21;198.21;182.37;182.37;136.24;136.24;121.48;121.48;122.85;122.85;2116;1978;2272;3231;0;0;0;0
yummie & Bevelman;Bevelman;2;2;100.00;1492;746;4;2;4;2;8;4;6;3;16;8;2;1;0;0;66.67;343;48.47;3601;1800.5;2338;1169;1263;631.5;32;16;111;55.5;730;365;276;138;454;227;4;2;40;20;20.34;10.17;88.75;44.38;282;141;716;358;122;61;1419.5;868980;434490;342.33;171.17;261.41;130.71;47.92;23.96;293.9;146.95;295.5;147.75;62.27;31.14;7.7;3.85;0.13;58;29;334;167;308.5;154.25;164.93;82.46;486.74;243.37;359.62;179.81;292.04;146.02;262.37;131.18;198.3;99.15;191;95.5;2232.5;2085.5;2383;3364.5;4;2;6;3
Bob :) & Its_Rambo. & ZYNRIPPER69.;Bob :);2;2;100.00;418;209;2;1;0;0;2;1;4;2;2;1;0;0;0;0;50;363;45.57;1788;894;1476;738;312;156;16;8;26;13;448;224;304;152;144;72;4;2;12;6;23.29;11.65;59.23;29.61;10;5;124;62;94;47;1546.5;432590;216295;152.09;76.04;145.73;72.86;18.8;9.4;179.09;89.54;116.4;58.2;21.15;10.57;8.19;4.09;0.08;108;54;112.8;56.4;112.3;56.15;65.16;32.58;251.47;125.74;185.74;92.87;130.89;65.44;126.18;63.09;106.86;53.43;83.58;41.79;3134.5;3066;3099.5;3221;0;0;0;0
PlayingwithaTTV. & Brisket Tastes G & Crosby87s;Brisket Tastes G;1;1;100.00;315;315;1;1;0;0;1;1;2;2;7;7;3;3;1;1;50;426;47.86;2456;2456;1774;1774;682;682;21;21;55;55;769;769;577;577;192;192;7;7;16;16;50.37;50.37;23.36;23.36;202;202;328;328;122;122;1530;510215;510215;165.93;165.93;158.19;158.19;38.32;38.32;204.45;204.45;132.37;132.37;25.62;25.62;4.31;4.31;0.13;32;32;99.1;99.1;131.6;131.6;108.84;108.84;253.6;253.6;210.69;210.69;151.75;151.75;164.51;164.51;101.01;101.01;96.92;96.92;2644;2624;2661;3623;1;1;2;2
PH4NT0M_RL (  ) & Ca7. `& & ZammmM1;Ca7. `&;7;1;14.29;1574;224.86;3;0.43;3;0.43;8;1.14;12;1.71;54;7.71;26;3.71;10;1.43;25;329.64;44.07;10861;1551.57;7051;1007.29;3810;544.29;79;11.29;332;47.43;1902;271.71;747;106.71;1155;165;8;1.14;100;14.29;286.22;40.89;173.32;24.76;908;129.71;935;133.57;58;8.29;1385.54;2491257;355893.84;1140.41;162.92;677.42;96.77;151.01;21.57;1214.09;173.44;680.86;97.27;73.9;10.56;43.35;6.19;0.12;368;52.57;630.7;90.1;557.7;79.67;594.59;84.94;1374.24;196.32;1280.86;182.98;687.97;98.28;968.17;138.31;603.74;86.25;396.91;56.7;2675.94;2606.28;2701.84;3577.73;4;0.57;4;0.57
Celestial_Derp & Professor Compressor & gimmi a ******;Celestial_Derp;1;1;100.00;413;413;2;2;0;0;1;1;5;5;5;5;0;0;0;0;40;248;67.83;1456;1456;906;906;550;550;13;13;54;54;173;173;41;41;132;132;1;1;11;11;19.32;19.32;72.08;72.08;76;76;474;474;58;58;1435;449764;449764;167.43;167.43;125.4;125.4;33.52;33.52;205.37;205.37;113.08;113.08;7.9;7.9;3;3;0.25;12;12;137.9;137.9;97.3;97.3;69.85;69.85;256.51;256.51;220.26;220.26;106.09;106.09;168.33;168.33;96.13;96.13;61.89;61.89;3525;3414;3685;3799;0;0;0;0
