team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
JER;Blitzzzzz.;4;1;25.00;989;247.25;0;0;4;1;5;1.25;10;2.5;31;7.75;14;3.5;5;1.25;0;395.99;50.13;9441;2360.25;5906;1476.5;3535;883.75;72;18;295;73.75;1967;491.75;913;228.25;1054;263.5;10;2.5;86;21.5;157.3;39.33;104.6;26.15;1385;346.25;1309;327.25;124;31;1503.88;2104302;526075.5;709.7;177.43;634.58;158.64;160.87;40.22;910.31;227.58;533.43;133.36;61.4;15.35;41.38;10.35;0.08;504;126;508.3;127.07;496.9;124.22;423.52;105.88;1081.62;270.4;993.1;248.27;512.05;128.01;718.1;179.52;488.79;122.2;298.25;74.56;2877.76;2761.6;2951.56;3598.54;5;1.25;3;0.75
CHI;Bonkalicious^-^;4;3;75.00;1581;395.25;6;1.5;3;0.75;0;0;13;3.25;20;5;9;2.25;5;1.25;46.15;442.85;54.1;10601;2650.25;7210;1802.5;3391;847.75;88;22;311;77.75;3118;779.5;1807;451.75;1311;327.75;22;5.5;117;29.25;140.22;35.06;158;39.5;2313;578.25;1777;444.25;442;110.5;1687.86;2272686;568171.5;509.14;127.29;626.89;156.72;309.64;77.41;841.52;210.38;505.91;126.48;98.24;24.56;25.82;6.45;0.09;289;72.25;443.4;110.85;475.7;118.93;402.3;100.57;1043.36;260.84;799.53;199.88;646.14;161.53;569.58;142.4;450.02;112.51;426.08;106.52;2870.17;2722.95;3031.68;3685.57;9;2.25;4;1
BAL;Ca7. `&;14;12;85.71;5397;385.5;13;0.93;12;0.86;13;0.93;43;3.07;71;5.07;22;1.57;5;0.36;30.23;349.51;46.14;28122;2008.71;18342;1310.14;9780;698.57;215;15.36;868;62;7841;560.07;4481;320.07;3360;240;53;3.79;299;21.36;598.19;42.73;391.76;27.98;2650;189.29;3092;220.86;654;46.71;1415.55;6566220;469015.72;2720.81;194.34;1812.05;129.43;426.13;30.44;3062.44;218.75;1677.67;119.83;218.83;15.63;118.35;8.45;0.13;920;65.71;1598.3;114.16;1482.8;105.91;1318.08;94.15;3640.88;260.06;2970.99;212.21;1987.93;142;2222.92;158.78;1526.01;109;1210.03;86.43;2682.5;2638.54;2752.92;3500.76;13;0.93;16;1.14
CHI;Enriko;4;3;75.00;1463;365.75;4;1;3;0.75;5;1.25;10;2.5;20;5;9;2.25;0;0;40;401.27;43.51;9553;2388.25;6639;1659.75;2914;728.5;74;18.5;246;61.5;1925;481.25;985;246.25;940;235;12;3;81;20.25;262.76;65.69;83.6;20.9;846;211.5;804;201;212;53;1525.11;2054380;513595;690.62;172.65;544;136;210.26;52.56;793.04;198.26;602.88;150.72;48.97;12.24;33.75;8.44;0.1;349;87.25;442.4;110.6;434;108.5;337.69;84.42;1107.2;276.8;802.93;200.73;641.97;160.49;572.76;143.19;500.74;125.18;371.39;92.85;2900.69;2928.54;2876.97;3684.87;2;0.5;4;1
OTTOWA;Jessehowell2003;3;0;0.00;996;332;2;0.67;1;0.33;5;1.67;2;0.67;24;8;11;3.67;3;1;100;273.44;51.23;4655;1551.67;3105;1035;1550;516.67;38;12.67;139;46.33;673;224.33;426;142;247;82.33;5;1.67;23;7.67;77.97;25.99;137.04;45.68;419;139.67;735;245;82;27.33;1356.44;1332436;444145.34;610.07;203.36;357.64;119.21;78.28;26.09;620.73;206.91;394.47;131.49;30.78;10.26;21.81;7.27;0.14;159;53;348.7;116.23;312.7;104.23;310.32;103.44;735.67;245.22;708.83;236.28;337.15;112.38;518.9;172.97;361.04;120.35;166.03;55.34;3078.41;2999.42;3141.48;3533.71;1;0.33;3;1
HOU;Kadofe;3;0;0.00;687;229;0;0;3;1;4;1.33;2;0.67;30;10;14;4.67;3;1;0;330.01;54.93;6176;2058.67;4538;1512.67;1638;546;56;18.67;146;48.67;701;233.67;292;97.33;409;136.33;4;1.33;36;12;73.9;24.63;207.92;69.31;475;158.33;1133;377.67;115;38.33;1408.38;1394512;464837.34;607.08;202.36;361.05;120.35;99.06;33.02;601.06;200.35;404.03;134.68;62.08;20.69;24.42;8.14;0.08;312;104;306.3;102.1;364;121.33;354.82;118.27;712.36;237.45;752.5;250.83;314.67;104.89;588.16;196.05;296.31;98.77;182.71;60.9;3050.59;3037.15;3075.63;3641.33;0;0;5;1.67
JER;Kapoto.;4;1;25.00;1243;310.75;5;1.25;0;0;3;0.75;10;2.5;31;7.75;14;3.5;5;1.25;50;311.55;44.93;7002;1750.5;4469;1117.25;2533;633.25;52;13;224;56;1718;429.5;1025;256.25;693;173.25;11;2.75;60;15;148.33;37.08;140.03;35.01;1325;331.25;791;197.75;72;18;1394.33;1802075;450518.75;812.81;203.2;476.99;119.25;111.34;27.83;1021.61;255.4;367.98;91.99;11.55;2.89;24.76;6.19;0.13;193;48.25;583.3;145.82;523;130.75;384.94;96.24;1016.2;254.05;924.25;231.06;476.88;119.22;692.3;173.08;436.5;109.12;272.34;68.08;2712.9;2706.4;2700.87;3544.64;3;0.75;3;0.75
OTTOWA;Knight Doc Wolfe;3;0;0.00;823;274.33;1;0.33;2;0.67;4;1.33;5;1.67;24;8;11;3.67;5;1.67;20;326.15;51.68;5568;1856;4468;1489.33;1100;366.67;58;19.33;99;33;1293;431;968;322.67;325;108.33;15;5;30;10;117.02;39.01;196.36;65.45;1274;424.67;1285;428.33;459;153;1357.3;1337584;445861.34;600.62;200.21;354.52;118.17;96.26;32.09;709.82;236.61;315.78;105.26;25.8;8.6;23.75;7.92;0.24;97;32.33;354.6;118.2;332.1;110.7;322.81;107.6;728.59;242.86;678.03;226.01;373.37;124.46;546.76;182.25;265.09;88.36;239.54;79.85;2804.92;2776.18;2802.03;3419.99;7;2.33;2;0.67
HOU;Lord Spicy;3;0;0.00;1053;351;3;1;0;0;6;2;7;2.33;30;10;14;4.67;8;2.67;42.86;339.26;46.01;5901;1967;4417;1472.33;1484;494.67;52;17.33;132;44;974;324.67;649;216.33;325;108.33;8;2.67;28;9.33;115.74;38.58;162.91;54.3;377;125.67;827;275.67;152;50.67;1313.98;1310971;436990.34;655.12;218.37;323.34;107.78;97.11;32.37;709.37;236.46;350.95;116.98;15.24;5.08;21.43;7.14;0.13;169;56.33;373.7;124.57;305.6;101.87;275.45;91.82;800.11;266.7;772.03;257.34;303.54;101.18;575.25;191.75;350.2;116.73;150.11;50.04;3088.01;3042.95;3152.93;3658.68;1;0.33;1;0.33
OTTOWA;OTT | Mercury;3;0;0.00;421;140.33;1;0.33;0;0;1;0.33;3;1;24;8;11;3.67;3;1;33.33;351.89;41.5;5725;1908.33;3786;1262;1939;646.33;43;14.33;172;57.33;907;302.33;441;147;466;155.33;5;1.67;41;13.67;202.45;67.48;36.1;12.03;306;102;427;142.33;57;19;1373.47;1350388;450129.34;590.61;196.87;381.53;127.18;74.41;24.8;549.39;183.13;469.16;156.39;28;9.33;45.48;15.16;0.1;439;146.33;307.7;102.57;350.4;116.8;327.7;109.23;718.85;239.62;728.65;242.88;317.91;105.97;550.82;183.61;296.6;98.87;199.13;66.38;2797.06;2601.97;2900.51;3393.96;1;0.33;3;1
BAL;PH4NT0M_RL;4;3;75.00;2049;512.25;8;2;2;0.5;8;2;16;4;27;6.75;10;2.5;6;1.5;50;424.81;53.25;10283;2570.75;8204;2051;2079;519.75;99;24.75;180;45;1568;392;1039;259.75;529;132.25;13;3.25;41;10.25;176.04;44.01;192.96;48.24;1380;345;1769;442.25;273;68.25;1537.07;2133314;533328.5;677.84;169.46;604.37;151.09;210.27;52.57;875.6;218.9;518.28;129.57;98.64;24.66;23.71;5.93;0.14;177;44.25;475.7;118.93;455.2;113.8;432.53;108.13;1059.96;264.99;989.29;247.32;503.19;125.8;721.5;180.38;487.61;121.9;283.4;70.85;2821.37;2612.08;3012.84;3527.38;4;1;6;1.5
BAL;PH4NT0M_RL (  );18;13;72.22;7235;401.94;29;1.61;11;0.61;12;0.67;50;2.78;109;6.06;36;2;6;0.33;58;422.69;50.79;43276;2404.22;33653;1869.61;9623;534.61;401;22.28;848;47.11;8070;448.33;5315;295.28;2755;153.06;59;3.28;239;13.28;674.81;37.49;770.44;42.8;5097;283.17;6082;337.89;476;26.44;1543.22;9178637;509924.28;2930.63;162.81;2429.91;135;1011.82;56.21;3591.05;199.5;2424.84;134.71;356.48;19.8;98.48;5.47;0.11;901;50.06;1876.7;104.26;2200;122.22;1973.94;109.66;4398.43;244.36;4017.97;223.22;2354.43;130.8;2978.65;165.48;1979.53;109.97;1414.21;78.57;2843.39;2762.6;2962.97;3581.76;9;0.5;23;1.28
