team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
UP;3 Week Old Grape Capri Sun;55;41;74.55;32340;588;119;2.16;52;0.95;68;1.24;273;4.96;356;6.47;127;2.31;66;1.2;43.59;280.32;54.95;100293;1823.51;71721;1304.02;28572;519.49;884;16.07;2515;45.73;22920;416.73;13067;237.58;9853;179.15;171;3.11;888;16.15;1568;28.51;2336.93;42.49;4176;75.93;16227;295.04;3846;69.93;1439.43;27179912;494180.22;10492.44;190.77;8632.41;156.95;1327.75;24.14;11821.78;214.94;7841.74;142.58;789.09;14.35;162.66;2.96;0.13;1254;22.8;9190.8;167.11;9711.9;176.58;4993.83;90.8;15458.73;281.07;12158.68;221.07;8293.83;150.8;8914.29;162.08;6496.35;118.12;5041.95;91.67;2547.49;2435.51;2670.69;3453.82;22;0.4;59;1.07
UP;3xoticmoon;38;17;44.74;13147;345.97;35;0.92;21;0.55;35;0.92;100;2.63;281;7.39;118;3.11;51;1.34;35;371.37;47.05;84122;2213.74;63126;1661.21;20996;552.53;769;20.24;1851;48.71;18045;474.87;11875;312.5;6170;162.37;152;4;540;14.21;2137.9;56.26;1511.9;39.79;18520;487.37;13834;364.05;3205;84.34;1482.66;19021636;500569.38;6747.84;177.57;5537.91;145.73;1547.46;40.72;9196.08;242;4320.18;113.69;316.99;8.34;197.27;5.19;0.13;1537;40.45;5186.5;136.49;5827.4;153.35;3865.97;101.74;9967.22;262.3;8917.63;234.67;4915.61;129.36;6610.76;173.97;4174.39;109.85;3048.1;80.21;2680.88;2575.66;2776.28;3493.23;53;1.39;16;0.42
UP;AeroToney;8;8;100.00;6426;803.25;27;3.38;2;0.25;20;2.5;49;6.12;52;6.5;14;1.75;8;1;55.1;405.92;47.55;19902;2487.75;14608;1826;5294;661.75;177;22.12;436;54.5;4299;537.38;2578;322.25;1721;215.12;32;4;142;17.75;302.77;37.85;372.98;46.62;3063;382.88;3146;393.25;589;73.62;1486.05;4189294;523661.75;1464.54;183.07;1244.51;155.56;316.11;39.51;1777.51;222.19;1148.06;143.51;99.62;12.45;55.58;6.95;0.15;383;47.88;1419;177.38;1472.2;184.02;725.79;90.72;2299.39;287.42;1868.89;233.61;1156.26;144.53;1379.91;172.49;916.35;114.54;728.89;91.11;2342.18;2130.61;2578.12;3288.28;0;0;2;0.25
UP;Avid;6;3;50.00;2968;494.67;12;2;3;0.5;5;0.83;26;4.33;37;6.17;17;2.83;7;1.17;46.15;321.39;53.59;10913;1818.83;7318;1219.67;3595;599.17;89;14.83;331;55.17;2350;391.67;1229;204.83;1121;186.83;17;2.83;102;17;136.54;22.76;259.52;43.25;1280;213.33;1808;301.33;523;87.17;1397.26;2694733;449122.16;1129.34;188.22;833.07;138.85;123.39;20.57;1297.97;216.33;718.71;119.78;69.12;11.52;14.15;2.36;0.15;99;16.5;989.9;164.98;984.4;164.07;548.59;91.43;1537.2;256.2;1266.9;211.15;818.91;136.49;896.18;149.36;696.41;116.07;493.24;82.21;2485.65;2423.02;2555.19;3322.03;5;0.83;3;0.5
UP;Avid RL;16;8;50.00;5197;324.81;15;0.94;8;0.5;15;0.94;36;2.25;127;7.94;52;3.25;16;1;41.67;365.82;45.93;33607;2100.44;22741;1421.31;10866;679.12;272;17;967;60.44;4767;297.94;2068;129.25;2699;168.69;29;1.81;243;15.19;529.9;33.12;569.29;35.58;6513;407.06;4574;285.88;867;54.19;1415.65;7700912;481307;3045.92;190.37;2334.43;145.9;482.75;30.17;3850.37;240.65;1865.44;116.59;147.28;9.2;50.67;3.17;0.17;294;18.38;2251;140.69;2073.6;129.6;1490.03;93.13;4373.03;273.31;3939.24;246.2;1923.84;120.24;2966.66;185.42;1779.27;111.2;1117.15;69.82;2831.39;2777.12;2872.2;3423.52;10;0.62;6;0.38
UP;BabyLeth9856;11;6;54.55;4973;452.09;15;1.36;7;0.64;19;1.73;32;2.91;100;9.09;42;3.82;19;1.73;46.88;400.36;47.68;27933;2539.36;20845;1895;7088;644.36;245;22.27;610;55.45;5314;483.09;3310;300.91;2004;182.18;43;3.91;169;15.36;638;58;478.89;43.54;2503;227.55;3795;345;997;90.64;1468.86;5678390;516217.28;2127.92;193.45;1677.86;152.53;390.21;35.47;2625.01;238.64;1448.68;131.7;122.29;11.12;60;5.45;0.08;729;66.27;2011.5;182.86;1991.3;181.03;1168.82;106.26;3027.13;275.19;2735.4;248.67;1460.55;132.78;2015.71;183.25;1359.91;123.63;820.33;74.58;2635.85;2551.64;2723.68;3492.08;13;1.18;6;0.55
UP;BadBobaFett05;8;4;50.00;2830;353.75;7;0.88;7;0.88;8;1;17;2.12;67;8.38;29;3.62;13;1.62;41.18;338.65;46.34;16644;2080.5;11719;1464.88;4925;615.62;141;17.62;438;54.75;2564;320.5;1279;159.88;1285;160.62;15;1.88;110;13.75;397.47;49.68;227.68;28.46;1540;192.5;2418;302.25;199;24.88;1354.05;3727862;465982.75;1698.77;212.35;1115.87;139.48;167.47;20.93;1782.42;222.8;1153.65;144.21;46.07;5.76;61.83;7.73;0.12;525;65.62;1520.2;190.02;1335.7;166.96;874.96;109.37;2107.16;263.4;2055.54;256.94;926.56;115.82;1556;194.5;927.23;115.9;498.91;62.36;2758.97;2777.34;2733.65;3487.98;2;0.25;3;0.38
UP;BattleBennyB;10;6;60.00;3990;399;11;1.1;4;0.4;16;1.6;31;3.1;67;6.7;21;2.1;11;1.1;35.48;324.17;54.6;19547;1954.7;13820;1382;5727;572.7;185;18.5;509;50.9;3788;378.8;2286;228.6;1502;150.2;33;3.3;133;13.3;255.75;25.57;656.67;65.67;4295;429.5;4691;469.1;951;95.1;1385.95;4644856;464485.59;1978.32;197.83;1293.45;129.35;295.81;29.58;2456.4;245.64;1066.51;106.65;44.69;4.47;75.14;7.51;0.14;531;53.1;1641.7;164.17;1311.1;131.11;678.6;67.86;2889;288.9;2474.84;247.48;1092.72;109.27;1890.53;189.05;1062.93;106.29;614.13;61.41;3150.52;3124.17;3184.04;3643.69;3;0.3;5;0.5
UP;BegottenTV;6;4;66.67;2360;393.33;6;1;8;1.33;8;1.33;12;2;52;8.67;24;4;9;1.5;50;270.99;47.06;10858;1809.67;8106;1351;2752;458.67;106;17.67;240;40;1674;279;910;151.67;764;127.33;10;1.67;68;11.33;231.85;38.64;403.05;67.18;1224;204;2550;425;86;14.33;1396.52;2912498;485416.34;1292;215.33;860.29;143.38;148.15;24.69;1505.53;250.92;755.65;125.94;39.26;6.54;8.88;1.48;0.17;54;9;1211.6;201.93;953.4;158.9;599.5;99.92;1700.94;283.49;1646.53;274.42;653.9;108.98;1276.24;212.71;659.61;109.93;364.6;60.77;3145.83;3216.03;3075.17;3683.19;8;1.33;4;0.67
UP;BigCountry;32;16;50.00;17491;546.59;69;2.16;22;0.69;40;1.25;129;4.03;208;6.5;96;3;44;1.38;53.49;381.22;53.51;73952;2311;55660;1739.38;18292;571.62;722;22.56;1626;50.81;17514;547.31;11577;361.78;5937;185.53;152;4.75;525;16.41;935.29;29.23;1678.24;52.45;8817;275.53;13519;422.47;2391;74.72;1522.22;16371565;511611.41;5239.81;163.74;5057.9;158.06;1361.9;42.56;7380.73;230.65;4006.55;125.2;272.33;8.51;196.81;6.15;0.1;1899;59.34;5450.8;170.34;5400.5;168.77;3378.03;105.56;8281.57;258.8;7315.51;228.61;4344.09;135.75;5532.29;172.88;3471.82;108.49;2655.47;82.98;2963.63;2794.9;3131.06;3685.93;24;0.75;17;0.53
