team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
JohnMcVegan & KalashSoviet327 & ON3xN3T;"(5;18 E0@>H";1;0;0.00;280;280;0;0;1;1;0;0;1;1;8;8;7;7;4;4;0;453;53.91;2689;2689;2239;2239;450;450;25;25;42;42;293;293;196;196;97;97;2;2;9;9;40.16;40.16;52.92;52.92;207;207;285;285;15;15;1469;497154;497154;186.51;186.51;141.92;141.92;45.28;45.28;202.77;202.77;159.61;159.61;11.33;11.33;5.42;5.42;0.1;54;54;171.1;171.1;185.1;185.1;140.58;140.58;233.13;233.13;286.17;286.17;87.54;87.54;235.31;235.31;87.07;87.07;51.34;51.34;2417;1940;2758;3457;0;0;2;2
-2N + 2Q & dantouch;-2N + 2Q;1;1;100.00;208;208;0;0;1;1;0;0;0;0;2;2;0;0;0;0;0;377;48.61;1995;1995;1289;1289;706;706;17;17;64;64;381;381;189;189;192;192;3;3;19;19;26.81;26.81;50.92;50.92;467;467;335;335;116;116;1407;436729;436729;163.51;163.51;123.92;123.92;33.77;33.77;208.21;208.21;109.31;109.31;3.68;3.68;3.68;3.68;0.14;27;27;177.1;177.1;141.5;141.5;72.43;72.43;248.78;248.78;185.41;185.41;135.79;135.79;142.85;142.85;85.13;85.13;93.22;93.22;2640;2773;2545;3111;0;0;1;1
JohnMcVegan & KalashSoviet327 & ON3xN3T;0.yuu.0;2;1;50.00;836;418;3;1.5;1;0.5;1;0.5;7;3.5;11;5.5;5;2.5;3;1.5;42.86;321.73;46.49;4231;2115.5;3074;1537;1157;578.5;38;19;99;49.5;791;395.5;392;196;399;199.5;6;3;35;17.5;92.92;46.46;109.23;54.61;522;261;733;366.5;206;103;1377.66;1061009;530504.5;471.24;235.62;305.24;152.62;44.94;22.47;526.99;263.49;271.18;135.59;23.25;11.62;6.47;3.24;0.2;33;16.5;358.7;179.35;417.1;208.55;197.16;98.58;624.27;312.14;490.59;245.29;330.84;165.42;365.58;182.79;244.56;122.28;211.29;105.65;2349.47;2283.53;2379.57;3440.19;3;1.5;0;0
0Brainiac0 & Ladis244;0Brainiac0;1;1;100.00;438;438;2;2;2;2;0;0;2;2;4;4;2;2;1;1;100;262;50.1;1341;1341;761;761;580;580;10;10;51;51;336;336;103;103;233;233;2;2;21;21;19.62;19.62;32.82;32.82;96;96;253;253;100;100;1393;416276;416276;192.99;192.99;110.02;110.02;22.62;22.62;207.22;207.22;114.18;114.18;4.23;4.23;3.65;3.65;0.14;26;26;153.7;153.7;154.3;154.3;62.77;62.77;262.85;262.85;172.08;172.08;153.54;153.54;109.56;109.56;116.2;116.2;99.86;99.86;2355;2367;2366;2810;1;1;0;0
0Honey0 & Xcuzimeni2X;0Honey0;1;1;100.00;1023;1023;4;4;1;1;4;4;6;6;9;9;1;1;1;1;66.67;409;48.2;2092;2092;1526;1526;566;566;19;19;50;50;426;426;234;234;192;192;3;3;16;16;31.26;31.26;30.09;30.09;563;563;378;378;65;65;1681;488885;488885;108.76;108.76;135.67;135.67;69.93;69.93;190.63;190.63;115.24;115.24;8.5;8.5;5.63;5.63;0.1;56;56;155.1;155.1;141.5;141.5;77.9;77.9;236.46;236.46;225.37;225.37;88.99;88.99;172.63;172.63;93.14;93.14;48.59;48.59;2688;2409;2943;3499;0;0;0;0
0MuRdA0 & Harambe-_-69;0MuRdA0;1;0;0.00;360;360;1;1;1;1;1;1;2;2;7;7;3;3;2;2;50;300;52.73;1836;1836;1229;1229;607;607;16;16;54;54;380;380;103;103;277;277;2;2;24;24;19.25;19.25;49.25;49.25;146;146;385;385;97;97;1459;473112;473112;181.76;181.76;139.92;139.92;30.88;30.88;223.02;223.02;115.67;115.67;13.87;13.87;3.96;3.96;0.16;25;25;187.2;187.2;154.9;154.9;82.42;82.42;270.14;270.14;226.85;226.85;125.7;125.7;149.62;149.62;137.61;137.61;65.33;65.33;2561;2474;2673;3471;0;0;0;0
JohnMcVegan & KalashSoviet327 & ON3xN3T;123adys321;1;1;100.00;528;528;1;1;2;2;2;2;2;2;7;7;1;1;1;1;50;290;50.82;1587;1587;1100;1100;487;487;13;13;43;43;237;237;126;126;111;111;2;2;10;10;33;33;41.22;41.22;52;52;208;208;77;77;1336;448780;448780;209.71;209.71;137.5;137.5;16.58;16.58;216.39;216.39;131.05;131.05;16.35;16.35;4.26;4.26;0.13;33;33;148.9;148.9;196.2;196.2;107.28;107.28;256.51;256.51;234.77;234.77;129.02;129.02;183.09;183.09;93.56;93.56;87.14;87.14;2366;2273;2434;3344;0;0;0;0
1stufeX & Nyxonia;1stufeX;1;0;0.00;179;179;0;0;0;0;2;2;1;1;5;5;2;2;1;1;0;381;55.04;835;835;634;634;201;201;10;10;18;18;156;156;100;100;56;56;1;1;5;5;13.54;13.54;18.68;18.68;30;30;369;369;3;3;1470;165756;165756;57.3;57.3;51.94;51.94;13.62;13.62;55.3;55.3;64.02;64.02;3.54;3.54;1.04;1.04;0.1;10;10;48.6;48.6;68.7;68.7;48.76;48.76;74.1;74.1;81.65;81.65;41.21;41.21;57.41;57.41;39.9;39.9;25.55;25.55;2085;1442;2524;2930;0;0;0;0
Wex Quasovich & 47_molik;47_molik;1;0;0.00;201;201;0;0;0;0;2;2;0;0;6;6;3;3;1;1;0;387;45.08;1364;1364;1003;1003;361;361;11;11;32;32;342;342;200;200;142;142;2;2;13;13;29.93;29.93;43.01;43.01;61;61;109;109;2;2;1390;295368;295368;126.92;126.92;77.13;77.13;21.65;21.65;123.54;123.54;89.76;89.76;12.4;12.4;4.3;4.3;0.15;28;28;116;116;108.8;108.8;67.36;67.36;158.34;158.34;131.29;131.29;94.4;94.4;94.49;94.49;72.01;72.01;59.19;59.19;2769;2815;2541;3345;0;0;1;1
JohnMcVegan & KalashSoviet327 & ON3xN3T;50L0;1;0;0.00;387;387;1;1;0;0;1;1;4;4;13;13;7;7;3;3;25;350;32.26;1858;1858;1150;1150;708;708;12;12;63;63;276;276;100;100;176;176;1;1;15;15;85.81;85.81;30;30;352;352;61;61;0;0;1410;498482;498482;221.89;221.89;145.32;145.32;26.3;26.3;249.93;249.93;131.13;131.13;12.45;12.45;5.7;5.7;0.26;22;22;189.9;189.9;173.5;173.5;123.76;123.76;269.76;269.76;290.61;290.61;102.9;102.9;231.22;231.22;94.6;94.6;67.7;67.7;2592;2449;2718;3341;0;0;1;1
