team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
*' Wicked & TachyonSwoard;*' Wicked;1;1;100.00;444;444;2;2;0;0;1;1;3;3;3;3;1;1;1;1;66.67;396;58.74;1996;1996;1613;1613;383;383;21;21;37;37;497;497;325;325;172;172;4;4;16;16;27.84;27.84;48.43;48.43;240;240;525;525;101;101;1533;442359;442359;130.96;130.96;154.15;154.15;28.09;28.09;188.6;188.6;102.41;102.41;22.18;22.18;5.22;5.22;0.17;30;30;133.5;133.5;176;176;78.96;78.96;234.23;234.23;184.02;184.02;129.17;129.17;135.76;135.76;96.88;96.88;80.56;80.56;2657;2138;3039;3463;0;0;1;1
0 TheGoaT 0 & Yvdriel;0 TheGoaT 0;1;1;100.00;709;709;3;3;0;0;2;2;3;3;7;7;1;1;0;0;100;402;53.24;1619;1619;1194;1194;425;425;18;18;37;37;364;364;177;177;187;187;2;2;16;16;18.88;18.88;35.35;35.35;354;354;517;517;22;22;1562;365241;365241;103.02;103.02;121.57;121.57;27.7;27.7;167.3;167.3;70.47;70.47;14.51;14.51;1.64;1.64;0.14;12;12;107.7;107.7;129.8;129.8;67.45;67.45;184.84;184.84;171.03;171.03;81.26;81.26;137.31;137.31;65.86;65.86;49.12;49.12;2407;2392;2536;3128;0;0;1;1
0000 & fake.mihael;0000;1;1;100.00;158;158;1;1;0;0;0;0;2;2;1;1;0;0;0;0;50;325;62.86;1233;1233;979;979;254;254;14;14;23;23;414;414;309;309;105;105;4;4;9;9;9.16;9.16;33.96;33.96;70;70;310;310;92;92;1427;230968;230968;98.06;98.06;65.99;65.99;15.67;15.67;125.32;125.32;53.9;53.9;0.5;0.5;3.48;3.48;0.17;21;21;94.2;94.2;75.3;75.3;41.63;41.63;138.09;138.09;107.93;107.93;71.79;71.79;84.19;84.19;53.82;53.82;41.72;41.72;3149;3463;2459;3030;0;0;1;1
HIVE Huggins-_- & AVI-Huggins-_- & Huggins-_-;AVI-Huggins-_-;28;12;42.86;12324;440.14;42;1.5;17;0.61;30;1.07;90;3.21;185;6.61;91;3.25;39;1.39;46.67;391.07;55.86;61135;2183.39;48329;1726.04;12806;457.36;576;20.57;1146;40.93;14046;501.64;9377;334.89;4669;166.75;107;3.82;401;14.32;1184.05;42.29;1011.78;36.13;6227;222.39;9691;346.11;1371;48.96;1548.58;13569941;484640.75;4407.45;157.41;3301.25;117.9;1778.28;63.51;5072.8;181.17;4003.94;143;410.2;14.65;175.65;6.27;0.09;1948;69.57;3962.4;141.51;4318.9;154.25;2603.88;93;6883.1;245.82;5824.65;208.02;3662.32;130.8;4336.82;154.89;2956.42;105.59;2193.69;78.35;2577.08;2425.06;2747.7;3331.3;16;0.57;14;0.5
FatalVortex392 & Aboonda;Aboonda;1;0;0.00;352;352;2;2;0;0;0;0;4;4;7;7;5;5;1;1;50;318;55.28;2011;2011;1556;1556;455;455;19;19;41;41;312;312;183;183;129;129;2;2;11;11;18.37;18.37;84.59;84.59;163;163;372;372;20;20;1436;490117;490117;218.54;218.54;131.85;131.85;34.3;34.3;230.03;230.03;141.39;141.39;13.27;13.27;6.61;6.61;0.14;48;48;174.9;174.9;190.2;190.2;106.84;106.84;277.85;277.85;230.32;230.32;154.33;154.33;172.87;172.87;120.08;120.08;91.74;91.74;2532;2708;2368;3394;0;0;0;0
Rice2Fried & xTokyo1963x & Aknv28;Aknv28;2;0;0.00;712;356;2;1;4;2;2;1;4;2;24;12;14;7;4;2;50;304;56.64;4423;2211.5;3246;1623;1177;588.5;38;19;100;50;1055;527.5;596;298;459;229.5;6;3;30;15;49.32;24.66;156.48;78.24;490;245;676;338;20;10;1343;974382;487191;497.89;248.95;248.38;124.19;73.28;36.64;505.17;252.58;298.44;149.22;15.94;7.97;13.23;6.61;0.14;92;46;302.9;151.45;230.1;115.05;190.14;95.07;629.41;314.71;630.89;315.45;188.66;94.33;518.02;259.01;210.7;105.35;90.83;45.42;3503.01;3596.02;3447.5;3569.5;0;0;0;0
Alejandro101565 & carlsxddddd;Alejandro101565;1;0;0.00;649;649;2;2;0;0;3;3;4;4;9;9;3;3;3;3;50;459;48.14;2521;2521;1809;1809;712;712;23;23;57;57;424;424;206;206;218;218;3;3;20;20;46.28;46.28;38.99;38.99;440;440;363;363;99;99;1501;480226;480226;169.21;169.21;121.43;121.43;51.26;51.26;197.11;197.11;132.58;132.58;12.21;12.21;5.43;5.43;0.15;37;37;170.8;170.8;164.7;164.7;67.98;67.98;273.92;273.92;240.88;240.88;101.02;101.02;190.87;190.87;82.4;82.4;68.63;68.63;2559;2584;2574;3359;0;0;1;1
BFS_baIler13 & GREEN_TURTLE41;BFS_baIler13;1;0;0.00;122;122;0;0;0;0;1;1;0;0;7;7;3;3;2;2;0;311;49.51;1892;1892;1337;1337;555;555;17;17;40;40;519;519;299;299;220;220;3;3;11;11;37.36;37.36;70.85;70.85;207;207;376;376;0;0;1462;480615;480615;180.94;180.94;139.46;139.46;31.22;31.22;220.97;220.97;122.79;122.79;7.85;7.85;2.11;2.11;0.13;16;16;172.6;172.6;160.2;160.2;142.42;142.42;209.19;209.19;225.57;225.57;126.05;126.05;171.64;171.64;109.05;109.05;70.93;70.93;2845;2268;3253;3206;2;2;0;0
NSD_ZombYT & Bad_KarmaRL;Bad_KarmaRL;1;0;0.00;152;152;0;0;0;0;1;1;1;1;5;5;3;3;2;2;0;375;49.36;1547;1547;1253;1253;294;294;18;18;25;25;280;280;208;208;72;72;4;4;6;6;17.55;17.55;47.91;47.91;262;262;553;553;191;191;1460;320508;320508;113.7;113.7;90.7;90.7;26.55;26.55;131.36;131.36;96.31;96.31;3.29;3.29;4.03;4.03;0.21;19;19;128.6;128.6;92;92;50.12;50.12;180.84;180.84;137.43;137.43;93.54;93.54;101.14;101.14;60.96;60.96;68.86;68.86;2639;2264;2912;3240;0;0;0;0
Bat Mike & User-1b147068e0;Bat Mike;1;1;100.00;809;809;4;4;1;1;2;2;6;6;5;5;2;2;2;2;66.67;390;48.92;1976;1976;1622;1622;354;354;21;21;33;33;658;658;523;523;135;135;6;6;12;12;36.55;36.55;25.31;25.31;159;159;481;481;78;78;1555;449181;449181;146.11;146.11;137.68;137.68;38.85;38.85;163.15;163.15;144.22;144.22;15.28;15.28;2.49;2.49;0.12;21;21;123.4;123.4;173.1;173.1;77.62;77.62;245.03;245.03;209.43;209.43;113.22;113.22;161.18;161.18;91.11;91.11;70.36;70.36;2000;1817;2242;3128;0;0;1;1
