team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
Huggins-_- & noack1 & HIVE Huggins-_-;"  Kd0.";6;4;66.67;2500;416.67;8;1.33;1;0.17;8;1.33;15;2.5;53;8.83;22;3.67;13;2.17;53.33;318.45;50.96;11758;1959.67;7414;1235.67;4344;724;97;16.17;386;64.33;2367;394.5;1212;202;1155;192.5;16;2.67;100;16.67;181.38;30.23;226.62;37.77;1154;192.33;2087;347.83;338;56.33;1380.41;2894930;482488.34;1281.38;213.56;857.84;142.97;143.83;23.97;1554.58;259.1;661.44;110.24;67.04;11.17;34.84;5.81;0.12;295;49.17;1153.7;192.28;1020.1;170.02;610.34;101.72;1672.7;278.78;1550.76;258.46;732.29;122.05;1167.2;194.53;763.86;127.31;351.99;58.66;2657.54;2613.65;2682.49;3337.76;2;0.33;1;0.17
Huggins-_- & noack1 & HIVE Huggins-_-;"  Kend0.";3;1;33.33;1292;430.67;4;1.33;1;0.33;4;1.33;7;2.33;26;8.67;15;5;7;2.33;57.14;366.43;44.6;6706;2235.33;4431;1477;2275;758.33;50;16.67;199;66.33;1010;336.67;463;154.33;547;182.33;5;1.67;48;16;166.33;55.44;69.95;23.32;937;312.33;617;205.67;50;16.67;1528.99;1586063;528687.69;522.75;174.25;492.15;164.05;115.04;38.35;702.65;234.22;389.38;129.79;37.91;12.64;16.43;5.48;0.09;178;59.33;561.3;187.1;484.5;161.5;305.77;101.92;824.17;274.72;760.13;253.38;369.81;123.27;540.19;180.06;403.26;134.42;186.49;62.16;2927.19;2776.59;3062.73;3476.4;2;0.67;2;0.67
Huggins-_- & noack1 & HIVE Huggins-_-;3 Week Old Grape Capri Sun;12;2;16.67;4914;409.5;13;1.08;12;1;17;1.42;37;3.08;91;7.58;49;4.08;12;1;35.14;312.74;49.5;22324;1860.33;15520;1293.33;6804;567;176;14.67;605;50.42;4575;381.25;2587;215.58;1988;165.67;33;2.75;177;14.75;472.06;39.34;293.37;24.45;1093;91.08;1988;165.67;676;56.33;1457.77;5605086;467090.5;2141.21;178.43;1752.42;146.03;317.26;26.44;2470.09;205.84;1600.73;133.39;140.07;11.67;34.38;2.87;0.11;317;26.42;1876.6;156.38;2048.1;170.67;1189.85;99.15;3021.03;251.75;2670.15;222.51;1540.74;128.4;1955.56;162.96;1303.86;108.65;951.47;79.29;2457.27;2322.89;2567.24;3028.1;7;0.58;9;0.75
Huggins-_- & noack1 & HIVE Huggins-_-;3xoticmoon;3;2;66.67;1245;415;3;1;2;0.67;3;1;8;2.67;22;7.33;10;3.33;4;1.33;37.5;328.01;53.2;6474;2158;4604;1534.67;1870;623.33;59;19.67;163;54.33;1310;436.67;784;261.33;526;175.33;10;3.33;45;15;97.54;32.51;101.46;33.82;1846;615.33;1329;443;213;71;1485.53;1557774;519258;597.44;199.15;437.09;145.7;116.82;38.94;842.73;280.91;300.39;100.13;8.21;2.74;12.79;4.26;0.13;97;32.33;550.7;183.57;543.5;181.17;332.69;110.9;818.65;272.88;726.74;242.25;424.6;141.53;514.69;171.56;391.02;130.34;245.63;81.88;2667.27;2448.19;2799.63;3378.34;2;0.67;2;0.67
Huggins-_- & noack1 & HIVE Huggins-_-;999gav Psalms 23;3;2;66.67;2051;683.67;5;1.67;2;0.67;10;3.33;13;4.33;26;8.67;7;2.33;5;1.67;38.46;358.42;52.41;6665;2221.67;4497;1499;2168;722.67;56;18.67;184;61.33;764;254.67;201;67;563;187.67;3;1;51;17;101.19;33.73;116.8;38.93;804;268;817;272.33;100;33.33;1483.25;1519143;506381;531.13;177.04;442.77;147.59;127.63;42.54;683.94;227.98;372.23;124.08;45.36;15.12;3.6;1.2;0.1;35;11.67;589.6;196.53;463.7;154.57;222.81;74.27;878.72;292.91;729.62;243.21;371.91;123.97;546.41;182.14;345.41;115.14;209.73;69.91;2414.5;2320.59;2488.56;3443.17;2;0.67;2;0.67
Huggins-_- & noack1 & HIVE Huggins-_-;>PPfish;3;1;33.33;1695;565;6;2;2;0.67;4;1.33;11;3.67;27;9;11;3.67;3;1;54.55;270.64;52.63;5192;1730.67;3023;1007.67;2169;723;45;15;198;66;1405;468.33;756;252;649;216.33;9;3;60;20;74.38;24.79;120.07;40.02;481;160.33;1311;437;121;40.33;1394.77;1394014;464671.34;612.68;204.23;385.08;128.36;88.24;29.41;691.5;230.5;371.05;123.68;23.46;7.82;8.98;2.99;0.19;47;15.67;537.5;179.17;505.4;168.47;260;86.67;825.99;275.33;749.76;249.92;336.24;112.08;569.6;189.87;329.96;109.99;186.45;62.15;2938.79;2675.86;3198.59;3614.81;1;0.33;5;1.67
Huggins-_- & noack1 & HIVE Huggins-_-;Akstronaut YT;3;3;100.00;1653;551;4;1.33;6;2;4;1.33;19;6.33;25;8.33;6;2;3;1;21.05;409.9;53.78;7589;2529.67;5233;1744.33;2356;785.33;68;22.67;157;52.33;1440;480;933;311;507;169;13;4.33;45;15;75.11;25.04;128.31;42.77;973;324.33;1302;434;277;92.33;1490.57;1484831;494943.66;532.24;177.41;423.63;141.21;119.14;39.71;691.68;230.56;341.99;114;41.34;13.78;18.8;6.27;0.09;206;68.67;500.5;166.83;514.5;171.5;253.98;84.66;821.04;273.68;684.56;228.19;390.46;130.15;520.78;173.59;323.32;107.77;230.91;76.97;2493.82;2456.45;2488.53;3383.05;1;0.33;4;1.33
Huggins-_- & noack1 & HIVE Huggins-_-;Andy Freeman;3;2;66.67;1443;481;4;1.33;2;0.67;5;1.67;16;5.33;28;9.33;8;2.67;4;1.33;25;463.19;49.08;8243;2747.67;6188;2062.67;2055;685;75;25;181;60.33;1531;510.33;1036;345.33;495;165;13;4.33;43;14.33;144.52;48.17;90.77;30.26;1707;569;1328;442.67;267;89;1598.42;1644800;548266.69;425.57;141.86;513.92;171.31;164.53;54.84;591.59;197.2;474.97;158.32;37.47;12.49;16.95;5.65;0.13;137;45.67;505.9;168.63;531.7;177.23;295.74;98.58;808.28;269.43;734.02;244.67;370;123.33;547.3;182.43;335.25;111.75;221.48;73.83;2640.96;2275.19;2966.82;3290.2;5;1.67;1;0.33
Huggins-_- & noack1 & HIVE Huggins-_-;AnimeThighs0626;3;1;33.33;1411;470.33;6;2;0;0;4;1.33;10;3.33;24;8;13;4.33;8;2.67;60;395.62;55.51;7300;2433.33;5627;1875.67;1673;557.67;65;21.67;158;52.67;1844;614.67;1233;411;611;203.67;13;4.33;52;17.33;135.23;45.08;88.99;29.66;354;118;964;321.33;71;23.67;1486.12;1532783;510927.66;532.24;177.41;492.1;164.03;94.31;31.44;645.31;215.1;432.8;144.27;40.55;13.52;18.73;6.24;0.11;168;56;465.8;155.27;598.3;199.43;371.66;123.89;746.99;249;701.36;233.79;417.3;139.1;557.41;185.8;289.77;96.59;271.48;90.49;2476.61;2440.7;2504.44;3126.71;2;0.67;2;0.67
Huggins-_- & noack1 & HIVE Huggins-_-;Apolytrosin;6;2;33.33;2223;370.5;7;1.17;5;0.83;2;0.33;15;2.5;48;8;26;4.33;11;1.83;46.67;294.43;45.58;11357;1892.83;6669;1111.5;4688;781.33;84;14;410;68.33;3091;515.17;1779;296.5;1312;218.67;24;4;113;18.83;231.31;38.55;179.74;29.96;1223;203.83;1624;270.67;464;77.33;1405.52;3014486;502414.34;1300.67;216.78;892.8;148.8;153.57;25.6;1519.44;253.24;742.3;123.72;85.29;14.22;24.91;4.15;0.14;180;30;1089.1;181.52;1119.8;186.63;734.78;122.46;1612.28;268.71;1487.34;247.89;859.73;143.29;1118.27;186.38;725.91;120.99;502.89;83.82;2669.23;2509.44;2801.15;3395.62;2;0.33;5;0.83
