team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
popayes5 & K1cker_1 & ogtheassassin;54UC3D;3;1;33.33;1172;390.67;3;1;3;1;1;0.33;9;3;20;6.67;8;2.67;8;2.67;33.33;420.77;40.11;6969;2323;4963;1654.33;2006;668.67;56;18.67;153;51;1798;599.33;1271;423.67;527;175.67;14;4.67;45;15;252.85;84.28;126.72;42.24;732;244;663;221;135;45;1413.44;1402092;467364;564.81;188.27;397.92;132.64;100.36;33.45;623.2;207.73;423;141;16.88;5.63;12.22;4.07;0.17;68;22.67;508.9;169.63;509.7;169.9;290.6;96.87;772.48;257.49;675.06;225.02;388.01;129.34;512.68;170.89;323.73;107.91;226.67;75.56;2616.81;2452.44;2790.09;3213.42;4;1.33;2;0.67
popayes5 & K1cker_1 & ogtheassassin;Ambrose_-;3;2;66.67;1941;647;10;3.33;2;0.67;2;0.67;20;6.67;19;6.33;9;3;6;2;50;273.53;47;4478;1492.67;3023;1007.67;1455;485;38;12.67;125;41.67;769;256.33;389;129.67;380;126.67;5;1.67;33;11;134.87;44.96;103.83;34.61;470;156.67;798;266;118;39.33;1362.07;1387732;462577.34;671.26;223.75;407.45;135.82;50.29;16.76;753.25;251.08;349.91;116.64;25.85;8.62;14.92;4.97;0.15;103;34.33;595.1;198.37;472.9;157.63;284.65;94.88;844.36;281.45;719.26;239.75;409.76;136.59;514.77;171.59;373.12;124.37;241.13;80.38;2584.97;2665.45;2516;3381.65;3;1;3;1
popayes5 & K1cker_1 & ogtheassassin;AnimeThighs0626;5;2;40.00;1825;365;5;1;2;0.4;4;0.8;15;3;38;7.6;13;2.6;2;0.4;33.33;394.04;52.15;11769;2353.8;8505;1701;3264;652.8;100;20;289;57.8;2246;449.2;1374;274.8;872;174.4;16;3.2;77;15.4;249.11;49.82;104.67;20.93;509;101.8;1411;282.2;248;49.6;1486.67;2426033;485206.59;806.96;161.39;767.79;153.56;166.67;33.33;1111.77;222.35;577.82;115.56;51.84;10.37;25.5;5.1;0.08;317;63.4;569.9;113.98;522.7;104.54;455.94;91.19;1285.46;257.09;1177.91;235.58;563.51;112.7;915.09;183.02;509.83;101.97;316.5;63.3;2610.7;2498.23;2692.52;3500.96;5;1;7;1.4
popayes5 & K1cker_1 & ogtheassassin;Avid;5;4;80.00;1989;397.8;5;1;5;1;5;1;18;3.6;27;5.4;7;1.4;1;0.2;27.78;322.3;52.9;9243;1848.6;5845;1169;3398;679.6;79;15.8;305;61;1670;334;831;166.2;839;167.8;15;3;73;14.6;142.95;28.59;202.8;40.56;621;124.2;2032;406.4;648;129.6;1457.21;2409082;481816.41;867.64;173.53;732.91;146.58;159.81;31.96;1047.05;209.41;665.33;133.07;47.96;9.59;15.05;3.01;0.13;120;24;491.9;98.38;624.9;124.98;447.11;89.42;1313.25;262.65;1178.49;235.7;581.86;116.37;908.09;181.62;489.35;97.87;362.92;72.58;2921.79;2816.89;3016.44;3845.63;6;1.2;5;1
popayes5 & K1cker_1 & ogtheassassin;BEARDEDJACKYL;18;10;55.56;8335;463.06;30;1.67;12;0.67;16;0.89;67;3.72;124;6.89;69;3.83;35;1.94;44.78;277.37;50.14;32553;1808.5;21605;1200.28;10948;608.22;268;14.89;960;53.33;6105;339.17;2508;139.33;3597;199.83;31;1.72;314;17.44;488.23;27.12;770.14;42.79;4774;265.22;5393;299.61;635;35.28;1373.75;8658449;481024.94;3982.76;221.26;2471.97;137.33;414.48;23.03;4717.32;262.07;2040.3;113.35;111.56;6.2;48.42;2.69;0.13;361;20.06;3186.3;177.02;3343.8;185.77;2005.35;111.41;4863.83;270.21;4282.25;237.9;2586.94;143.72;3212.87;178.49;2093.93;116.33;1562.38;86.8;2659.38;2456;2842.61;3266.83;9;0.5;18;1
popayes5 & K1cker_1 & ogtheassassin;BadBobaFett74;15;8;53.33;9508;633.87;39;2.6;10;0.67;23;1.53;66;4.4;113;7.53;53;3.53;22;1.47;59.09;338.82;44.08;32945;2196.33;22523;1501.53;10422;694.8;274;18.27;931;62.07;6712;447.47;3375;225;3337;222.47;41;2.73;293;19.53;724.84;48.32;536.35;35.76;3180;212;4608;307.2;684;45.6;1372.25;7636599;509106.59;3415.77;227.72;2294.69;152.98;336.99;22.47;3598.68;239.91;2290.36;152.69;158.43;10.56;47.26;3.15;0.11;431;28.73;2939.7;195.98;2854.5;190.3;1737.25;115.82;4310.21;287.35;3794.76;252.98;2252.59;150.17;2759.77;183.98;1879.65;125.31;1408.03;93.87;2741.89;2618.87;2841.19;3386.23;5;0.33;9;0.6
popayes5 & K1cker_1 & ogtheassassin;BattleBennyB;15;9;60.00;7509;500.6;27;1.8;9;0.6;15;1;72;4.8;84;5.6;36;2.4;24;1.6;37.5;375.69;51.7;35033;2335.53;25816;1721.07;9217;614.47;309;20.6;827;55.13;6333;422.2;3181;212.07;3152;210.13;39;2.6;275;18.33;550.58;36.71;776.07;51.74;6147;409.8;4514;300.93;520;34.67;1461.53;7536680;502445.34;2660.16;177.34;2321.88;154.79;580.14;38.68;3509.19;233.95;1940.41;129.36;112.56;7.5;84.2;5.61;0.14;593;39.53;2947.8;196.52;2448.5;163.23;1191.95;79.46;4370.22;291.35;3530.49;235.37;2031.69;135.45;2736.25;182.42;1598.93;106.6;1226.99;81.8;2803.91;2732.41;2910.07;3433.31;6;0.4;30;2
popayes5 & K1cker_1 & ogtheassassin;BegottenTV;3;2;66.67;1228;409.33;4;1.33;2;0.67;3;1;8;2.67;22;7.33;11;3.67;7;2.33;50;308.04;53.18;5811;1937;4471;1490.33;1340;446.67;65;21.67;120;40;926;308.67;567;189;359;119.67;9;3;31;10.33;80.47;26.82;230.1;76.7;949;316.33;2105;701.67;339;113;1436.89;1467792;489264;623.5;207.83;381.2;127.07;112.92;37.64;755.77;251.92;337.04;112.35;24.79;8.26;6.71;2.24;0.13;51;17;605.8;201.93;451.5;150.5;281.42;93.81;836.19;278.73;777.5;259.17;340.1;113.37;617.78;205.93;308.62;102.87;191.21;63.74;3090.05;3094.51;3080.37;3753.23;0;0;1;0.33
popayes5 & K1cker_1 & ogtheassassin;BigCountry;8;5;62.50;4250;531.25;18;2.25;6;0.75;7;0.88;37;4.62;43;5.38;24;3;10;1.25;48.65;373.24;55.05;18666;2333.25;13374;1671.75;5292;661.5;180;22.5;460;57.5;4677;584.62;2783;347.88;1894;236.75;39;4.88;169;21.12;258.22;32.28;405.27;50.66;2492;311.5;4759;594.88;1149;143.62;1529.63;4206931;525866.38;1321.79;165.22;1334.44;166.8;332;41.5;1921.96;240.24;1007.84;125.98;58.45;7.31;54.18;6.77;0.12;465;58.12;1411;176.38;1424.5;178.06;813.33;101.67;2174.9;271.86;1743.91;217.99;1244.32;155.54;1273.93;159.24;922.7;115.34;791.59;98.95;2954.85;2762.66;3149.94;3610.64;9;1.12;5;0.62
popayes5 & K1cker_1 & ogtheassassin;Bowler;3;2;66.67;2028;676;9;3;1;0.33;4;1.33;20;6.67;18;6;10;3.33;6;2;45;393.12;48.68;7355;2451.67;5181;1727;2174;724.67;65;21.67;193;64.33;1853;617.67;1154;384.67;699;233;14;4.67;60;20;96.99;32.33;99.24;33.08;722;240.67;951;317;199;66.33;1497.71;1523956;507985.34;534.99;178.33;480.18;160.06;100.04;33.35;738.04;246.01;350.04;116.68;27.11;9.04;12.83;4.28;0.15;86;28.67;690.6;230.2;695.7;231.9;284.21;94.74;830.99;277;714.06;238.02;401.14;133.71;521.09;173.7;365.21;121.74;228.89;76.3;2418.3;2072.44;2702.6;3705.05;1;0.33;5;1.67
