team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;avg distance to team mates per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
********* & ABearTookMyTooth & Matombus;*********;2;2;100.00;536;268;2;1;2;1;0;0;2;1;8;4;4;2;3;1.5;100;325.02;51.64;3276;1638;1980;990;1296;648;25;12.5;108;54;634;317;322;161;312;156;4;2;26;13;62.98;31.49;81.63;40.81;164;82;579;289.5;78;39;1442.73;778902;389451;315.35;157.67;227.26;113.63;47.22;23.61;361.8;180.9;198.53;99.26;29.5;14.75;8.97;4.49;0.1;94;47;216.7;108.35;142;71;139.51;69.76;450.33;225.17;415.18;207.59;174.65;87.32;302.17;151.08;188.28;94.14;99.39;49.69;3227.98;3354.13;3135.36;3767.99;0;0;1;0.5
********* & ABearTookMyTooth & Matombus;**********;1;1;100.00;321;321;0;0;3;3;1;1;2;2;3;3;1;1;0;0;0;283;47.26;1023;1023;748;748;275;275;8;8;25;25;108;108;0;0;108;108;0;0;9;9;29.35;29.35;26.48;26.48;27;27;60;60;0;0;1437;279096;279096;114.73;114.73;74.1;74.1;23.68;23.68;110.28;110.28;96.25;96.25;5.98;5.98;0.21;0.21;0.1;2;2;52.9;52.9;68.8;68.8;65.05;65.05;147.46;147.46;129.95;129.95;82.56;82.56;108.14;108.14;48.24;48.24;56.13;56.13;3086;2845;3465;3900;1;1;1;1
********* & ABearTookMyTooth & Matombus;***********;1;1;100.00;573;573;3;3;0;0;0;0;4;4;3;3;1;1;0;0;75;351;51.83;1203;1203;992;992;211;211;11;11;18;18;231;231;159;159;72;72;2;2;6;6;20.96;20.96;24.77;24.77;80;80;108;108;41;41;1405;272861;272861;121.59;121.59;75.83;75.83;15.08;15.08;126.47;126.47;75.5;75.5;10.54;10.54;1.88;1.88;0.11;17;17;32.2;32.2;100.2;100.2;81.04;81.04;131.47;131.47;114.97;114.97;97.54;97.54;78.47;78.47;73.62;73.62;60.42;60.42;2705;2425;3071;3767;1;1;1;1
********* & ABearTookMyTooth & Matombus;ABearTookMyTooth;2;1;50.00;798;399;2;1;1;0.5;3;1.5;3;1.5;17;8.5;6;3;2;1;66.67;272.06;48.29;4105;2052.5;2620;1310;1485;742.5;32;16;116;58;497;248.5;232;116;265;132.5;3;1.5;24;12;115.59;57.79;61.37;30.69;257;128.5;571;285.5;77;38.5;1359.44;1041512;520756;478.28;239.14;280.12;140.06;61.2;30.6;456.93;228.46;323.02;161.51;39.65;19.83;9.76;4.88;0.09;108;54;288.3;144.15;242.5;121.25;228;114;591.61;295.8;544.4;272.2;275.21;137.6;409.26;204.63;259.64;129.82;150.69;75.35;2942.93;2983.35;2918.47;3742.11;0;0;1;0.5
Adolf'sTherapist & AngryPup2548137 & KSpooky;Adolf'sTherapist;1;1;100.00;132;132;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;332;49.46;845;845;579;579;266;266;7;7;23;23;270;270;151;151;119;119;2;2;10;10;28.83;28.83;10.82;10.82;43;43;126;126;48;48;1585;230489;230489;63.09;63.09;77.65;77.65;12.77;12.77;90.4;90.4;57.42;57.42;5.69;5.69;3.98;3.98;0.09;43;43;34.8;34.8;48.7;48.7;28.74;28.74;124.77;124.77;79.62;79.62;73.89;73.89;48.45;48.45;61.98;61.98;43.07;43.07;3017;2767;3254;3845;1;1;0;0
popayes5 & WMyBadW & AeukU. &;AeukU. &;5;1;20.00;1631;326.2;3;0.6;0;0;8;1.6;6;1.2;38;7.6;12;2.4;5;1;50;439.36;53.22;11248;2249.6;8717;1743.4;2531;506.2;105;21;229;45.8;2178;435.6;1421;284.2;757;151.4;16;3.2;66;13.2;199.08;39.82;229.22;45.84;1229;245.8;1482;296.4;160;32;1589.47;2307939;461587.81;627.23;125.45;594.55;118.91;304.85;60.97;815.85;163.17;636.05;127.21;74.73;14.95;31.98;6.4;0.13;259;51.8;458.9;91.78;637.6;127.52;499.36;99.87;1027.26;205.45;1013.39;202.68;513.25;102.65;741.49;148.3;502.88;100.58;282.26;56.45;2543.48;2341.71;2684.08;3503.05;8;1.6;1;0.2
Agar1511 & GR3ATgamgam & MCAMPO555;Agar1511;1;1;100.00;501;501;2;2;1;1;2;2;3;3;12;12;3;3;2;2;66.67;313;52.59;2156;2156;1532;1532;624;624;20;20;54;54;507;507;387;387;120;120;4;4;10;10;46.83;46.83;51.29;51.29;457;457;491;491;12;12;1275;472646;472646;238.46;238.46;124.66;124.66;39.65;39.65;281.45;281.45;111.66;111.66;9.67;9.67;7.65;7.65;0.23;33;33;134;134;125.6;125.6;93.08;93.08;309.69;309.69;317.1;317.1;85.67;85.67;262.49;262.49;88.8;88.8;51.48;51.48;3473;3709;3337;3945;0;0;1;1
Alternightmare & Artaimis & NotYourGirl-DT;Alternightmare;1;0;0.00;163;163;0;0;0;0;1;1;1;1;6;6;5;5;1;1;0;396;56.74;1014;1014;826;826;188;188;10;10;17;17;188;188;100;100;88;88;1;1;8;8;6;6;31.9;31.9;280;280;92;92;0;0;1458;206056;206056;112.39;112.39;54.39;54.39;17.39;17.39;115.89;115.89;60.26;60.26;8.02;8.02;1.21;1.21;0.13;9;9;59.7;59.7;69.6;69.6;67.21;67.21;116.97;116.97;127.98;127.98;56.2;56.2;105.99;105.99;49.61;49.61;28.57;28.57;2875;2256;3197;3742;0;0;2;2
AngelReyesK & R aa ii & The Adamant;AngelReyesK;2;1;50.00;416;208;1;0.5;0;0;1;0.5;3;1.5;8;4;2;1;0;0;33.33;361.74;51.94;3957;1978.5;2815;1407.5;1142;571;38;19;98;49;475;237.5;165;82.5;310;155;2;1;28;14;85.25;42.62;77.7;38.85;722;361;907;453.5;33;16.5;1497.12;950665;475332.5;302.05;151.02;263.43;131.71;96.75;48.38;355.89;177.95;288.24;144.12;18.11;9.06;13.78;6.89;0.15;92;46;225.5;112.75;213.8;106.9;157.35;78.67;504.89;252.45;435.75;217.88;226.49;113.24;320.77;160.38;206.17;103.09;135.31;67.65;3006.72;2806.14;3253.52;3672.13;1;0.5;0;0
Adolf'sTherapist & AngryPup2548137 & KSpooky;AngryPup2548137;1;1;100.00;190;190;1;1;0;0;0;0;1;1;0;0;0;0;0;0;100;237;64.44;632;632;436;436;196;196;6;6;19;19;102;102;59;59;43;43;1;1;5;5;1.9;1.9;51.51;51.51;73;73;184;184;56;56;1420;202911;202911;82.76;82.76;58.9;58.9;8.91;8.91;101.56;101.56;39.79;39.79;9.21;9.21;3.18;3.18;0.35;9;9;75;75;41.1;41.1;22.31;22.31;128.25;128.25;95.53;95.53;55.04;55.04;73.42;73.42;47.64;47.64;29.5;29.5;3562;3515;3764;3996;1;1;1;1
